scenario,year,group,base_2023_daily_kcal_per_cap,projection_daily_kcal_per_cap,base_2023_total_kcal,population_only_total_kcal,full_total_kcal,population_contribution_kcal,per_cap_demand_contribution_kcal,total_change_kcal
ssp2_population_income_convergence,2030,grain,824.2598473241211,696.5578846307347,423504338638202.1,439398628526179.25,371322927095692.8,15894289887977.125,-68075701430486.44,-52181411542509.31
ssp2_population_income_convergence,2035,grain,824.2598473241211,640.286658226663,423504338638202.1,437317489811016.0,339709079659998.6,13813151172813.875,-97608410151017.38,-83795258978203.5
ssp2_population_income_convergence,2050,grain,824.2598473241211,519.1469137409907,423504338638202.1,419621746401031.5,264292061890329.38,-3882592237170.625,-155329684510702.12,-159212276747872.75
ssp2_population_income_convergence,2030,oil,245.91228783760246,232.7487366827201,126349622830430.62,131091575507848.31,124074314697720.56,4741952677417.6875,-7017260810127.75,-2275308132710.0625
ssp2_population_income_convergence,2035,oil,245.91228783760246,223.4561544356416,126349622830430.62,130470682006345.55,118556405310606.95,4121059175914.922,-11914276695738.594,-7793217519823.672
ssp2_population_income_convergence,2050,oil,245.91228783760246,203.83079622141676,126349622830430.62,125191277991866.97,103768047125447.56,-1158344838563.6562,-21423230866419.406,-22581575704983.062
ssp2_population_income_convergence,2030,vegfruit,117.83898585187498,124.74414704098376,60545617903149.74,62817919541177.28,66498941206974.25,2272301638027.539,3681021665796.9688,5953323303824.508
ssp2_population_income_convergence,2035,vegfruit,117.83898585187498,130.87417183950765,60545617903149.74,62520392885708.055,69436312463541.945,1974774982558.3125,6915919577833.891,8890694560392.203
ssp2_population_income_convergence,2050,vegfruit,117.83898585187498,142.2071523844555,60545617903149.74,59990549336859.805,72396118563831.6,-555068566289.9375,12405569226971.79,11850500660681.852
ssp2_population_income_convergence,2030,pork,307.38065227333857,286.67101414228205,157932040816747.84,163859294472313.56,152819345575614.0,5927253655565.719,-11039948896699.562,-5112695241133.844
ssp2_population_income_convergence,2035,pork,307.38065227333857,295.6957512849808,157932040816747.84,163083202105549.7,156883686763988.44,5151161288801.844,-6199515341561.25,-1048354052759.4062
ssp2_population_income_convergence,2050,pork,307.38065227333857,307.2088938454563,157932040816747.84,156484155494846.84,156396715142510.1,-1447885321901.0,-87440352336.75,-1535325674237.75
ssp2_population_income_convergence,2030,meatother,97.33990386222813,90.06668237985251,50013198801456.07,51890214471546.94,48012986247100.5,1877015670090.8672,-3877228224446.4375,-2000212554355.5703
ssp2_population_income_convergence,2035,meatother,97.33990386222813,92.17600429422036,50013198801456.07,51644445078417.32,48904697893050.266,1631246276961.25,-2739747185367.0547,-1108500908405.8047
ssp2_population_income_convergence,2050,meatother,97.33990386222813,96.55248209678612,50013198801456.07,49554689077454.18,49153821198906.36,-458509724001.8906,-400867878547.8203,-859377602549.7109
ssp2_population_income_convergence,2030,dairyegg,74.90595018484804,79.31061326008545,38486643497297.336,39931062863881.12,42279112354175.13,1444419366583.7812,2348049490294.0156,3792468856877.797
ssp2_population_income_convergence,2035,dairyegg,74.90595018484804,84.18547765757528,38486643497297.336,39741936008518.86,44665261673574.21,1255292511221.5234,4923325665055.352,6178618176276.875
ssp2_population_income_convergence,2050,dairyegg,74.90595018484804,92.26054065719612,38486643497297.336,38133806632017.86,46968840372558.4,-352836865279.47656,8835033740540.54,8482196875261.0625
