year,group,annual_kcal_total,population_10k,m_mean,population_scenario,population_projection_source,daily_kcal_per_cap_weighted,xhat_per_cap_weighted
2030,dairyegg,42279112354175.13,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",79.31061326008545,0.039655306630042714
2030,grain,371322927095692.75,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",696.5578846307347,0.3482789423153673
2030,meatother,48012986247100.5,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",90.06668237985251,0.04503334118992624
2030,nonfood,,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",,299.21834374912027
2030,oil,124074314697720.55,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",232.7487366827201,0.11637436834136008
2030,pork,152819345575614.0,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",286.67101414228205,0.14333550707114104
2030,vegfruit,66498941206974.25,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",124.74414704098375,0.06237207352049187
2035,dairyegg,44665261673574.21,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",84.18547765757528,0.04209273882878764
2035,grain,339709079659998.6,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",640.286658226663,0.32014332911333143
2035,meatother,48904697893050.266,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",92.17600429422036,0.04608800214711018
2035,nonfood,,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",,373.95687784245035
2035,oil,118556405310606.97,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",223.45615443564162,0.11172807721782083
2035,pork,156883686763988.44,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",295.6957512849808,0.14784787564249044
2035,vegfruit,69436312463541.945,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",130.87417183950765,0.06543708591975385
2050,dairyegg,46968840372558.4,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",92.26054065719613,0.04613027032859806
2050,grain,264292061890329.38,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",519.1469137409907,0.25957345687049527
2050,meatother,49153821198906.36,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",96.55248209678612,0.04827624104839307
2050,nonfood,,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",,655.0175133850369
2050,oil,103768047125447.56,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",203.83079622141673,0.10191539811070835
2050,pork,156396715142510.1,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",307.2088938454563,0.15360444692272815
2050,vegfruit,72396118563831.6,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",142.2071523844555,0.07110357619222775
