Category,uv_med,n,rank,ladder_group
面粉,5.6,57211,1,staple
大米,7,108501,2,staple
挂面,8.6875,115424,3,staple
常温牛奶,14.125,228143,4,dairy
新鲜牛奶,16,53527,5,dairy
食用油,18,188755,6,other
新鲜酸奶,18.3823529411765,164839,7,dairy
常温酸奶,19.3055555555556,129289,8,dairy
方便面,25.7009345794393,151280,9,staple
黄油,43.4615384615385,55993,10,other
坚果,55.5555555555556,114144,11,other
成人奶粉,75.7480186480187,51626,12,other
奶酪,138.611111111111,21960,13,dairy
