scenario,mean_short_wt,p95_short_wt,mean_loss_yi,cvar5_yi
基线,33.768,198.027,1.621,31.26
C1,204.749,986.382,9.051,87.083
C2,82.918,567.011,3.509,48.889
C3,603.386,1361.674,23.459,106.949
