draw,tau,theta,gamma,P2_wins
0,35.41685008585239,0.28944840527687976,0.0004105735093428786,True
1,124.7891664915862,0.17530291379231935,0.00024490712310641324,True
2,106.22923366535012,0.22779113170966286,0.00038055971813414654,True
3,40.46096358585261,0.4129825523965297,0.00028253308217961366,True
4,97.51304367455201,0.5694388571505126,0.0003820270042814721,True
5,192.12810587049773,0.3273609309990332,0.0003418462431859213,True
6,145.31887940062796,0.3341765992099897,5.0670537578976276e-05,True
7,195.22284945795428,0.3387209784135006,0.00019129370091545156,True
8,180.5079926801283,0.5681303519127264,0.0002620893493318241,True
9,159.18986173678695,0.12427680612997696,0.00036813429304503057,True
10,87.36389002612474,0.17268217080340625,0.0003472250303425527,True
11,187.6634938534438,0.26575293446480097,0.00033354058990340434,True
12,73.66935631833645,0.6934053440554643,0.00037497416366395287,True
13,59.36877642238482,0.7639094994194499,0.00034594349489295944,True
14,142.90380341486303,0.7560606001364281,0.00024285780693430786,True
15,156.56698300788543,0.8027841477330031,9.604396486493348e-05,True
16,172.95830074390767,0.4151418661058681,0.0002658577655805237,True
17,46.34022255647572,0.6587410759576748,0.00018139037719453296,True
18,176.80504696284603,0.32029950155846165,0.0003028143734289005,True
19,91.9381198034815,0.5903275935219513,0.00013848765789745566,True
20,52.45175735175713,0.6974883085198703,0.00038850053826617486,True
21,122.0560174015242,0.8368637418263439,0.00014259877170305846,True
22,173.16220242649726,0.23518984906166898,0.00048396097440242585,True
23,132.2646910591073,0.5855070304080118,0.0004867514434096807,True
24,161.66588848197878,0.7319339808708435,7.434219104193438e-05,True
25,86.47153509699558,0.16791581773237443,0.0001370874116594815,True
26,58.4960583245865,0.7869135457327235,0.00010703974087323742,True
27,73.4163983101009,0.4942775831394661,0.0004322571850352916,True
28,193.74165575072757,0.6665158165497933,0.00014615924874374666,True
29,118.09688266244073,0.6647672343895096,7.334713747698132e-05,True
30,142.37915010033285,0.39462546811126487,0.0003153651290506437,True
31,140.51599060549972,0.6353019969167486,0.0002853723989866354,True
32,119.85273784371606,0.25851977089082634,0.000272834326190931,True
33,42.57370507614557,0.48459760154085163,0.0002913102165064152,True
34,159.3388669358573,0.41493183439534875,5.8820188348224295e-05,True
35,114.99498797843059,0.26418599396007036,0.00038356588543746596,True
36,89.96550147501262,0.4043785313062419,0.00045925456089618364,True
37,90.73467991193762,0.37908126172124534,0.00020660888091121525,True
38,106.53780265446474,0.17463368700113105,0.0002960363335755716,True
39,185.8569431660807,0.5503376519037894,0.00038475959330774623,True
40,190.4853193698219,0.7736923096791313,0.0003848028546256165,True
41,166.36947305502096,0.7561112333015654,0.00016418983764291496,True
42,106.75334849390886,0.37417340052681203,0.00016777998213289436,True
43,122.8792849620735,0.3543087382727388,0.00032839544559769355,True
44,124.83497544891628,0.18351917950557706,0.0002490879432015877,True
45,90.17387731643954,0.6653219288803076,8.96597797146736e-05,True
46,50.412471042799496,0.510077964764393,0.00023206717798151697,True
47,139.7624024327095,0.3662853502046802,0.00013874844575524818,True
48,187.73217618755513,0.2951171946584279,0.00011617893834495557,True
49,70.3809477772784,0.37177950187882514,0.0001513021966967127,True
50,116.53696119150452,0.8495470765341594,0.00010670848318179978,True
51,94.72963031900363,0.6345259528271762,0.000448121742118434,True
52,199.96454509133568,0.21490955707814843,0.0002917839759922923,True
53,178.61609517058852,0.14242373988673745,0.00031473192013510635,True
54,51.304042889892855,0.7142642097323431,0.0004719339656271105,True
55,116.89187467892225,0.10717317860034861,7.891264474161896e-05,True
56,94.82634630546002,0.7778431761853669,0.000156545115201649,True
57,140.44476316379132,0.424246273699146,0.00016931983557561336,True
58,146.70003944489366,0.3466054045718716,0.00021734642714427008,True
59,157.75585557818553,0.4961599268792303,0.00040276335242977687,True
60,112.93409561062361,0.22797733201599846,0.0002496640208894269,True
61,177.09771127393535,0.5519342760267801,0.00048416699731407194,True
62,20.20671447390153,0.3722931728414127,0.00039607256938615837,True
63,143.50717303733165,0.548782915470573,0.00034868436356957395,True
64,177.75756255038965,0.6468411540248951,0.00029625285145698185,True
65,121.2443244950708,0.6331015399682338,0.00019576048797686926,True
66,140.49833711980386,0.592006656191245,0.0004036598562047955,True
67,106.44052455353952,0.12160691973518728,0.0002916147045692125,True
68,174.38389281874498,0.6120151929793718,0.0003395626043612119,True
69,90.37078201694241,0.3852572031580713,0.000373508118602096,True
70,34.00002710568103,0.7931514174302421,0.00044433046050973424,True
71,193.23998864299102,0.2085420851437661,0.00010191988071230514,True
72,180.92393418929854,0.4209003199110076,0.00017166236636575015,True
73,88.79863907362335,0.6276031136073671,0.00012267214061833026,True
74,107.68950045524865,0.6280405980385904,0.00037434747629958476,True
75,22.207262198760674,0.7487171399721683,0.0002453808197664021,True
76,98.4438265357582,0.5498886865593254,0.000176060982925921,True
77,179.60991655922382,0.269708374040784,0.0002942227524703928,True
78,50.24750668989643,0.5928930616027965,0.0004558579887098821,True
79,178.87459720846272,0.20774413422872648,0.0003311909369811199,True
80,180.65941918589817,0.2602203039341152,0.00023663354768410654,True
81,148.36793376144894,0.6904820767235533,0.00025303002200569225,True
82,134.95134378943806,0.6351351116582696,0.00020890525764287324,True
83,137.37324327238088,0.5619379685706646,0.00036382367910556376,True
84,112.09610491167653,0.36914486708946803,0.0002454809993425474,True
85,186.0430411221446,0.25004423706367296,0.00011673626664650199,True
86,22.18751877838191,0.7817171367579847,0.0004948916709262232,True
87,62.56406193884057,0.312878437900271,0.00013926749230371902,True
