param,dY,elasticity,sign,expected,match
rho,65.1,0.2093,1,1,True
pbar,107.6,0.3456,1,1,True
beta,63.4,0.2036,1,1,True
omega,-346.4,-1.1128,-1,-1,True
D,348.7,1.1203,1,1,True
