sector,label,L_soy_to_j,b_j,contrib,contrib_share
s1_soybean,大豆,1.001649,0.000583,0.000584,0.085254
s2_crush,植物油压榨,0.562259,0.004976,0.002798,0.408456
s3_feed,饲料加工,0.035674,0.000169,6e-06,0.00088
s4_livestock,牲畜养殖,0.014517,0.02059,0.000299,0.043639
s5_poultry,家禽养殖,0.019402,0.010229,0.000198,0.028974
s6_meat_dairy,肉乳加工,0.010906,0.025639,0.00028,0.040821
s7_foodmfg,其他食品制造,0.019002,0.054347,0.001033,0.150763
s8_agri_other,其他农林牧渔,0.002294,0.066967,0.000154,0.022429
s9_rest,其余经济,0.001835,0.8165,0.001499,0.218784
