policy,welfare,fiscal,cvar_loss,Y,M,selfsuff,hhi,income,gini,q_bar,hi_q,short,p_dom
P0,-3923.678,0.0,45.85,1575.835,9924.165,0.137,0.553,-101.27,0.687,0.405,0.0,152.0,4600.969
P1,-3905.512,498.011,45.85,2128.375,9371.625,0.185,0.61,197.725,0.596,0.404,0.0,152.0,4290.403
P2,-3904.406,489.272,45.85,2123.306,9376.694,0.185,0.61,197.093,0.58,0.408,0.0,152.0,4291.318
P3,-3913.576,106.884,45.85,1704.682,9795.318,0.148,0.565,-21.697,0.672,0.406,0.0,152.0,4503.087
P4,-3817.623,520.398,45.85,1853.789,9646.211,0.161,0.58,49.152,0.65,0.709,0.026,152.0,4410.454
P5,-4221.683,510.329,5.366,1812.277,9687.723,0.158,0.575,26.746,0.656,0.407,0.0,52.0,4434.46
"P6(0.00,1.00,0.00)",-3817.623,520.398,45.85,1853.789,9646.211,0.161,0.58,49.152,0.65,0.709,0.026,152.0,4410.454
