source,analytic,qp,qp_capped,actual_2024
巴西,0.1179,0.1179,0.7516,0.7107
美国,0.0,0.0,0.0762,0.2107
阿根廷,0.8821,0.8821,0.0856,0.0391
其他(乌拉圭/加/俄等),0.0,0.0,0.0866,0.0395
