param,S1,ST
crisis_import_loss_kappa,0.5661,0.5878
crisis_prob_pi,0.0011,0.2134
reserve_X,0.0592,0.1951
ell0_scale,-0.0464,0.0917
phi_rigidity,0.0487,0.081
mobilization_chi,0.0847,0.0425
omega_scale,-0.0005,0.0232
vy_quality,0.0258,0.0059
