indicator,model,observed,dev_pct
Y 国产产量(万吨),2075.0,2090.5,-0.74
M 进口量(万吨),9425.0,10503.3,-10.27
Z 替代蛋白(万吨),0.0,900.0,
MC(Y*) 边际成本(元/吨),6110.0,6123.0,
揭示楔子(元/吨),3589.0,2385.0,50.5
