crop,province,year,variable,unit,value,source
corn,全国平均,2006,主产品产值,元,536.88,xls:2007/2-06-1.xls
corn,全国平均,2006,主产品产量,公斤,423.5,xls:2007/2-06-1.xls
corn,全国平均,2006,产值合计,元,556.53,xls:2007/2-06-1.xls
corn,全国平均,2006,人工成本,元,149.94,xls:2007/2-06-1.xls
corn,全国平均,2006,保险费,元,0.06,xls:2007/2-06-2.xls
corn,全国平均,2006,修理维护费,元,1.28,xls:2007/2-06-2.xls
corn,全国平均,2006,其他直接费用,元,0.2,xls:2007/2-06-2.xls
corn,全国平均,2006,农家肥费,元,9.8,xls:2007/2-06-2.xls
corn,全国平均,2006,农膜费,元,2.57,xls:2007/2-06-2.xls
corn,全国平均,2006,农药费,元,6.6,xls:2007/2-06-2.xls
corn,全国平均,2006,劳动日工价,元/日,16.9,xls:2007/2-06-2.xls
corn,全国平均,2006,化肥费,元,85.2,xls:2007/2-06-2.xls
corn,全国平均,2006,固定资产折旧,元,3.04,xls:2007/2-06-2.xls
corn,全国平均,2006,土地成本,元,73.45,xls:2007/2-06-1.xls
corn,全国平均,2006,家庭用工天数,日,8.32,xls:2007/2-06-2.xls
corn,全国平均,2006,家庭用工折价,元,140.61,xls:2007/2-06-1.xls
corn,全国平均,2006,工具材料费,元,2.06,xls:2007/2-06-2.xls
corn,全国平均,2006,平均出售价格,元/50公斤,63.39,xls:2007/2-06-1.xls
corn,全国平均,2006,总成本,元,411.77,xls:2007/2-06-1.xls
corn,全国平均,2006,技术服务费,元,0.08,xls:2007/2-06-2.xls
corn,全国平均,2006,排灌费,元,11.36,xls:2007/2-06-2.xls
corn,全国平均,2006,机械作业费,元,28.96,xls:2007/2-06-2.xls
corn,全国平均,2006,每亩农膜用量,公斤,0.21,xls:2007/2-06-2.xls
corn,全国平均,2006,每亩化肥折纯用量,公斤,20.05,xls:2007/2-06-3.xls
corn,全国平均,2006,每亩化肥用量,公斤,20.05,xls:2007/2-06-2.xls
corn,全国平均,2006,每亩用工数量,日,8.67,xls:2007/2-06-1.xls
corn,全国平均,2006,每亩种子用量,公斤,2.73,xls:2007/2-06-2.xls
corn,全国平均,2006,流转地租金,元,5.57,xls:2007/2-06-1.xls
corn,全国平均,2006,燃料动力费,元,0.32,xls:2007/2-06-2.xls
corn,全国平均,2006,物质与服务费用,元,188.38,xls:2007/2-06-1.xls
corn,全国平均,2006,生产成本,元,338.32,xls:2007/2-06-1.xls
corn,全国平均,2006,畜力费,元,9.09,xls:2007/2-06-2.xls
corn,全国平均,2006,种子费,元,25.89,xls:2007/2-06-2.xls
corn,全国平均,2006,管理费,元,0.32,xls:2007/2-06-2.xls
corn,全国平均,2006,自营地折租,元,67.88,xls:2007/2-06-1.xls
corn,全国平均,2006,财务费,元,0.21,xls:2007/2-06-2.xls
corn,全国平均,2006,销售费,元,1.34,xls:2007/2-06-2.xls
corn,全国平均,2006,雇工天数,日,0.35,xls:2007/2-06-2.xls
corn,全国平均,2006,雇工工价,元/日,26.66,xls:2007/2-06-2.xls
corn,全国平均,2006,雇工费用,元,9.33,xls:2007/2-06-1.xls
corn,全国平均,2007,主产品产值,元,631.55,xls:2008/2-06-1.xls
corn,全国平均,2007,主产品产量,公斤,422.4,xls:2008/2-06-1.xls
corn,全国平均,2007,产值合计,元,650.52,xls:2008/2-06-1.xls
corn,全国平均,2007,人工成本,元,159.78,xls:2008/2-06-1.xls
corn,全国平均,2007,保险费,元,0.16,xls:2008/2-06-2.xls
corn,全国平均,2007,修理维护费,元,1.27,xls:2008/2-06-2.xls
corn,全国平均,2007,其他直接费用,元,0.12,xls:2008/2-06-2.xls
corn,全国平均,2007,农家肥费,元,8.66,xls:2008/2-06-2.xls
corn,全国平均,2007,农膜费,元,2.62,xls:2008/2-06-2.xls
corn,全国平均,2007,农药费,元,7.96,xls:2008/2-06-2.xls
corn,全国平均,2007,劳动日工价,元/日,18.7,xls:2008/2-06-2.xls
corn,全国平均,2007,化肥费,元,88.43,xls:2008/2-06-2.xls
corn,全国平均,2007,固定资产折旧,元,2.76,xls:2008/2-06-2.xls
corn,全国平均,2007,土地成本,元,91.18,xls:2008/2-06-1.xls
corn,全国平均,2007,家庭用工天数,日,7.91,xls:2008/2-06-2.xls
corn,全国平均,2007,家庭用工折价,元,147.92,xls:2008/2-06-1.xls
corn,全国平均,2007,工具材料费,元,2.1,xls:2008/2-06-2.xls
corn,全国平均,2007,平均出售价格,元/50公斤,74.76,xls:2008/2-06-1.xls
corn,全国平均,2007,总成本,元,449.7,xls:2008/2-06-1.xls
corn,全国平均,2007,技术服务费,元,0.03,xls:2008/2-06-2.xls
corn,全国平均,2007,排灌费,元,12.5,xls:2008/2-06-2.xls
corn,全国平均,2007,机械作业费,元,34.34,xls:2008/2-06-2.xls
corn,全国平均,2007,每亩农膜用量,公斤,0.19,xls:2008/2-06-2.xls
corn,全国平均,2007,每亩化肥折纯用量,公斤,20.83,xls:2008/2-06-3.xls
corn,全国平均,2007,每亩化肥用量,公斤,20.83,xls:2008/2-06-2.xls
corn,全国平均,2007,每亩用工数量,日,8.29,xls:2008/2-06-1.xls
corn,全国平均,2007,每亩种子用量,公斤,2.78,xls:2008/2-06-2.xls
corn,全国平均,2007,流转地租金,元,6.47,xls:2008/2-06-1.xls
corn,全国平均,2007,燃料动力费,元,0.03,xls:2008/2-06-2.xls
corn,全国平均,2007,物质与服务费用,元,198.74,xls:2008/2-06-1.xls
corn,全国平均,2007,生产成本,元,358.52,xls:2008/2-06-1.xls
corn,全国平均,2007,畜力费,元,8.8,xls:2008/2-06-2.xls
corn,全国平均,2007,种子费,元,26.92,xls:2008/2-06-2.xls
corn,全国平均,2007,管理费,元,0.32,xls:2008/2-06-2.xls
corn,全国平均,2007,自营地折租,元,84.71,xls:2008/2-06-1.xls
corn,全国平均,2007,财务费,元,0.21,xls:2008/2-06-2.xls
corn,全国平均,2007,销售费,元,1.51,xls:2008/2-06-2.xls
corn,全国平均,2007,雇工天数,日,0.38,xls:2008/2-06-2.xls
corn,全国平均,2007,雇工工价,元/日,31.21,xls:2008/2-06-2.xls
corn,全国平均,2007,雇工费用,元,11.86,xls:2008/2-06-1.xls
corn,全国平均,2008,主产品产值,元,662.75,xls:2009/20601.xls
corn,全国平均,2008,主产品产量,公斤,457.2,xls:2009/20601.xls
corn,全国平均,2008,产值合计,元,682.67,xls:2009/20601.xls
corn,全国平均,2008,人工成本,元,176.98,xls:2009/20601.xls
corn,全国平均,2008,保险费,元,0.15,xls:2009/20602.xls
