crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_labor_hired,w_mach,w_fert,w_seed,w_other,w_seed_src,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
rice_late_indica,广西,huanan,2014,1037.95,400.97,0.536451659521172,0.17680042391252,0.134900525073462,0.0675080687894407,0.0843393227034058,74.4,101.1,130.8333,5.6988196988197,40.2701149425287,24.5298227643149,obs,7.44,24.57,556.81,183.51,140.02,70.07,87.54,135.74,8.92
rice_late_indica,广西,huanan,2015,1088.91,398.26,0.537124280243546,0.17678228687403,0.137642229385349,0.0625396038240075,0.0859115996730676,78,87.1500000000001,125.8333,5.70971428571429,39.593023255814,28.3496884310012,obs,7.49,26.25,584.88,192.5,149.88,68.1,93.55,155.19,10.94
rice_late_indica,广西,huanan,2016,1086.6306,411.03,0.529306463484463,0.184653367943071,0.136559747167069,0.0725545553383091,0.0769258660670885,81.4,93.748,118.3333,5.66374045801527,45.5722543352601,32.7853338308306,obs,7.03,26.2,575.1606,200.65,148.39,78.84,83.59,159.65,11.23
rice_late_indica,广西,huanan,2017,1036.8197,363.24,0.499536901160346,0.194980863114387,0.144634597510059,0.0775737575202323,0.0832738806949752,83.1,95.733,135.4167,5.76104494813677,41.458762886598,34.8071535832876,obs,6.19,26.03,517.9297,202.16,149.96,80.43,86.34,191.89,17.67
rice_late_indica,广西,huanan,2018,1046.09743,384.13,0.477610799598275,0.199723270517929,0.146993956385114,0.0811779071094745,0.0944940663892081,84.89,101.388,138.3333,6.16312625250501,42.6733668341709,33.7393708747376,obs,5.84,24.95,499.62743,208.93,153.77,84.92,98.85,193.41,20.06
rice_late_indica,广西,huanan,2019,1036.16,414.81,0.471365426189006,0.202854771463867,0.156597436689314,0.0788777794935145,0.090304586164299,86.38,112.08,149.1667,6.40837282780411,41.9128205128205,33.1669465087984,obs,5.56,25.32,488.41,210.19,162.26,81.73,93.57,208.15,20.82
rice_late_indica,广西,huanan,2020,1063.19,377.04,0.476321259605527,0.194819364365729,0.150161307010036,0.0860147292581759,0.092683339760532,89.77,114.72,150,6.8933506044905,46.6581632653061,33.2101965996581,obs,5.57,23.16,506.42,207.13,159.65,91.45,98.54,206.08,20.57
rice_late_indica,广西,huanan,2021,1122.43,391.09,0.445479896296428,0.214507808950224,0.160597988293257,0.0861790935737641,0.093235212886327,92.2,117.38,135,7.8034632034632,49.6051282051282,36.0072014102081,obs,5.37,23.1,500.02,240.77,180.26,96.73,104.65,204.88,25.42
rice_late_indica,广西,huanan,2022,1160.36,408.79,0.424488951704643,0.218294322451653,0.173825364542039,0.0882398565962288,0.0951515047054362,95.3,114.09,163,9.62768496420048,57.2011173184358,41.4488086059925,obs,5.13,20.95,492.56,253.3,201.7,102.39,110.41,203.83,24.1
rice_late_indica,广西,huanan,2023,1152.88,389.58,0.430851432933176,0.217576851016585,0.156434321004788,0.094302963014364,0.100834432031087,96.95,116.93,165,8.23892188213796,61.4237288135593,39.3599072159009,obs,5.09,21.89,496.72,250.84,180.35,108.72,116.25,201.82,23.12
rice_late_indica,广西,huanan,2024,1149.27,403.68,0.44376865314504,0.215084357896752,0.145631574825759,0.0847755531772343,0.110739860955215,99.92,115.19,165.8333,8.05825710158883,59.0484848484849,37.3603809521973,obs,5.07,20.77,510.01,247.19,167.37,97.43,127.27,204.97,23.14
rice_late_indica,江西,changjiang,2004,348.6,416.6,0.484193918531268,0.146213425129088,0.214056224899598,0.0373493975903615,0.118187033849684,13.7,25.7,27.0289408746282,4.15247634947134,8.50980392156863,13.4216156258843,obs,11.97,17.97,168.79,50.97,74.62,13.02,41.2,48.26,6.3
