crop,province,year,variable,unit,value,source
corn,云南,2004,主产品产值,元,503.93,ocr:provincial_cost_benefit_long
corn,云南,2004,主产品产量,公斤,357.3,ocr:provincial_cost_benefit_long
corn,云南,2004,产值合计,元,527.64,ocr:provincial_cost_benefit_long
corn,云南,2004,人工成本,元,267.92,ocr:provincial_cost_benefit_long
corn,云南,2004,修理维护费,元,0.64,ocr:provincial_cost_benefit_long
corn,云南,2004,其他直接费用,元,1.32,ocr:provincial_cost_benefit_long
corn,云南,2004,农家肥费,元,32.46,ocr:provincial_cost_benefit_long
corn,云南,2004,农膜费,元,4.79,ocr:provincial_cost_benefit_long
corn,云南,2004,农药费,元,4.22,ocr:provincial_cost_benefit_long
corn,云南,2004,劳动日工价,元/日,13.7,ocr:provincial_cost_benefit_long
corn,云南,2004,化肥费,元,92.19,ocr:provincial_cost_benefit_long
corn,云南,2004,固定资产折旧,元,3.45,ocr:provincial_cost_benefit_long
corn,云南,2004,土地成本,元,61.64,ocr:provincial_cost_benefit_long
corn,云南,2004,家庭用工天数,日,18.61,ocr:provincial_cost_benefit_long
corn,云南,2004,家庭用工折价,元,254.96,ocr:provincial_cost_benefit_long
corn,云南,2004,工具材料费,元,4.85,ocr:provincial_cost_benefit_long
corn,云南,2004,平均出售价格,元/50公斤,70.52,ocr:provincial_cost_benefit_long
corn,云南,2004,总成本,元,531.99,ocr:provincial_cost_benefit_long
corn,云南,2004,排灌费,元,2.16,ocr:provincial_cost_benefit_long
corn,云南,2004,机械作业费,元,3.19,ocr:provincial_cost_benefit_long
corn,云南,2004,每亩农膜用量,公斤,0.55,ocr:provincial_cost_benefit_long
corn,云南,2004,每亩化肥折纯用量,公斤,24.74,ocr:provincial_cost_benefit_long
corn,云南,2004,每亩化肥用量,公斤,24.74,ocr:provincial_cost_benefit_long
corn,云南,2004,每亩用工数量,日,19.56,ocr:provincial_cost_benefit_long
corn,云南,2004,每亩种子用量,公斤,2.79,ocr:provincial_cost_benefit_long
corn,云南,2004,流转地租金,元,3.2,ocr:provincial_cost_benefit_long
corn,云南,2004,物质与服务费用,元,202.43,ocr:provincial_cost_benefit_long
corn,云南,2004,生产成本,元,470.35,ocr:provincial_cost_benefit_long
corn,云南,2004,畜力费,元,23.71,ocr:provincial_cost_benefit_long
corn,云南,2004,种子费,元,17.53,ocr:provincial_cost_benefit_long
corn,云南,2004,管理费,元,0.32,ocr:provincial_cost_benefit_long
