crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_mach,w_fert,w_seed,w_other,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
peanut,吉林,dongbei,2019,574.7,185.48,0.326152775361058,0.252288150339307,0.18357403862885,0.150078301722638,0.0879067339481469,86.38,75,6.48432698217578,9.16578108395324,19.4459265953917,2.17,16.27,187.44,144.99,105.5,86.25,50.52,200,13.61
peanut,吉林,dongbei,2020,588.38,199.96,0.328342227811958,0.249056732043917,0.172490567320439,0.145161290322581,0.104949182501105,89.77,75,6.46845124282983,9.08617021276596,18.8334211144433,2.15,15.69,193.19,146.54,101.49,85.41,61.75,214.32,31.8
peanut,吉林,dongbei,2021,572.13,257.83,0.35243738311223,0.251044343068883,0.181689476168004,0.145124359848286,0.0697044378025973,92.2,75,6.58745247148289,8.81422505307856,19.8448577595048,2.19,15.78,201.64,143.63,103.95,83.03,39.88,336.79,50.29
peanut,吉林,dongbei,2022,641.29,272.42,0.337928238394486,0.234839152333578,0.218419123953282,0.143866269550437,0.0649472157682172,95.3,49.75,8.36238805970149,9.67085953878407,26.4627918127699,2.27,16.75,216.71,150.6,140.07,92.26,41.65,589.52,88.43
peanut,吉林,dongbei,2023,605.97,280.12,0.36013333993432,0.114197072462333,0.25905572883146,0.170784032212816,0.0958298265590706,96.95,49.75,8.19738903394256,10.1262230919765,25.4277693169841,2.25,19.15,218.23,69.2,156.98,103.49,58.07,765.95,116.88
peanut,吉林,dongbei,2024,664.48,285.74,0.350665181796292,0.145075848784012,0.245319648446906,0.171653021911871,0.0872862990609198,99.92,49.75,8.39824832560536,11.138671875,23.5345747978688,2.33,19.41,233.01,96.4,163.01,114.06,58,706.12,105.92
peanut,四川,xinan,2004,252.55,151.2,0.672104533755692,0.0490595921599683,0.0877054048703227,0.160403880419719,0.0307265887942982,13.7,29.8552483959165,3.15078236130868,4.69409038238702,4.43795588581561,12.39,7.03,169.74,12.39,22.15,40.51,7.76,31.37,3.17
peanut,四川,xinan,2008,418.83,151.2,0.562137382708975,0.01795477878853,0.137645345366855,0.250292481436382,0.0319700116992575,21.6,39.58335,4.12965616045845,5.8109756097561,24.8303209208845,10.9,13.96,235.44,7.52,57.65,104.83,13.39,34.7,3.27
peanut,四川,xinan,2016,1213.6464,205.77,0.709338733258715,0.0396655895819408,0.0635440438005666,0.164685529491951,0.0227661038668265,81.4,90,5.51645207439199,11.0425414364641,24.8012438728359,10.58,13.98,860.8864,48.14,77.12,199.87,27.63,85.24,1.61
peanut,四川,xinan,2017,1229.7512,192.7,0.719805111798224,0.0398454581707259,0.0601829052901107,0.157324505965109,0.0228420187758304,83.1,90,5.55630630630631,10.6536343612335,24.7062057171664,10.65,13.32,885.1812,49,74.01,193.47,28.09,86.34,1.66
peanut,四川,xinan,2018,1266.69246,193.27,0.711319036350781,0.046862203632285,0.0672933665366572,0.151583755381318,0.0229416380989589,84.89,90,6.10164638511095,10.5907335907336,26.4689020496026,10.61,13.97,901.02246,59.36,85.24,192.01,29.06,88.39,1.97
