province,year,item,unit,price,n_periods
云南,2003,abc,元/公斤,0.5778,9
云南,2004,abc,元/公斤,0.625,11
云南,2005,abc,元/公斤,0.655,12
云南,2006,abc,元/公斤,0.6242,36
云南,2007,abc,元/公斤,0.7117,36
云南,2008,abc,元/公斤,0.9026,36
云南,2009,abc,元/公斤,0.8706,36
云南,2010,abc,元/公斤,0.7503,36
云南,2011,abc,元/公斤,1.0046,36
云南,2012,abc,元/公斤,1.0686,36
云南,2013,abc,元/公斤,1.0591,35
云南,2014,abc,元/公斤,0.8917,35
云南,2015,abc,元/公斤,0.8528,36
云南,2016,abc,元/公斤,0.8656,36
云南,2017,abc,元/公斤,0.8986,36
云南,2018,abc,元/公斤,0.9107,36
云南,2019,abc,元/公斤,0.9642,36
云南,2020,abc,元/公斤,0.9797,36
云南,2021,abc,元/公斤,1.0105,40
云南,2022,abc,元/公斤,1.2005,40
云南,2023,abc,元/公斤,1.3941,41
云南,2024,abc,元/公斤,1.3815,39
云南,2025,abc,元/公斤,1.37,40
内蒙古,2003,abc,元/公斤,0.4411,9
内蒙古,2004,abc,元/公斤,0.4771,12
内蒙古,2005,abc,元/公斤,0.5467,12
内蒙古,2006,abc,元/公斤,0.5282,36
内蒙古,2007,abc,元/公斤,0.5274,36
内蒙古,2008,abc,元/公斤,0.7128,36
内蒙古,2009,abc,元/公斤,0.6936,36
内蒙古,2010,abc,元/公斤,0.7206,36
内蒙古,2011,abc,元/公斤,0.7625,36
内蒙古,2012,abc,元/公斤,0.77,36
内蒙古,2013,abc,元/公斤,0.7463,35
内蒙古,2014,abc,元/公斤,0.8396,36
内蒙古,2015,abc,元/公斤,0.7,36
内蒙古,2016,abc,元/公斤,0.6142,36
内蒙古,2017,abc,元/公斤,0.7192,36
内蒙古,2018,abc,元/公斤,0.7728,36
内蒙古,2019,abc,元/公斤,0.7658,36
内蒙古,2020,abc,元/公斤,0.7508,36
内蒙古,2021,abc,元/公斤,0.8482,40
内蒙古,2022,abc,元/公斤,1.1288,40
内蒙古,2023,abc,元/公斤,1.0702,41
内蒙古,2024,abc,元/公斤,1.0154,39
内蒙古,2025,abc,元/公斤,0.9823,40
吉林,2003,abc,元/公斤,0.4211,9
吉林,2004,abc,元/公斤,0.43,3
吉林,2006,abc,元/公斤,0.5296,36
吉林,2007,abc,元/公斤,0.5669,36
吉林,2008,abc,元/公斤,0.7174,36
吉林,2009,abc,元/公斤,0.7514,36
吉林,2010,abc,元/公斤,0.6981,36
吉林,2011,abc,元/公斤,0.7833,36
吉林,2012,abc,元/公斤,0.8,36
吉林,2013,abc,元/公斤,0.775,32
四川,2003,abc,元/公斤,0.4322,9
四川,2004,abc,元/公斤,0.4986,11
四川,2005,abc,元/公斤,0.58,12
四川,2006,abc,元/公斤,0.4946,36
四川,2007,abc,元/公斤,0.525,36
四川,2008,abc,元/公斤,0.7154,36
四川,2009,abc,元/公斤,0.67,36
四川,2010,abc,元/公斤,0.6172,36
四川,2011,abc,元/公斤,0.7708,36
四川,2012,abc,元/公斤,0.8289,36
四川,2013,abc,元/公斤,0.8111,35
四川,2014,abc,元/公斤,0.7364,36
四川,2015,abc,元/公斤,0.7061,36
四川,2016,abc,元/公斤,0.7081,36
四川,2017,abc,元/公斤,0.7211,36
四川,2018,abc,元/公斤,0.8367,36
四川,2019,abc,元/公斤,0.89,36
四川,2020,abc,元/公斤,0.8719,36
四川,2021,abc,元/公斤,0.8845,40
四川,2022,abc,元/公斤,1.1005,40
四川,2023,abc,元/公斤,1.1649,41
四川,2024,abc,元/公斤,1.0897,39
四川,2025,abc,元/公斤,0.9235,40
宁夏,2003,abc,元/公斤,0.3611,9
宁夏,2004,abc,元/公斤,0.6291,11
宁夏,2005,abc,元/公斤,0.5,11
宁夏,2006,abc,元/公斤,0.5049,36
宁夏,2007,abc,元/公斤,0.4901,36
宁夏,2008,abc,元/公斤,0.6881,36
宁夏,2009,abc,元/公斤,0.644,36
宁夏,2010,abc,元/公斤,0.6075,36
宁夏,2011,abc,元/公斤,0.7553,36
宁夏,2012,abc,元/公斤,0.8017,36
宁夏,2013,abc,元/公斤,0.7874,35
宁夏,2014,abc,元/公斤,0.7157,36
宁夏,2015,abc,元/公斤,0.7186,36
宁夏,2016,abc,元/公斤,0.6558,36
宁夏,2017,abc,元/公斤,0.7186,36
宁夏,2018,abc,元/公斤,0.7669,36
宁夏,2019,abc,元/公斤,0.7653,36
宁夏,2020,abc,元/公斤,0.71,36
宁夏,2021,abc,元/公斤,0.8222,40
宁夏,2022,abc,元/公斤,1.1575,40
宁夏,2023,abc,元/公斤,1.2415,41
宁夏,2024,abc,元/公斤,1.2,39
宁夏,2025,abc,元/公斤,1.0425,40
安徽,2003,abc,元/公斤,0.3933,9
安徽,2004,abc,元/公斤,0.5025,12
安徽,2005,abc,元/公斤,0.5162,12
安徽,2006,abc,元/公斤,0.5081,36
安徽,2007,abc,元/公斤,0.52,36
安徽,2008,abc,元/公斤,0.7661,36
安徽,2009,abc,元/公斤,0.6436,36
安徽,2010,abc,元/公斤,0.6461,36
安徽,2011,abc,元/公斤,0.7797,36
安徽,2012,abc,元/公斤,0.8169,36
安徽,2013,abc,元/公斤,0.7563,35
安徽,2014,abc,元/公斤,0.7533,36
安徽,2015,abc,元/公斤,0.7572,36
安徽,2016,abc,元/公斤,0.7506,36
安徽,2017,abc,元/公斤,0.7928,36
安徽,2018,abc,元/公斤,0.8036,36
安徽,2019,abc,元/公斤,0.7958,36
安徽,2020,abc,元/公斤,0.7928,36
安徽,2021,abc,元/公斤,0.899,40
安徽,2022,abc,元/公斤,1.067,40
安徽,2023,abc,元/公斤,1.0171,41
安徽,2024,abc,元/公斤,1.0,39
安徽,2025,abc,元/公斤,1.0,40
山东,2003,abc,元/公斤,0.3878,9
山东,2004,abc,元/公斤,0.4792,12
山东,2005,abc,元/公斤,0.5146,12
山东,2006,abc,元/公斤,0.4932,36
山东,2007,abc,元/公斤,0.5096,36
山东,2008,abc,元/公斤,0.6906,36
山东,2009,abc,元/公斤,0.6567,36
山东,2010,abc,元/公斤,0.6369,36
山东,2011,abc,元/公斤,0.7267,36
山东,2012,abc,元/公斤,0.7738,36
山东,2013,abc,元/公斤,0.752,35
山东,2014,abc,元/公斤,0.6967,36
山东,2015,abc,元/公斤,0.7,36
山东,2016,abc,元/公斤,0.7,36
山东,2017,abc,元/公斤,0.7,36
山东,2018,abc,元/公斤,0.7328,36
山东,2019,abc,元/公斤,0.7278,36
山东,2020,abc,元/公斤,0.71,36
