item,source_files,definition_spec,unit,merge_rule,years_covered,gaps_and_treatment
urea,A/B/D/E,尿素 含氮46% 国产,元/公斤,单一规格贯穿；进口规格弃用,2003-2025,无
abc,A/B/D/E,"碳酸氢铵 含氮17%(,国产)",元/公斤,两代规格写法合并,2003-2025,无
ssp,A/B/D/E,过磷酸钙 含磷12% 国产/进口,元/公斤,12%基准；2013+新增16%规格为不同产品，未并入,2006-2025,无
dap,A/B/D/E,"磷酸二铵 含氮磷总量64%(,国产)+进口",元/公斤,两代命名与进口规格合并取中位,2003-2025,四川2007+、广东全期缺；江西/浙江/海南断续
npk_cl,A/B/D/E,三元复合肥 氯基15-15-15 国产+进口(06-10),元/公斤,氯基基准；2013+硫基系统性偏贵未并入,2003-2025,甘肃2006-2013缺
mulch_film,A/B/D/E,地膜 当地主销,元/公斤,单一口径,2003-2025,无
greenhouse_film,A/B/D/E,棚膜 当地主销,元/公斤,单一口径,2003-2025,无
chlorpyrifos,A/B/D/E,毒死蜱 480克/升乳油瓶装,元/500克,唯一全期口径一致的农药；其余农药06-10散装与11+包装口径不可比,2003-2025,无
diesel,B/C,农用柴油,元/公斤,B/C两源合并取中位；如需元/升 ×0.84,2006-2010,仅2006-2010，2011+监测项目取消
kcl,B,氯化钾 含氧化钾60% 国产+进口,元/公斤,国产/进口合并取中位,2006-2010,仅2006-2010
piglet,C,仔猪 10公斤左右,元/公斤,原始元/500克×2,2006-2010,仅2006-2010
soymeal,C,豆粕 二等,元/公斤,单一口径,2006-2010,仅2006-2010
wheat_bran,C,麦麸 二级,元/公斤,原始元/500克×2,2006-2010,仅2006-2010
machine_tillage,G 农村居民服务价格月报,农业作业费/农机作业费·机耕费,元/亩,2022+分作物(小麦/水稻/玉米)取县×月三作物中位数,2006-2024,2011-2012整体缺失(留空NA)；2024仅1-3月
machine_harvest,G 农村居民服务价格月报,农机作业费·机收费,元/亩,2022+分作物取县×月三作物中位数,2012-2024,2006-2012无机收费项(2013年始)；2024仅1-3月
