crop,n_base,n_specB,eps_ll_base,eps_ll_specB,eps_mm_base,eps_mm_specB,M_ml_base,M_ml_specB,dM_ml,B_labor_base,B_labor_specB,eCy_base_mean,eCy_base_negrate,eCy_specB_mean,eCy_specB_negrate,eCy_specB_range
corn,427,382,-0.298,-0.297,-0.966,-0.974,0.963,0.981,0.019,-0.0059,-0.0058,0.21,0,0.206,0,"[0.02,0.45]"
wheat,325,283,-0.407,-0.418,-0.808,-0.801,0.733,0.763,0.031,-9e-04,0.002,0.164,0,0.245,0.021,"[-0.07,0.39]"
soybean,240,204,-0.401,-0.367,-1.032,-0.962,1.166,1.064,-0.102,0.005,0.0019,0.269,0.004,0.114,0,"[0.01,0.18]"
rice_japonica,278,245,-0.268,-0.264,-0.715,-0.7,0.636,0.62,-0.017,-0.0222,-0.0242,0.17,0.191,0.304,0.102,"[-0.25,0.74]"
rice_mid_indica,237,210,-0.293,-0.282,-0.755,-0.712,0.79,0.751,-0.039,-0.0086,-0.0081,0.153,0.38,-0.223,0.619,"[-1.60,1.23]"
rice_early_indica,189,171,-0.229,-0.222,-0.627,-0.623,0.535,0.522,-0.013,-0.0218,-0.0211,0.109,0.386,0.269,0.345,"[-0.67,1.17]"
rice_late_indica,189,171,-0.226,-0.208,-0.676,-0.686,0.565,0.55,-0.015,-0.0232,-0.0232,-0.042,0.847,0.107,0.234,"[-0.55,0.39]"
peanut,222,181,-0.278,-0.299,-0.896,-0.927,0.921,0.987,0.066,0.002,0.0037,0.089,0,0.071,0.144,"[-0.07,0.26]"
rapeseed,302,267,-0.261,-0.255,-1.038,-1.126,1.041,1.08,0.039,-7e-04,0,-0.013,0.48,-0.416,1,"[-0.82,-0.08]"
