variant,model,split,train_years,test_years,group,rmse_x,mae_x,mean_x,relative_rmse,n_test
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,dairyegg,0.0129435732753167,0.0105154467199068,0.0336587895284949,0.3845525479862827,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,grain,0.0668854331058875,0.0548335941028412,0.4202893830904221,0.159141381621571,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,meatother,0.0190878007224972,0.0148763079099887,0.0454472075362963,0.4199994181656333,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,nonfood,4.180144302130215,3.438008836138925,198.0513319121789,0.0211063680398968,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,oil,0.0309218456066534,0.0251780391944393,0.1288846674059655,0.2399187291165885,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,pork,0.0598108535233923,0.0496079236014913,0.1250981558741096,0.4781113926537972,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,vegfruit,0.0121196280253759,0.010029956088968,0.0550383622979653,0.2202032822081981,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,dairyegg,0.0121178713204366,0.0098981226015733,0.0336587895284949,0.3600210075938089,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,grain,0.0648119661521046,0.0534661610253242,0.4202893830904221,0.1542079547085795,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,meatother,0.0184164801302807,0.0141737067619134,0.0454472075362963,0.405227980521629,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,nonfood,4.017027113881467,3.3030651816594703,198.0513319121789,0.0202827573796005,93
