数据库：分省年度数据 
时间：2000年-2025年 
数据时间	,北京市	,天津市	,河北省	,山西省	,内蒙古自治区	,辽宁省	,吉林省	,黑龙江省	,上海市	,江苏省	,浙江省	,安徽省	,福建省	,江西省	,山东省	,河南省	,湖北省	,湖南省	,广东省	,广西壮族自治区	,海南省	,重庆市	,四川省	,贵州省	,云南省	,西藏自治区	,陕西省	,甘肃省	,青海省	,宁夏回族自治区	,新疆维吾尔自治区	,
2000年	,30.30	,16.50	,84.20	,33.50	,79.80	,18.90	,14.30	,154.30	,25.90	,25.50	,11.20	,4.10	,9.60	,5.60	,45.70	,16.10	,5.60	,1.10	,9.20	,1.70	,0.03	,5.60	,28.50	,1.70	,13.00	,16.20	,39.20	,13.30	,20.60	,23.60	,72.50	,
2001年	,42.90	,24.10	,107.40	,37.90	,106.20	,24.20	,16.00	,189.00	,26.00	,35.40	,17.60	,5.50	,11.10	,5.90	,61.80	,27.00	,8.80	,1.80	,10.20	,2.00	,	,6.80	,33.00	,2.00	,15.60	,18.10	,43.50	,15.20	,21.70	,27.60	,81.10	,
2002年	,55.10	,33.60	,136.90	,44.70	,165.20	,28.10	,18.00	,235.80	,28.00	,45.30	,22.20	,7.40	,13.80	,7.90	,90.30	,36.00	,10.10	,3.00	,10.80	,3.10	,0.04	,8.10	,38.90	,2.50	,17.50	,19.00	,54.00	,16.80	,22.00	,30.70	,94.90	,
2003年	,63.29	,43.23	,197.90	,53.24	,308.02	,42.69	,22.68	,300.47	,27.05	,49.78	,24.73	,9.01	,19.19	,10.89	,124.39	,49.60	,11.07	,5.25	,10.55	,3.82	,0.06	,9.06	,45.44	,3.38	,21.75	,19.63	,74.21	,22.18	,22.14	,38.59	,113.00	,
2004年	,70.04	,54.24	,266.46	,61.15	,497.87	,58.45	,25.32	,374.48	,25.20	,53.61	,25.95	,10.19	,20.80	,11.60	,160.88	,74.50	,11.67	,6.66	,10.94	,4.82	,0.10	,8.51	,52.61	,3.56	,26.86	,20.29	,96.19	,25.51	,22.75	,46.06	,133.32	,
2005年	,64.20	,63.41	,340.35	,71.28	,691.05	,74.88	,29.40	,440.24	,23.76	,56.62	,26.67	,11.02	,19.42	,12.51	,187.07	,104.00	,12.22	,6.91	,11.64	,5.35	,0.11	,8.61	,58.56	,3.75	,30.91	,21.21	,113.34	,31.19	,23.62	,57.85	,152.22	,
2006年	,61.93	,68.28	,407.62	,81.06	,869.16	,93.70	,34.50	,460.30	,22.09	,58.36	,25.48	,12.80	,17.05	,13.87	,215.80	,147.68	,13.88	,7.27	,12.17	,6.27	,0.09	,8.35	,62.04	,4.09	,36.40	,21.57	,127.36	,35.91	,23.80	,64.73	,179.81	,
2007年	,62.24	,67.21	,489.44	,81.18	,909.84	,105.10	,47.31	,508.36	,22.04	,60.24	,23.71	,18.09	,16.27	,11.22	,218.99	,215.61	,15.51	,7.67	,12.63	,6.95	,0.14	,8.71	,64.98	,4.06	,42.35	,22.98	,149.02	,34.69	,24.98	,77.45	,196.23	,
2008年	,66.38	,69.75	,504.51	,68.18	,912.23	,101.20	,39.74	,508.36	,23.29	,61.05	,22.51	,18.09	,14.49	,11.19	,230.51	,279.10	,15.51	,7.67	,12.96	,7.50	,0.24	,7.78	,66.08	,4.27	,44.67	,22.98	,149.02	,34.69	,25.28	,89.22	,137.36	,
2009年	,67.39	,68.29	,451.50	,72.50	,903.10	,110.00	,44.50	,528.70	,21.25	,55.40	,19.93	,20.10	,15.20	,11.20	,236.28	,281.89	,15.51	,7.67	,14.03	,8.07	,0.18	,7.94	,68.17	,4.49	,48.38	,22.98	,149.20	,37.66	,25.31	,81.14	,120.88	,
2010年	,64.08	,69.04	,439.76	,73.22	,905.18	,121.22	,43.52	,552.49	,24.71	,57.28	,20.26	,20.48	,15.41	,11.40	,253.05	,290.91	,13.99	,7.80	,14.23	,8.21	,0.19	,7.98	,69.81	,4.59	,50.41	,23.28	,137.46	,36.28	,26.22	,84.55	,128.60	,
2011年	,63.98	,69.09	,458.90	,74.60	,908.20	,124.50	,45.24	,543.10	,29.08	,59.17	,19.91	,22.51	,15.47	,11.80	,268.87	,306.60	,14.22	,8.10	,14.23	,8.88	,0.19	,8.00	,71.20	,4.85	,52.39	,23.80	,140.50	,37.01	,26.96	,96.00	,130.50	,
2012年	,65.05	,67.87	,470.37	,79.97	,910.20	,124.75	,49.10	,559.94	,30.18	,61.30	,19.27	,24.09	,15.04	,12.60	,283.92	,316.10	,15.34	,8.50	,13.64	,9.36	,0.23	,7.73	,71.71	,5.10	,53.70	,25.56	,141.76	,37.97	,27.55	,103.49	,132.21	,
2013年	,61.46	,68.24	,458.00	,86.21	,767.30	,120.88	,47.58	,518.23	,26.53	,59.89	,18.21	,25.34	,14.93	,12.25	,271.43	,316.42	,15.40	,8.90	,13.76	,9.56	,0.23	,6.80	,70.63	,5.45	,54.51	,26.97	,141.09	,38.50	,27.55	,104.19	,134.99	,
2014年	,59.48	,68.90	,487.77	,96.20	,788.02	,131.20	,49.31	,556.58	,27.05	,60.72	,15.90	,27.87	,14.97	,12.85	,279.60	,332.00	,16.10	,9.30	,13.51	,9.65	,0.23	,5.69	,70.81	,5.71	,58.20	,28.99	,144.67	,39.60	,30.50	,135.74	,147.53	,
2015年	,57.22	,68.00	,473.14	,91.87	,803.20	,140.25	,52.33	,570.48	,27.69	,59.59	,16.50	,30.63	,14.95	,13.00	,275.38	,342.20	,16.85	,9.70	,12.95	,10.06	,0.23	,5.45	,67.48	,6.20	,55.00	,30.04	,141.19	,39.31	,31.50	,136.53	,155.77	,
2016年	,45.70	,68.02	,440.49	,95.09	,734.12	,143.06	,52.85	,545.95	,26.04	,59.01	,15.30	,32.68	,15.45	,13.45	,268.40	,326.80	,16.86	,10.10	,12.95	,9.66	,0.22	,5.45	,62.76	,6.39	,56.93	,29.73	,140.20	,40.00	,33.00	,139.47	,156.08	,
2017年	,37.42	,52.05	,381.01	,77.39	,552.86	,119.71	,33.98	,465.21	,36.37	,49.04	,14.31	,29.84	,13.11	,9.49	,223.54	,202.86	,12.76	,6.05	,13.88	,8.14	,0.50	,5.06	,63.70	,4.40	,56.83	,37.06	,107.28	,40.40	,32.43	,160.07	,191.86	,
2018年	,31.06	,48.04	,384.81	,81.06	,565.57	,131.80	,38.83	,455.91	,33.44	,50.03	,15.73	,30.80	,13.82	,9.63	,225.11	,202.65	,12.81	,6.20	,13.89	,8.87	,0.19	,4.89	,64.24	,4.58	,58.21	,36.44	,109.75	,40.50	,32.57	,168.29	,194.85	,
2019年	,26.41	,47.37	,428.68	,91.81	,577.20	,133.90	,39.90	,465.24	,29.74	,62.36	,15.48	,33.76	,14.46	,7.28	,228.04	,204.07	,13.38	,6.30	,13.92	,8.71	,0.23	,4.19	,66.74	,5.29	,59.87	,42.39	,107.77	,44.10	,34.87	,183.36	,204.42	,
2020年	,24.24	,50.07	,483.40	,117.01	,611.48	,136.70	,39.26	,500.16	,29.09	,62.95	,18.33	,37.64	,16.93	,9.11	,241.42	,210.05	,13.39	,5.60	,15.10	,11.18	,0.26	,3.21	,68.01	,5.25	,67.29	,44.89	,108.65	,57.50	,36.58	,215.34	,200.04	,
2021年	,25.85	,51.81	,498.39	,135.15	,673.24	,138.89	,32.69	,500.25	,29.36	,64.88	,18.55	,47.55	,19.43	,8.32	,288.26	,212.15	,9.61	,5.70	,17.23	,13.09	,0.10	,3.07	,68.32	,4.92	,68.39	,48.85	,104.60	,66.64	,35.39	,280.51	,211.53	,
2022年	,26.22	,51.13	,546.73	,142.80	,733.83	,134.67	,29.30	,501.15	,30.22	,68.78	,19.60	,50.74	,21.51	,7.90	,304.40	,213.17	,9.18	,7.20	,19.81	,13.12	,0.28	,3.19	,70.80	,3.73	,69.01	,53.34	,107.85	,91.83	,35.06	,342.50	,222.58	,
2023年	,26.50	,54.12	,571.88	,147.13	,792.58	,135.37	,30.83	,503.57	,30.68	,72.88	,20.88	,53.63	,24.90	,6.32	,318.10	,237.47	,8.99	,7.78	,20.25	,13.79	,0.29	,3.05	,72.03	,3.69	,72.59	,59.33	,109.10	,101.75	,33.72	,430.63	,232.83	,
2024年	,27.10	,50.57	,560.44	,146.11	,776.73	,130.59	,30.21	,443.14	,31.89	,70.46	,20.81	,63.23	,27.20	,4.58	,313.46	,230.35	,6.93	,8.50	,25.81	,13.70	,0.28	,3.22	,64.63	,2.95	,69.11	,63.13	,91.58	,116.32	,31.26	,457.03	,198.08	,
2025年	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
注：1. 2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
