数据库：分省年度数据 
时间：2000年-2025年 
2015年	,1.55	,3.39	,53.19	,5.88	,52.89	,40.27	,46.59	,41.58	,0.05	,3.22	,1.20	,16.19	,3.07	,13.61	,67.87	,82.60	,22.99	,19.88	,6.97	,14.38	,2.56	,8.84	,35.37	,16.76	,34.28	,16.51	,7.90	,18.80	,11.49	,9.75	,40.45	,
2016年	,1.36	,3.45	,54.25	,5.92	,55.59	,41.60	,47.10	,42.54	,0.05	,3.11	,1.28	,16.49	,3.21	,14.41	,66.99	,83.01	,23.17	,20.40	,7.07	,14.71	,2.60	,9.17	,36.86	,17.85	,35.24	,16.18	,8.03	,20.02	,12.18	,10.42	,42.48	,
2017年	,1.47	,3.39	,55.60	,5.91	,59.48	,25.11	,38.03	,43.90	,0.14	,2.93	,1.32	,8.07	,1.72	,12.05	,75.93	,35.04	,15.76	,17.00	,4.08	,11.71	,1.85	,7.29	,33.31	,19.06	,35.82	,22.54	,8.33	,20.96	,12.86	,10.92	,43.04	,
2018年	,0.94	,2.85	,56.46	,6.50	,61.43	,27.50	,40.66	,42.56	,0.02	,2.82	,1.24	,8.70	,1.94	,12.45	,76.38	,34.80	,15.82	,17.90	,4.07	,12.32	,1.93	,7.20	,34.47	,19.90	,36.02	,20.86	,8.24	,21.40	,13.18	,11.52	,41.97	,
2019年	,0.75	,2.53	,57.20	,6.61	,63.78	,29.60	,41.86	,45.49	,0.01	,2.93	,1.30	,9.49	,2.14	,13.14	,73.33	,36.22	,15.99	,19.00	,4.08	,12.41	,2.21	,7.26	,36.43	,21.51	,39.01	,21.15	,8.49	,22.75	,14.63	,11.46	,44.52	,
2020年	,0.45	,2.67	,55.57	,7.37	,66.25	,31.00	,38.70	,48.31	,0.25	,2.64	,1.39	,9.92	,2.46	,15.20	,59.70	,36.71	,15.40	,20.50	,4.22	,13.62	,2.25	,7.36	,37.03	,23.10	,40.94	,21.17	,8.70	,24.90	,19.23	,11.44	,43.99	,
2021年	,0.43	,2.79	,55.85	,8.96	,68.71	,31.50	,40.85	,50.68	,0.22	,2.79	,1.66	,11.15	,2.56	,16.71	,61.30	,35.53	,15.84	,21.30	,4.37	,14.03	,2.13	,7.63	,36.86	,23.59	,42.01	,20.51	,8.95	,27.02	,21.25	,11.83	,48.50	,
2022年	,0.43	,2.93	,58.08	,9.10	,71.87	,32.35	,44.32	,52.67	,0.00	,2.89	,1.52	,11.66	,2.69	,17.13	,60.40	,36.71	,16.26	,21.60	,4.53	,14.94	,2.02	,7.95	,38.58	,22.84	,43.61	,21.35	,8.93	,27.18	,21.88	,12.47	,49.37	,
2023年	,0.50	,3.17	,59.38	,10.23	,77.84	,32.05	,49.06	,55.24	,0.01	,3.30	,1.52	,11.72	,2.81	,17.79	,58.23	,37.99	,17.19	,20.40	,4.43	,15.25	,2.00	,8.51	,39.07	,22.15	,44.74	,23.75	,8.97	,29.76	,22.84	,14.42	,58.38	,
2024年	,0.54	,4.60	,59.72	,11.66	,89.09	,34.43	,53.86	,55.95	,0.01	,3.92	,1.79	,12.85	,2.88	,17.10	,53.49	,39.13	,16.02	,21.30	,4.17	,14.08	,1.92	,7.91	,37.15	,22.89	,43.80	,25.02	,8.69	,33.10	,22.71	,17.23	,62.08	,
2025年	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
注：1. 2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
