数据库：分省年度数据 
时间：2000年-2025年 
数据时间	,北京市	,天津市	,河北省	,山西省	,内蒙古自治区	,辽宁省	,吉林省	,黑龙江省	,上海市	,江苏省	,浙江省	,安徽省	,福建省	,江西省	,山东省	,河南省	,湖北省	,湖南省	,广东省	,广西壮族自治区	,海南省	,重庆市	,四川省	,贵州省	,云南省	,西藏自治区	,陕西省	,甘肃省	,青海省	,宁夏回族自治区	,新疆维吾尔自治区	,
2000年	,16.02	,25.60	,357.03	,40.33	,24.41	,140.31	,80.04	,75.30	,16.64	,181.38	,37.17	,107.40	,40.69	,33.50	,366.22	,270.00	,102.56	,52.30	,33.08	,14.45	,2.87	,27.89	,99.70	,6.53	,10.63	,0.20	,42.49	,11.17	,1.34	,7.57	,18.53	,
2001年	,15.56	,26.00	,369.63	,42.56	,26.38	,148.36	,82.96	,80.31	,16.87	,180.13	,40.55	,112.72	,40.11	,33.64	,379.04	,286.00	,108.18	,54.65	,33.14	,14.46	,3.13	,29.79	,108.76	,7.00	,11.80	,0.24	,42.48	,11.91	,1.29	,8.70	,20.37	,
2002年	,15.21	,24.47	,389.44	,45.65	,27.66	,159.83	,84.04	,84.59	,16.65	,187.25	,43.49	,115.31	,40.79	,35.37	,399.41	,302.00	,112.10	,62.71	,32.83	,14.95	,3.11	,31.58	,121.11	,7.93	,13.16	,0.25	,46.36	,12.41	,1.37	,9.04	,22.64	,
2003年	,16.18	,24.25	,415.19	,50.35	,34.44	,169.51	,90.01	,90.29	,15.07	,188.19	,42.20	,119.78	,42.40	,37.06	,424.69	,326.20	,117.37	,64.59	,32.52	,14.96	,2.59	,35.36	,133.61	,9.12	,14.39	,0.22	,49.05	,13.44	,1.40	,8.71	,23.62	,
2004年	,15.89	,24.38	,432.94	,52.04	,38.75	,192.39	,95.00	,98.29	,10.51	,175.39	,42.07	,120.01	,43.44	,40.81	,432.87	,347.40	,118.11	,88.09	,31.67	,16.14	,2.68	,36.55	,145.21	,9.92	,16.49	,0.29	,48.38	,13.73	,1.41	,7.82	,24.99	,
2005年	,15.97	,23.47	,458.97	,56.88	,46.18	,224.05	,100.00	,102.74	,8.40	,182.01	,44.52	,122.06	,43.91	,42.09	,441.83	,375.30	,121.25	,92.06	,33.19	,17.74	,2.65	,39.15	,157.17	,11.11	,19.00	,0.40	,48.73	,14.48	,1.39	,7.83	,24.99	,
2006年	,15.18	,18.98	,382.30	,43.08	,41.33	,195.17	,83.02	,88.47	,5.55	,152.51	,34.53	,101.57	,36.92	,35.55	,353.89	,329.48	,102.60	,78.33	,28.52	,15.46	,2.15	,30.32	,141.13	,10.02	,16.89	,0.29	,41.04	,12.16	,1.20	,5.17	,21.20	,
2007年	,15.56	,19.36	,396.45	,47.30	,43.02	,204.15	,86.26	,91.39	,5.54	,166.09	,37.87	,108.58	,39.69	,36.37	,359.90	,336.72	,110.29	,85.62	,29.80	,16.82	,2.17	,32.35	,145.22	,10.35	,17.95	,0.28	,43.29	,12.36	,1.26	,5.65	,21.31	,
2008年	,15.24	,19.69	,411.00	,61.60	,45.55	,254.20	,87.10	,93.68	,6.20	,172.10	,41.43	,112.09	,33.02	,40.02	,364.98	,371.70	,124.10	,87.47	,32.35	,17.94	,3.11	,41.29	,143.01	,10.82	,19.41	,0.28	,48.20	,11.88	,1.39	,6.44	,24.89	,
2009年	,15.40	,19.60	,353.21	,75.30	,48.87	,263.10	,98.60	,101.90	,8.04	,185.20	,43.28	,118.19	,28.75	,41.35	,377.12	,382.85	,128.94	,88.89	,33.90	,19.34	,3.19	,35.97	,144.10	,12.20	,20.75	,0.28	,48.05	,13.90	,1.52	,7.48	,23.20	,
2010年	,15.14	,18.74	,339.08	,70.48	,50.00	,275.73	,95.64	,105.26	,6.28	,190.57	,44.28	,119.02	,26.28	,41.97	,384.28	,388.59	,132.59	,91.73	,34.41	,20.02	,3.50	,37.22	,144.39	,12.51	,20.80	,0.29	,47.07	,13.81	,1.56	,7.15	,24.35	,
2011年	,15.15	,18.67	,339.84	,71.00	,52.52	,277.40	,95.29	,105.41	,6.30	,194.86	,47.17	,119.65	,25.22	,44.50	,401.19	,390.50	,137.03	,93.50	,34.84	,21.00	,3.32	,37.42	,144.85	,13.65	,21.65	,0.33	,50.30	,14.20	,1.76	,7.29	,25.61	,
2012年	,15.24	,18.66	,342.56	,74.69	,54.46	,279.90	,100.25	,108.15	,5.90	,197.20	,48.14	,122.65	,25.36	,45.79	,401.99	,404.17	,139.36	,95.18	,31.81	,21.82	,3.58	,40.05	,146.44	,14.65	,22.13	,0.43	,51.86	,14.70	,2.01	,6.18	,25.89	,
2013年	,17.50	,18.89	,346.06	,79.85	,55.09	,276.82	,97.70	,102.70	,5.66	,197.87	,43.09	,124.53	,25.04	,46.12	,396.21	,410.23	,145.05	,95.60	,32.31	,22.71	,3.81	,41.09	,145.20	,15.44	,23.24	,0.47	,55.40	,14.50	,2.26	,7.44	,28.17	,
2014年	,19.65	,19.42	,362.71	,83.66	,53.54	,279.30	,98.49	,98.17	,5.23	,194.58	,39.03	,122.53	,25.42	,47.81	,388.02	,404.00	,155.06	,97.90	,32.97	,22.16	,3.79	,43.21	,145.35	,16.20	,24.26	,0.48	,54.50	,15.45	,2.18	,8.30	,30.52	,
2015年	,19.58	,20.20	,373.59	,87.24	,56.40	,276.50	,107.29	,99.92	,4.89	,196.23	,33.30	,134.66	,25.51	,49.28	,423.90	,410.00	,165.29	,101.50	,33.84	,22.88	,4.38	,45.36	,146.65	,17.33	,25.98	,0.48	,58.06	,15.29	,2.26	,8.78	,32.64	,
2016年	,18.33	,20.63	,388.54	,89.05	,58.00	,287.60	,114.44	,106.25	,3.50	,198.50	,30.85	,139.55	,27.85	,51.68	,440.59	,422.50	,167.77	,104.70	,33.33	,23.09	,4.83	,47.39	,148.12	,18.30	,26.44	,0.48	,59.32	,15.06	,2.39	,9.66	,36.13	,
2017年	,15.68	,18.99	,383.72	,101.87	,53.21	,270.43	,120.98	,113.81	,3.38	,183.39	,35.85	,154.70	,46.50	,45.66	,444.78	,401.18	,168.17	,103.20	,38.50	,24.20	,4.75	,40.31	,144.50	,18.69	,30.32	,0.50	,60.08	,13.83	,2.46	,15.27	,37.37	,
2018年	,11.25	,19.41	,377.97	,102.58	,55.20	,297.20	,117.11	,108.50	,3.16	,177.96	,31.49	,158.26	,44.32	,46.96	,447.00	,413.61	,171.53	,105.40	,39.24	,22.31	,4.66	,41.46	,148.80	,20.03	,32.72	,0.49	,61.58	,14.10	,2.33	,14.38	,37.27	,
2019年	,9.62	,19.36	,385.90	,111.40	,58.10	,307.90	,121.53	,114.25	,2.89	,212.30	,33.57	,168.70	,48.58	,57.17	,450.13	,442.42	,178.75	,114.70	,41.48	,25.09	,4.75	,43.52	,161.70	,22.95	,35.80	,0.54	,64.11	,15.10	,2.34	,13.86	,40.46	,
2020年	,9.74	,20.83	,389.71	,108.75	,60.44	,331.90	,121.95	,117.35	,2.88	,231.86	,33.17	,184.22	,53.66	,61.21	,480.92	,449.42	,193.09	,118.80	,44.63	,26.70	,4.84	,45.72	,167.93	,26.16	,41.75	,0.71	,64.21	,19.80	,1.40	,13.86	,40.16	,
2021年	,9.35	,19.15	,386.83	,112.34	,61.56	,325.26	,104.72	,109.78	,2.59	,230.26	,30.94	,177.10	,55.91	,62.62	,455.43	,446.42	,196.72	,117.90	,43.66	,27.08	,5.02	,47.87	,169.24	,27.70	,41.72	,0.71	,63.40	,22.30	,1.37	,12.87	,40.98	,
2022年	,8.73	,20.22	,398.44	,117.96	,62.59	,315.83	,95.85	,107.84	,4.64	,233.39	,31.71	,186.66	,59.83	,68.37	,438.09	,456.24	,207.96	,117.50	,47.20	,29.32	,5.92	,50.50	,175.50	,33.57	,43.28	,1.09	,63.62	,21.63	,1.49	,13.21	,38.22	,
2023年	,9.10	,23.17	,404.62	,126.74	,67.21	,311.80	,95.75	,107.36	,3.55	,235.26	,36.29	,206.26	,69.13	,73.20	,462.19	,441.19	,216.25	,119.60	,49.91	,33.36	,7.11	,53.08	,181.12	,38.76	,46.56	,1.45	,65.20	,23.50	,1.73	,12.70	,39.86	,
