数据库：分省年度数据 
时间：2000年-2025年 
数据时间	,北京市	,天津市	,河北省	,山西省	,内蒙古自治区	,辽宁省	,吉林省	,黑龙江省	,上海市	,江苏省	,浙江省	,安徽省	,福建省	,江西省	,山东省	,河南省	,湖北省	,湖南省	,广东省	,广西壮族自治区	,海南省	,重庆市	,四川省	,贵州省	,云南省	,西藏自治区	,陕西省	,甘肃省	,青海省	,宁夏回族自治区	,新疆维吾尔自治区	,
2000年	,29.09	,17.34	,242.84	,43.54	,76.62	,116.96	,95.47	,87.10	,25.90	,205.72	,89.78	,184.82	,106.45	,143.45	,285.88	,322.88	,193.49	,371.76	,206.85	,206.85	,22.67	,132.15	,419.10	,104.81	,172.64	,0.79	,60.94	,38.92	,6.95	,8.84	,10.81	,
2001年	,31.20	,21.92	,260.25	,44.15	,79.00	,123.80	,68.60	,73.14	,26.33	,216.68	,107.40	,199.87	,107.18	,151.67	,298.74	,343.77	,205.09	,389.77	,213.65	,208.08	,22.91	,122.64	,441.20	,110.88	,183.69	,0.83	,61.84	,43.39	,7.00	,7.60	,12.20	,
2002年	,33.82	,26.09	,265.16	,45.35	,74.88	,132.37	,75.64	,82.44	,25.10	,217.36	,115.09	,201.22	,110.61	,149.91	,314.84	,366.49	,218.80	,396.86	,225.75	,190.76	,23.26	,126.93	,458.85	,115.21	,195.86	,0.92	,60.22	,46.01	,7.17	,8.79	,14.86	,
2003年	,32.69	,32.21	,290.25	,46.79	,71.27	,147.91	,84.53	,85.57	,24.60	,221.16	,117.24	,209.69	,116.43	,142.74	,332.64	,386.00	,238.58	,419.33	,234.45	,179.76	,28.38	,132.10	,461.60	,126.93	,208.77	,0.88	,61.97	,48.66	,7.42	,10.66	,17.41	,
2004年	,31.81	,33.05	,313.38	,46.82	,80.79	,175.29	,98.52	,93.87	,5.84	,219.75	,126.43	,207.57	,121.51	,161.21	,346.42	,410.32	,240.71	,429.12	,237.73	,161.74	,32.14	,137.12	,480.20	,119.99	,228.34	,1.04	,69.92	,48.20	,8.01	,10.16	,24.58	,
2005年	,31.33	,35.63	,337.37	,47.88	,87.59	,191.24	,108.15	,100.44	,18.02	,218.54	,125.14	,215.62	,133.46	,175.87	,367.05	,440.83	,256.34	,436.97	,256.28	,186.00	,36.96	,143.83	,513.69	,136.69	,244.19	,1.22	,68.42	,50.46	,8.55	,10.67	,26.18	,
2006年	,21.87	,21.78	,246.80	,41.22	,81.70	,189.33	,109.39	,99.50	,15.20	,203.77	,121.10	,200.14	,134.36	,181.73	,361.80	,391.32	,233.59	,365.80	,251.46	,210.30	,29.96	,124.76	,481.80	,138.84	,235.90	,1.30	,77.52	,46.37	,7.93	,7.98	,15.93	,
2007年	,22.45	,20.45	,225.51	,44.15	,60.34	,191.03	,96.37	,92.11	,15.15	,183.59	,111.40	,202.54	,121.87	,187.68	,300.10	,338.98	,236.94	,348.48	,235.37	,206.16	,32.57	,130.27	,408.47	,125.63	,203.60	,1.21	,70.15	,41.80	,7.58	,8.30	,17.55	,
2008年	,22.31	,23.48	,245.78	,45.43	,64.68	,210.00	,104.59	,96.61	,17.34	,194.93	,126.85	,217.39	,136.60	,198.08	,321.34	,367.10	,260.38	,370.23	,253.96	,218.36	,36.89	,140.65	,436.24	,134.60	,219.58	,1.21	,73.47	,42.92	,8.74	,8.45	,22.29	,
2009年	,24.13	,25.66	,253.56	,50.66	,68.60	,218.80	,113.17	,108.20	,17.55	,204.48	,128.17	,229.80	,142.90	,210.78	,341.27	,389.59	,279.90	,395.41	,262.09	,232.33	,39.66	,146.50	,474.19	,140.10	,230.82	,1.22	,75.00	,45.84	,9.19	,9.16	,22.03	,
2010年	,24.10	,27.97	,245.19	,53.09	,71.89	,228.43	,119.84	,114.48	,17.87	,213.06	,131.90	,238.76	,146.62	,221.11	,353.21	,408.29	,286.95	,412.41	,275.46	,241.53	,41.23	,147.55	,492.21	,148.09	,242.53	,1.26	,79.13	,46.30	,9.18	,8.53	,23.05	,
2011年	,24.21	,27.60	,246.60	,52.20	,71.30	,225.90	,121.99	,116.90	,19.12	,215.86	,135.83	,233.07	,146.60	,224.10	,346.90	,406.40	,290.54	,406.10	,270.97	,239.79	,42.20	,148.55	,484.80	,148.29	,243.86	,1.36	,77.30	,45.81	,9.16	,7.32	,29.80	,
2012年	,23.94	,29.20	,259.00	,56.32	,73.94	,230.19	,132.73	,128.36	,18.74	,228.84	,139.71	,249.67	,155.55	,237.30	,376.70	,432.50	,317.27	,427.60	,276.39	,252.50	,48.12	,150.73	,496.44	,156.13	,264.08	,1.46	,83.45	,48.60	,9.44	,7.67	,30.15	,
2013年	,24.63	,29.82	,265.29	,61.17	,73.35	,233.64	,136.31	,133.36	,18.33	,229.86	,138.76	,253.42	,157.75	,245.12	,392.89	,454.13	,330.60	,430.59	,277.77	,261.34	,50.48	,154.95	,510.83	,163.73	,275.96	,1.50	,88.34	,50.79	,9.90	,7.09	,31.33	,
2014年	,24.01	,29.87	,281.22	,64.16	,73.30	,240.30	,140.35	,142.56	,18.83	,232.35	,127.01	,264.80	,151.12	,259.77	,406.80	,478.00	,339.60	,458.10	,282.64	,266.29	,48.57	,158.54	,527.18	,165.55	,292.38	,1.54	,91.80	,52.70	,10.53	,7.65	,33.86	,
2015年	,22.48	,29.21	,275.03	,60.25	,70.81	,227.12	,136.00	,138.43	,16.12	,225.84	,103.33	,259.11	,134.53	,253.53	,397.44	,467.96	,331.45	,448.02	,274.15	,258.81	,45.79	,156.15	,512.42	,160.75	,288.58	,1.53	,90.42	,50.80	,10.32	,7.08	,33.08	,
2016年	,21.84	,29.18	,265.41	,57.52	,72.08	,219.17	,130.56	,138.15	,13.54	,216.36	,90.73	,244.86	,136.00	,242.89	,383.53	,450.65	,322.17	,434.80	,264.38	,249.75	,42.86	,151.31	,494.48	,154.96	,283.68	,1.54	,85.90	,48.97	,10.51	,7.47	,33.90	,
2017年	,19.22	,22.59	,291.47	,62.67	,73.52	,220.90	,136.14	,159.31	,14.57	,214.30	,83.31	,242.68	,128.37	,249.49	,427.44	,466.90	,339.29	,449.60	,277.96	,254.97	,44.40	,129.97	,472.23	,160.10	,320.16	,1.14	,85.83	,49.88	,8.67	,8.91	,35.80	,
2018年	,13.53	,21.24	,286.25	,62.46	,71.80	,210.10	,126.99	,149.91	,11.27	,205.50	,73.95	,243.89	,113.12	,246.32	,421.03	,479.04	,333.18	,446.80	,281.52	,263.89	,45.63	,132.16	,481.20	,164.84	,323.81	,1.05	,86.57	,50.60	,9.15	,8.84	,38.10	,
2019年	,2.29	,15.64	,241.88	,56.78	,62.57	,189.40	,108.28	,135.23	,8.91	,146.21	,60.16	,197.80	,103.03	,206.75	,254.72	,344.43	,242.95	,348.50	,221.93	,192.11	,29.47	,112.07	,353.45	,150.32	,287.54	,0.83	,80.94	,47.97	,7.70	,7.82	,37.62	,
2020年	,1.42	,15.35	,226.89	,62.80	,61.35	,183.53	,105.03	,143.88	,7.16	,140.66	,54.20	,183.36	,103.75	,180.70	,271.03	,324.80	,203.84	,337.70	,192.42	,174.05	,20.93	,108.82	,394.80	,146.26	,291.57	,0.89	,77.70	,49.17	,3.74	,8.01	,37.51	,
2021年	,2.63	,17.07	,265.68	,88.42	,67.39	,238.77	,142.42	,184.76	,7.15	,175.16	,65.15	,238.73	,124.34	,238.52	,355.86	,426.78	,317.99	,443.06	,263.23	,245.24	,30.52	,142.01	,460.50	,166.21	,360.38	,1.34	,97.60	,64.07	,5.96	,9.12	,49.85	,
2022年	,2.78	,16.68	,273.39	,92.40	,73.66	,242.57	,150.11	,191.79	,8.27	,179.37	,71.41	,248.28	,128.07	,249.89	,368.39	,434.89	,331.69	,457.90	,279.81	,262.65	,33.86	,149.96	,478.00	,178.85	,393.17	,1.79	,101.56	,67.91	,6.30	,9.03	,57.01	,
2023年	,2.70	,17.36	,283.32	,99.55	,75.67	,249.10	,158.52	,201.80	,10.74	,191.35	,80.78	,262.37	,135.47	,257.39	,382.76	,465.33	,347.25	,461.80	,298.00	,276.05	,42.12	,158.21	,489.70	,184.57	,405.36	,1.71	,104.50	,72.70	,5.16	,8.59	,64.39	,
2024年	,1.81	,16.82	,268.02	,109.16	,80.55	,235.67	,159.31	,196.15	,11.12	,187.44	,82.57	,251.09	,133.98	,252.90	,355.97	,470.92	,351.20	,455.20	,305.18	,287.36	,40.41	,152.20	,479.42	,186.34	,380.35	,1.75	,98.96	,73.90	,4.19	,9.13	,66.95	,
2025年	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
注：1. 2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
