draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
1,True,-3542.2917501417032,-3678.859110513333,273.1347207432591,ok,144.6759421825409,31,20
2,True,-3346.1171164718876,-3346.1171197854455,6.627115908486303e-06,ok,231.0560991764069,31,18
3,True,-3675.65624602916,-3728.490102694597,105.6677133308749,ok,60.02426886558533,31,20
4,False,-3908.937890732685,-3976.6114664468296,135.3471514282901,ok,185.57175207138064,31,17
5,True,-3529.3160647048235,-3537.102719622713,15.573309835778671,ok,153.25340795516968,31,19
6,True,-3862.0187207067775,-3879.8223736960945,35.60730597863403,ok,89.32283186912537,31,19
7,True,-3877.6503624991033,-3898.805913197206,42.31110139620523,ok,115.3591959476471,31,20
8,True,-3334.1181073829466,-3428.808695767456,189.38117676901857,ok,113.33137702941896,31,18
9,True,-3393.8394129047165,-3661.212598672216,534.7463715349995,ok,172.93254590034485,31,17
10,True,-3419.6341946917028,-3746.363837977228,653.4592865710501,ok,272.44198179244995,31,17
11,True,-3788.842084963176,-3836.814362457314,95.94455498827664,ok,70.20804905891418,31,20
12,True,-3462.0687345673655,-3522.755161972442,121.3728548101526,ok,114.07439923286438,31,21
13,True,-3452.183465452288,-3640.3092201886234,376.2515094726705,ok,194.20388412475583,31,20
14,True,-3346.228303693005,-3715.777646305308,739.098685224606,ok,243.88358283042908,31,19
15,True,-3872.149395593872,-3943.003037803848,141.70728441995195,ok,201.26069808006287,31,19
16,True,-3226.3789268143046,-3611.658337018108,770.5588204076066,ok,234.513396024704,31,21
17,True,-3809.187566792666,-3915.819998094378,213.26486260342423,ok,191.88903975486755,31,20
18,True,-3141.7415346878547,-3552.7836169895345,822.0841646033596,ok,260.8617510795593,31,18
19,True,-3761.7168977059455,-3902.1644959429673,280.8951964740436,ok,75.24820494651794,31,17
20,True,-3888.167821340511,-4002.183858242792,228.0320738045621,ok,138.4533200263977,31,18
21,True,-4014.1222362549383,-4073.99242953784,119.74038656580342,ok,243.7084150314331,31,19
22,True,-3425.1858269402146,-3571.579947652869,292.788241425309,ok,145.96937012672424,31,22
23,True,-3468.8678748493376,-3508.3300947584717,78.92443981826818,ok,187.54519605636597,31,21
24,True,-3595.058629030942,-3813.16134528437,436.2054325068557,ok,206.24054098129272,31,16
25,True,-3271.387713567876,-3649.295247070251,755.8150670047507,ok,230.8122880458832,31,19
26,True,-3292.1149508955045,-3518.5889573899417,452.9480129888743,ok,222.20781898498535,31,19
27,True,-3570.2270999907337,-3705.481065248141,270.5079305148147,ok,130.56607627868652,31,19
28,True,-3232.2753848736093,-3243.096300525674,21.64183130412948,ok,350.8520529270172,31,19
29,True,-3296.958538356245,-3648.3309723297366,702.7448679469835,ok,194.81780791282657,31,20
30,True,-3217.3175719189817,-3508.8920332986713,583.1489227593793,ok,261.101047039032,31,18
31,True,-3241.907942813059,-3468.8155103793824,453.8151351326469,ok,264.96799993515015,31,20
32,True,-3325.432120791321,-3550.211499784286,449.55875798593024,ok,212.1041269302368,31,20
33,True,-3485.975797421133,-3655.99096861411,340.0303423859541,ok,214.36891293525696,31,19
34,True,-3330.1670556866643,-3708.185732229104,756.0373530848792,ok,197.74399590492249,31,16
35,True,-3318.4995702779047,-3641.730054491387,646.4609684269644,ok,203.2920119762421,31,20
36,True,-3413.4832696334147,-3705.793612416028,584.6206855652263,ok,298.78643465042114,31,19
37,True,-3839.29447025009,-3870.4684661700094,62.34799183983887,ok,143.46042609214783,31,18
38,True,-3798.3826287816664,-3930.689697404491,264.61413724564954,ok,167.95796394348145,31,18
39,True,-3812.0907643927058,-3935.174425019325,246.1673212532387,ok,110.12335085868835,31,21
40,True,-3319.832693281743,-3617.7515362398226,595.837685916159,ok,163.93077111244202,31,20
41,True,-3349.7644808861437,-3626.34759212242,553.1662224725533,ok,263.0419292449951,31,18
42,True,-3695.405092014438,-3742.732928635456,94.65567324203494,ok,67.40534615516663,31,21
