variant,item,n_missing_x,n_nonpositive_x,n_missing_p,n_nonpositive_p,x_min,x_median,x_max,p_min,p_median,p_max
baseline_real_national_nonfood,grain,0,0,0,0,0.23266685748709856,0.40872027589423815,0.8749452676964855,667.1835980471446,927.2556878433043,1442.5409186203772
baseline_real_national_nonfood,oil,0,0,0,0,0.07043668869452055,0.1200472161780822,0.2579597710520548,3242.9238073325296,5213.212942525057,6933.8910202522775
baseline_real_national_nonfood,vegetable,0,0,0,0,0.007332440901657534,0.029380477283136988,0.04374145479452055,2806.220086118513,5306.7643845278335,10191.007495811717
baseline_real_national_nonfood,fruit,0,0,0,0,0.002489043310410959,0.022454105128082193,0.03744152628136986,9310.412053415115,14378.284930064423,25826.68341815563
baseline_real_national_nonfood,pork,0,0,0,0,0.015776437413452055,0.10245485475863017,0.24441051757758908,1864.7981325138567,3056.0629426365826,5364.40194662875
baseline_real_national_nonfood,beef,0,0,0,0,0.0009531538735068494,0.00398321930810959,0.044831595016849315,16973.646939563176,23420.433381529278,34737.12743285484
baseline_real_national_nonfood,mutton,0,0,0,0,0.0005398614499315068,0.003026823287671233,0.0456712605509178,8801.572247718086,12199.276484486925,20076.25576684969
baseline_real_national_nonfood,poultry,0,0,0,0,0.0015685717950684932,0.014345895606643833,0.05624110115726027,3860.406476885832,6539.387924100837,10723.41927380839
baseline_real_national_nonfood,aquatic,0,0,0,0,0.00039354928356164393,0.010577693960273974,0.03522706433493151,5991.854851061539,9453.053501748458,15795.679327781732
baseline_real_national_nonfood,egg,0,0,0,0,0.004521525764273972,0.01879754824821918,0.046492307983013695,1780.8401578920225,2760.369422667218,4371.846013670163
baseline_real_national_nonfood,milk,0,0,0,0,0.0030972580383561636,0.009994133632876712,0.022417937446575345,3100.422028824246,4075.3400381491233,6463.410009297401
baseline_real_national_nonfood,nonfood,0,0,0,0,60.41772629789173,166.00534153631975,440.4718251191351,89.40141690138984,96.29740032128126,100.4
