province_std,county_std,town_std,镇代码,区县代码,省,区县名称,镇
北京,东城区,东华门街道,110101001,110101,北京市,东城区,东华门街道
北京,东城区,景山街道,110101002,110101,北京市,东城区,景山街道
北京,东城区,交道口街道,110101003,110101,北京市,东城区,交道口街道
北京,东城区,安定门街道,110101004,110101,北京市,东城区,安定门街道
北京,东城区,北新桥街道,110101005,110101,北京市,东城区,北新桥街道
北京,东城区,东四街道,110101006,110101,北京市,东城区,东四街道
北京,东城区,朝阳门街道,110101007,110101,北京市,东城区,朝阳门街道
北京,东城区,建国门街道,110101008,110101,北京市,东城区,建国门街道
北京,东城区,东直门街道,110101009,110101,北京市,东城区,东直门街道
北京,东城区,和平里街道,110101010,110101,北京市,东城区,和平里街道
北京,东城区,前门街道,110101011,110101,北京市,东城区,前门街道
北京,东城区,崇文门外街道,110101012,110101,北京市,东城区,崇文门外街道
北京,东城区,东花市街道,110101013,110101,北京市,东城区,东花市街道
北京,东城区,龙潭街道,110101014,110101,北京市,东城区,龙潭街道
北京,东城区,体育馆路街道,110101015,110101,北京市,东城区,体育馆路街道
北京,东城区,天坛街道,110101016,110101,北京市,东城区,天坛街道
北京,东城区,永定门外街道,110101017,110101,北京市,东城区,永定门外街道
北京,西城区,西长安街街道,110102001,110102,北京市,西城区,西长安街街道
北京,西城区,新街口街道,110102003,110102,北京市,西城区,新街口街道
北京,西城区,月坛街道,110102007,110102,北京市,西城区,月坛街道
北京,西城区,展览路街道,110102009,110102,北京市,西城区,展览路街道
北京,西城区,德胜街道,110102010,110102,北京市,西城区,德胜街道
北京,西城区,金融街街道,110102011,110102,北京市,西城区,金融街街道
北京,西城区,什刹海街道,110102012,110102,北京市,西城区,什刹海街道
北京,西城区,大栅栏街道,110102013,110102,北京市,西城区,大栅栏街道
北京,西城区,天桥街道,110102014,110102,北京市,西城区,天桥街道
北京,西城区,椿树街道,110102015,110102,北京市,西城区,椿树街道
北京,西城区,陶然亭街道,110102016,110102,北京市,西城区,陶然亭街道
北京,西城区,广安门内街道,110102017,110102,北京市,西城区,广安门内街道
北京,西城区,牛街街道,110102018,110102,北京市,西城区,牛街街道
北京,西城区,白纸坊街道,110102019,110102,北京市,西城区,白纸坊街道
北京,西城区,广安门外街道,110102020,110102,北京市,西城区,广安门外街道
北京,朝阳区,建外街道,110105001,110105,北京市,朝阳区,建外街道
北京,朝阳区,朝外街道,110105002,110105,北京市,朝阳区,朝外街道
北京,朝阳区,呼家楼街道,110105003,110105,北京市,朝阳区,呼家楼街道
北京,朝阳区,三里屯街道,110105004,110105,北京市,朝阳区,三里屯街道
