省代码,省,城市代码,城市,区县代码,区县名称,镇代码,镇
11,北京市,1101,市辖区,110101,东城区,110101001,东华门街道
11,北京市,1101,市辖区,110101,东城区,110101002,景山街道
11,北京市,1101,市辖区,110101,东城区,110101003,交道口街道
11,北京市,1101,市辖区,110101,东城区,110101004,安定门街道
11,北京市,1101,市辖区,110101,东城区,110101005,北新桥街道
11,北京市,1101,市辖区,110101,东城区,110101006,东四街道
11,北京市,1101,市辖区,110101,东城区,110101007,朝阳门街道
11,北京市,1101,市辖区,110101,东城区,110101008,建国门街道
11,北京市,1101,市辖区,110101,东城区,110101009,东直门街道
11,北京市,1101,市辖区,110101,东城区,110101010,和平里街道
11,北京市,1101,市辖区,110101,东城区,110101011,前门街道
11,北京市,1101,市辖区,110101,东城区,110101012,崇文门外街道
11,北京市,1101,市辖区,110101,东城区,110101013,东花市街道
11,北京市,1101,市辖区,110101,东城区,110101014,龙潭街道
11,北京市,1101,市辖区,110101,东城区,110101015,体育馆路街道
11,北京市,1101,市辖区,110101,东城区,110101016,天坛街道
11,北京市,1101,市辖区,110101,东城区,110101017,永定门外街道
11,北京市,1101,市辖区,110102,西城区,110102001,西长安街街道
11,北京市,1101,市辖区,110102,西城区,110102003,新街口街道
11,北京市,1101,市辖区,110102,西城区,110102007,月坛街道
11,北京市,1101,市辖区,110102,西城区,110102009,展览路街道
11,北京市,1101,市辖区,110102,西城区,110102010,德胜街道
11,北京市,1101,市辖区,110102,西城区,110102011,金融街街道
11,北京市,1101,市辖区,110102,西城区,110102012,什刹海街道
11,北京市,1101,市辖区,110102,西城区,110102013,大栅栏街道
11,北京市,1101,市辖区,110102,西城区,110102014,天桥街道
11,北京市,1101,市辖区,110102,西城区,110102015,椿树街道
11,北京市,1101,市辖区,110102,西城区,110102016,陶然亭街道
11,北京市,1101,市辖区,110102,西城区,110102017,广安门内街道
11,北京市,1101,市辖区,110102,西城区,110102018,牛街街道
11,北京市,1101,市辖区,110102,西城区,110102019,白纸坊街道
11,北京市,1101,市辖区,110102,西城区,110102020,广安门外街道
11,北京市,1101,市辖区,110105,朝阳区,110105001,建外街道
11,北京市,1101,市辖区,110105,朝阳区,110105002,朝外街道
11,北京市,1101,市辖区,110105,朝阳区,110105003,呼家楼街道
11,北京市,1101,市辖区,110105,朝阳区,110105004,三里屯街道
11,北京市,1101,市辖区,110105,朝阳区,110105005,左家庄街道
11,北京市,1101,市辖区,110105,朝阳区,110105006,香河园街道
11,北京市,1101,市辖区,110105,朝阳区,110105007,和平街街道
11,北京市,1101,市辖区,110105,朝阳区,110105008,安贞街道
11,北京市,1101,市辖区,110105,朝阳区,110105009,亚运村街道
11,北京市,1101,市辖区,110105,朝阳区,110105010,小关街道
11,北京市,1101,市辖区,110105,朝阳区,110105011,酒仙桥街道
11,北京市,1101,市辖区,110105,朝阳区,110105012,麦子店街道
11,北京市,1101,市辖区,110105,朝阳区,110105013,团结湖街道
11,北京市,1101,市辖区,110105,朝阳区,110105014,六里屯街道
11,北京市,1101,市辖区,110105,朝阳区,110105015,八里庄街道
11,北京市,1101,市辖区,110105,朝阳区,110105016,双井街道
11,北京市,1101,市辖区,110105,朝阳区,110105017,劲松街道
11,北京市,1101,市辖区,110105,朝阳区,110105018,潘家园街道
11,北京市,1101,市辖区,110105,朝阳区,110105019,垡头街道
11,北京市,1101,市辖区,110105,朝阳区,110105020,首都机场街道
11,北京市,1101,市辖区,110105,朝阳区,110105021,南磨房地区
11,北京市,1101,市辖区,110105,朝阳区,110105022,高碑店地区
11,北京市,1101,市辖区,110105,朝阳区,110105023,将台地区
11,北京市,1101,市辖区,110105,朝阳区,110105024,太阳宫地区
11,北京市,1101,市辖区,110105,朝阳区,110105025,大屯街道
11,北京市,1101,市辖区,110105,朝阳区,110105026,望京街道
11,北京市,1101,市辖区,110105,朝阳区,110105027,小红门地区
11,北京市,1101,市辖区,110105,朝阳区,110105028,十八里店地区
11,北京市,1101,市辖区,110105,朝阳区,110105029,平房地区
11,北京市,1101,市辖区,110105,朝阳区,110105030,东风地区
11,北京市,1101,市辖区,110105,朝阳区,110105031,奥运村街道
11,北京市,1101,市辖区,110105,朝阳区,110105032,来广营地区
11,北京市,1101,市辖区,110105,朝阳区,110105033,常营地区
11,北京市,1101,市辖区,110105,朝阳区,110105034,三间房地区
11,北京市,1101,市辖区,110105,朝阳区,110105035,管庄地区
11,北京市,1101,市辖区,110105,朝阳区,110105036,金盏地区
11,北京市,1101,市辖区,110105,朝阳区,110105037,孙河地区
11,北京市,1101,市辖区,110105,朝阳区,110105038,崔各庄地区
11,北京市,1101,市辖区,110105,朝阳区,110105039,东坝地区
11,北京市,1101,市辖区,110105,朝阳区,110105040,黑庄户地区
