year,gdp_growth_pct,gdp_per_capita_usd,gdp_per_capita_usd_alt,pop_low,pop_medium,pop_high,pop_adult_equivalent,urbanization_medium_pct,ageing_rate_pct
2023,5.2,13693.2,12681,14.1,14.0967,14.1,14.0967,,15.6
2024,5,13910.6,13444.7,14.07,14.0226,14.11,14.0872,,15.812
2025,4.8,14603.9,14114.7,14.04,14.002,14.12,14.0774,,16.202
2026,4.7,15335.4,14821.8,14,13.9786,14.13,14.058,,16.328
2027,4.5,16106.2,15566.8,13.96,13.9528,14.15,14.0615,,16.446
2028,4.4,16907.4,16341.1,13.9,13.9248,14.16,14.0945,,16.564
2029,4.3,17745.4,17151,13.85,13.8947,14.17,14.1168,,16.684
2030,4.2,18623.3,17999.5,13.8,13.8627,14.18,14.1291,,16.804
2031,4.1,19536.3,18881.9,13.74,13.8287,14.18,14.1487,,16.924
2032,4.1,20476.4,19790.6,13.67,13.793,14.19,14.1111,,17.042
2033,4,21461.3,20742.5,13.6,13.7553,14.19,14.0639,,17.167
2034,4,22488.6,21735.4,13.52,13.7154,14.2,14.0183,,17.287
2035,3.9,23548,22759.3,13.45,13.6732,14.2,13.9697,75.4,17.406
2036,3.9,24621,23796.4,13.37,13.6286,14.19,13.9115,75.8,17.525
2037,3.8,25677.4,24817.3,13.29,13.5815,14.19,13.8536,76.2,17.644
2038,3.8,26740.3,25844.7,13.21,13.5316,14.18,13.7727,76.6,17.757
2039,3.7,27822.4,26890.6,13.12,13.4788,14.17,13.692,77.0,17.87
2040,3.7,28915.4,27946.9,13.03,13.4238,14.16,13.5987,77.4,17.984
2041,3.6,30022,29016.5,12.94,13.3664,14.14,13.5108,77.8,18.099
2042,3.6,31137.9,30095,12.85,13.3063,14.13,13.4184,78.2,18.214
2043,3.5,32271.4,31190.5,12.76,13.2413,14.11,13.3282,78.6,18.327
2044,3.5,33437.5,32317.5,12.66,13.1681,14.09,13.2411,79.0,18.439
2045,3.4,34621.5,33461.9,12.56,13.0875,14.06,13.1483,79.4,18.553
2046,3.4,35842.9,34642.4,12.46,12.9998,14.04,13.0594,79.8,18.668
2047,3.3,37095.4,35852.9,12.35,12.9054,14.01,12.9848,80.2,18.78
2048,3.3,38397.6,37111.5,12.24,12.8052,13.97,12.8923,80.6,18.89
2049,3.2,39737.1,38406.1,12.12,12.6986,13.93,12.7927,81.0,19
2050,3.2,41121.2,39743.9,12,12.5859,13.89,12.6967,81.4,21.135
