commodity_code,commodity_cn,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,edible_share_pct,per_capita_g_day_2023
RICE,稻谷,354.067,7.4,0.8,77.9,70,307.068
WHEA,小麦,358.134,11.2,1.5,73.6,70,178.082
MAIZ,玉米,366.029,8.7,3.8,73,70,36.7326
BARL,大麦,351.914,10.2,1.4,73.3,70,1.20498
SOYS,大豆,422.967,35,16,34.2,100,30.1246
SOYO,大豆油,884.211,0,99.9,0,100,34.9836
RAPO,菜籽油,884.211,0,99.9,0,100,17.4917
GRDS,花生,581.34,24.8,13,10,75,15.7425
GRDO,花生油,884.211,0,99.9,0,100,6.70904
SUGA,食糖,406.22,0,0,99.9,100,8.99494
FRTO,水果,37,0.57,0.15,9.5,100,291.892
VEGT,蔬菜,24.9,1.53,0.19,5.36,100,372.906
PIGM,猪肉,390.909,13.2,37,2.4,100,88.3632
CATM,牛肉,126.316,19.9,4.2,2,99,17.9906
SHGM,羊肉,202.153,19,14.1,0,99,8.95634
CHKM,鸡肉,166.986,19.3,9.4,1.3,66,37.2101
EGGS,鸡蛋,143.301,13.3,8.8,2.8,88,41.6108
MILK,奶,54.3062,3,3.2,3.4,100,101.519
FISH,水产品,103.349,16.6,3.3,1.6,59,60.8719
SORG,高粱,373.445,10.4,3.1,74.7,70,1.30216
POTA,马铃薯,79.9043,2,0.2,17.2,94,114.124
