scenario_group,commodity_code,commodity_cn,year,kg_per_capita
BS,CATM,牛肉,2031,7.35399
BS,SHGM,羊肉,2031,3.98241
BS,CHKM,鸡肉,2031,19.6411
BS,EGGS,禽蛋,2031,17.4609
BS,MILK,奶,2031,22.317
BS,FISH,水产品,2031,24.8825
BS,SUGA,糖,2031,4.18608
BS,RICE,稻谷,2032,109.358
BS,WHEA,小麦,2032,63.4213
BS,OTGR,其他粮食,2032,27.6398
BS,VOIL,植物油,2032,22.8201
BS,VEGT,蔬菜,2032,140.702
BS,FRTO,水果,2032,117.235
BS,PIGM,猪肉,2032,35.0396
BS,CATM,牛肉,2032,7.46314
BS,SHGM,羊肉,2032,4.04152
BS,CHKM,鸡肉,2032,19.9799
BS,EGGS,禽蛋,2032,17.552
BS,MILK,奶,2032,22.7019
BS,FISH,水产品,2032,25.2518
BS,SUGA,糖,2032,4.19957
BS,RICE,稻谷,2033,109.055
BS,WHEA,小麦,2033,63.2457
BS,OTGR,其他粮食,2033,27.6962
BS,VOIL,植物油,2033,22.9747
BS,VEGT,蔬菜,2033,141.347
BS,FRTO,水果,2033,118.055
BS,PIGM,猪肉,2033,35.4013
BS,CATM,牛肉,2033,7.57607
BS,SHGM,羊肉,2033,4.10267
BS,CHKM,鸡肉,2033,20.3302
BS,EGGS,禽蛋,2033,17.6487
BS,MILK,奶,2033,23.1001
BS,FISH,水产品,2033,25.6339
BS,SUGA,糖,2033,4.21389
BS,RICE,稻谷,2034,108.751
BS,WHEA,小麦,2034,63.0693
BS,OTGR,其他粮食,2034,27.7515
BS,VOIL,植物油,2034,23.1339
BS,VEGT,蔬菜,2034,142.022
BS,FRTO,水果,2034,118.901
BS,PIGM,猪肉,2034,35.7753
BS,CATM,牛肉,2034,7.69236
BS,SHGM,羊肉,2034,4.16565
BS,CHKM,鸡肉,2034,20.691
BS,EGGS,禽蛋,2034,17.7507
BS,MILK,奶,2034,23.5099
BS,FISH,水产品,2034,26.0274
BS,SUGA,糖,2034,4.22896
BS,RICE,稻谷,2035,108.449
BS,WHEA,小麦,2035,62.894
BS,OTGR,其他粮食,2035,27.8052
BS,VOIL,植物油,2035,23.2958
BS,VEGT,蔬菜,2035,142.717
BS,FRTO,水果,2035,119.763
BS,PIGM,猪肉,2035,36.1574
BS,CATM,牛肉,2035,7.81076
BS,SHGM,羊肉,2035,4.22977
BS,CHKM,鸡肉,2035,21.0582
BS,EGGS,禽蛋,2035,17.8566
BS,MILK,奶,2035,23.9272
BS,FISH,水产品,2035,26.428
BS,SUGA,糖,2035,4.24461
BS,RICE,稻谷,2036,108.154
BS,WHEA,小麦,2036,62.723
BS,OTGR,其他粮食,2036,27.8562
BS,VOIL,植物油,2036,23.4574
BS,VEGT,蔬菜,2036,143.42
BS,FRTO,水果,2036,120.626
BS,PIGM,猪肉,2036,36.5405
BS,CATM,牛肉,2036,7.92912
BS,SHGM,羊肉,2036,4.29386
BS,CHKM,鸡肉,2036,21.4253
BS,EGGS,禽蛋,2036,17.9645
BS,MILK,奶,2036,24.3443
BS,FISH,水产品,2036,26.8285
BS,SUGA,糖,2036,4.26052
BS,RICE,稻谷,2037,107.874
BS,WHEA,小麦,2037,62.5607
BS,OTGR,其他粮食,2037,27.9037
BS,VOIL,植物油,2037,23.6141
BS,VEGT,蔬菜,2037,144.109
BS,FRTO,水果,2037,121.463
BS,PIGM,猪肉,2037,36.9137
BS,CATM,牛肉,2037,8.04412
BS,SHGM,羊肉,2037,4.35614
BS,CHKM,鸡肉,2037,21.782
BS,EGGS,禽蛋,2037,18.0709
BS,MILK,奶,2037,24.7496
BS,FISH,水产品,2037,27.2176
BS,SUGA,糖,2037,4.27619
BS,RICE,稻谷,2038,107.602
BS,WHEA,小麦,2038,62.4029
BS,OTGR,其他粮食,2038,27.9488
BS,VOIL,植物油,2038,23.7696
BS,VEGT,蔬菜,2038,144.798
BS,FRTO,水果,2038,122.296
BS,PIGM,猪肉,2038,37.2856
BS,CATM,牛肉,2038,8.15845
BS,SHGM,羊肉,2038,4.41805
BS,CHKM,鸡肉,2038,22.1366
BS,EGGS,禽蛋,2038,18.1781
BS,MILK,奶,2038,25.1526
BS,FISH,水产品,2038,27.6044
BS,SUGA,糖,2038,4.29195
BS,RICE,稻谷,2039,107.334
BS,WHEA,小麦,2039,62.2474
BS,OTGR,其他粮食,2039,27.9923
BS,VOIL,植物油,2039,23.9257
BS,VEGT,蔬菜,2039,145.497
BS,FRTO,水果,2039,123.134
BS,PIGM,猪肉,2039,37.6606
BS,CATM,牛肉,2039,8.27352
BS,SHGM,羊肉,2039,4.48037
BS,CHKM,鸡肉,2039,22.4937
BS,EGGS,禽蛋,2039,18.2874
BS,MILK,奶,2039,25.5582
BS,FISH,水产品,2039,27.9938
BS,SUGA,糖,2039,4.30799
BS,RICE,稻谷,2040,107.072
BS,WHEA,小麦,2040,62.0955
BS,OTGR,其他粮食,2040,28.0339
BS,VOIL,植物油,2040,24.0813
BS,VEGT,蔬菜,2040,146.199
BS,FRTO,水果,2040,123.97
BS,PIGM,猪肉,2040,38.0357
BS,CATM,牛肉,2040,8.38843
BS,SHGM,羊肉,2040,4.54259
BS,CHKM,鸡肉,2040,22.8502
BS,EGGS,禽蛋,2040,18.3977
BS,MILK,奶,2040,25.9634
BS,FISH,水产品,2040,28.3826
BS,SUGA,糖,2040,4.32416
BS,RICE,稻谷,2041,106.815
BS,WHEA,小麦,2041,61.9465
BS,OTGR,其他粮食,2041,28.0739
BS,VOIL,植物油,2041,24.2367
BS,VEGT,蔬菜,2041,146.906
BS,FRTO,水果,2041,124.806
BS,PIGM,猪肉,2041,38.4119
BS,CATM,牛肉,2041,8.50351
BS,SHGM,羊肉,2041,4.60491
BS,CHKM,鸡肉,2041,23.2074
BS,EGGS,禽蛋,2041,18.5093
BS,MILK,奶,2041,26.3693
BS,FISH,水产品,2041,28.772
BS,SUGA,糖,2041,4.34048
BS,RICE,稻谷,2042,106.564
BS,WHEA,小麦,2042,61.8008
BS,OTGR,其他粮食,2042,28.1123
BS,VOIL,植物油,2042,24.3914
BS,VEGT,蔬菜,2042,147.613
BS,FRTO,水果,2042,125.639
BS,PIGM,猪肉,2042,38.7877
BS,CATM,牛肉,2042,8.61831
BS,SHGM,羊肉,2042,4.66708
BS,CHKM,鸡肉,2042,23.5639
BS,EGGS,禽蛋,2042,18.6216
BS,MILK,奶,2042,26.7743
BS,FISH,水产品,2042,29.1604
BS,SUGA,糖,2042,4.35688
BS,RICE,稻谷,2043,106.316
BS,WHEA,小麦,2043,61.6572
BS,OTGR,其他粮食,2043,28.1493
BS,VOIL,植物油,2043,24.5464
BS,VEGT,蔬菜,2043,148.327
BS,FRTO,水果,2043,126.476
BS,PIGM,猪肉,2043,39.1659
BS,CATM,牛肉,2043,8.73372
BS,SHGM,羊肉,2043,4.72958
BS,CHKM,鸡肉,2043,23.9223
BS,EGGS,禽蛋,2043,18.7353
BS,MILK,奶,2043,27.1815
BS,FISH,水产品,2043,29.5509
BS,SUGA,糖,2043,4.37347
BS,RICE,稻谷,2044,106.069
BS,WHEA,小麦,2044,61.5139
BS,OTGR,其他粮食,2044,28.1855
BS,VOIL,植物油,2044,24.7038
BS,VEGT,蔬菜,2044,149.057
BS,FRTO,水果,2044,127.326
BS,PIGM,猪肉,2044,39.5516
BS,CATM,牛肉,2044,8.85127
BS,SHGM,羊肉,2044,4.79324
BS,CHKM,鸡肉,2044,24.2875
BS,EGGS,禽蛋,2044,18.8521
BS,MILK,奶,2044,27.5965
BS,FISH,水产品,2044,29.9486
BS,SUGA,糖,2044,4.39046
BS,RICE,稻谷,2045,105.825
BS,WHEA,小麦,2045,61.3725
BS,OTGR,其他粮食,2045,28.2206
BS,VOIL,植物油,2045,24.8616
BS,VEGT,蔬菜,2045,149.792
BS,FRTO,水果,2045,128.18
BS,PIGM,猪肉,2045,39.9396
BS,CATM,牛肉,2045,8.96945
BS,SHGM,羊肉,2045,4.85723
BS,CHKM,鸡肉,2045,24.6548
BS,EGGS,禽蛋,2045,18.9703
BS,MILK,奶,2045,28.0138
BS,FISH,水产品,2045,30.3485
BS,SUGA,糖,2045,4.40762
BS,RICE,稻谷,2046,105.581
BS,WHEA,小麦,2046,61.2309
BS,OTGR,其他粮食,2046,28.255
BS,VOIL,植物油,2046,25.0223
BS,VEGT,蔬菜,2046,150.545
BS,FRTO,水果,2046,129.05
BS,PIGM,猪肉,2046,40.3363
BS,CATM,牛肉,2046,9.09017
BS,SHGM,羊肉,2046,4.92261
BS,CHKM,鸡肉,2046,25.0301
BS,EGGS,禽蛋,2046,19.0918
BS,MILK,奶,2046,28.4403
BS,FISH,水产品,2046,30.757
BS,SUGA,糖,2046,4.42523
BS,RICE,稻谷,2047,105.338
BS,WHEA,小麦,2047,61.0898
BS,OTGR,其他粮食,2047,28.2886
BS,VOIL,植物油,2047,25.185
BS,VEGT,蔬菜,2047,151.312
BS,FRTO,水果,2047,129.933
BS,PIGM,猪肉,2047,40.7394
BS,CATM,牛肉,2047,9.21279
BS,SHGM,羊肉,2047,4.98901
BS,CHKM,鸡肉,2047,25.4115
BS,EGGS,禽蛋,2047,19.2159
BS,MILK,奶,2047,28.8736
BS,FISH,水产品,2047,31.1718
BS,SUGA,糖,2047,4.44318
BS,RICE,稻谷,2048,105.092
BS,WHEA,小麦,2048,60.9473
BS,OTGR,其他粮食,2048,28.3219
BS,VOIL,植物油,2048,25.3521
BS,VEGT,蔬菜,2048,152.102
BS,FRTO,水果,2048,130.839
BS,PIGM,猪肉,2048,41.1549
BS,CATM,牛肉,2048,9.33909
BS,SHGM,羊肉,2048,5.0574
BS,CHKM,鸡肉,2048,25.8045
BS,EGGS,禽蛋,2048,19.3444
BS,MILK,奶,2048,29.3201
BS,FISH,水产品,2048,31.5992
BS,SUGA,糖,2048,4.46173
BS,RICE,稻谷,2049,104.846
BS,WHEA,小麦,2049,60.8048
BS,OTGR,其他粮食,2049,28.3546
BS,VOIL,植物油,2049,25.5216
BS,VEGT,蔬菜,2049,152.908
BS,FRTO,水果,2049,131.761
BS,PIGM,猪肉,2049,41.5784
BS,CATM,牛肉,2049,9.46777
BS,SHGM,羊肉,2049,5.12709
BS,CHKM,鸡肉,2049,26.205
BS,EGGS,禽蛋,2049,19.476
BS,MILK,奶,2049,29.7752
BS,FISH,水产品,2049,32.0345
BS,SUGA,糖,2049,4.48068
BS,RICE,稻谷,2050,104.6
BS,WHEA,小麦,2050,60.6618
BS,OTGR,其他粮食,2050,28.3866
BS,VOIL,植物油,2050,25.6946
BS,VEGT,蔬菜,2050,153.734
BS,FRTO,水果,2050,132.702
BS,PIGM,猪肉,2050,42.012
BS,CATM,牛肉,2050,9.59949
BS,SHGM,羊肉,2050,5.19842
BS,CHKM,鸡肉,2050,26.6152
BS,EGGS,禽蛋,2050,19.6113
BS,MILK,奶,2050,30.2414
BS,FISH,水产品,2050,32.4803
BS,SUGA,糖,2050,4.50012
PTS,RICE,稻谷,2023,112.08
PTS,WHEA,小麦,2023,65
PTS,OTGR,其他粮食,2023,27.0639
PTS,VOIL,植物油,2023,21.6023
PTS,VEGT,蔬菜,2023,136.111
PTS,FRTO,水果,2023,110.864
PTS,PIGM,猪肉,2023,32.2526
PTS,CATM,牛肉,2023,6.56657
PTS,SHGM,羊肉,2023,3.556
PTS,CHKM,鸡肉,2023,17.1891
PTS,EGGS,禽蛋,2023,16.9051
PTS,MILK,奶,2023,37.05
PTS,FISH,水产品,2023,22.2182
PTS,SUGA,糖,2023,4.10394
PTS,RICE,稻谷,2024,111.736
PTS,WHEA,小麦,2024,64.8007
PTS,OTGR,其他粮食,2024,27.1439
PTS,VOIL,植物油,2024,21.7387
PTS,VEGT,蔬菜,2024,136.565
PTS,FRTO,水果,2024,111.568
PTS,PIGM,猪肉,2024,32.5589
PTS,CATM,牛肉,2024,6.66848
PTS,SHGM,羊肉,2024,3.61119
PTS,CHKM,鸡肉,2024,17.5076
PTS,EGGS,禽蛋,2024,16.9638
PTS,MILK,奶,2024,37.7366
PTS,FISH,水产品,2024,22.5631
PTS,SUGA,糖,2024,4.11256
PTS,RICE,稻谷,2025,111.449
PTS,WHEA,小麦,2025,64.6339
PTS,OTGR,其他粮食,2025,27.2093
PTS,VOIL,植物油,2025,21.8567
PTS,VEGT,蔬菜,2025,136.973
PTS,FRTO,水果,2025,112.179
PTS,PIGM,猪肉,2025,32.8252
PTS,CATM,牛肉,2025,6.75625
PTS,SHGM,羊肉,2025,3.65872
PTS,CHKM,鸡肉,2025,17.7817
PTS,EGGS,禽蛋,2025,17.018
PTS,MILK,奶,2025,38.3273
PTS,FISH,水产品,2025,22.86
PTS,SUGA,糖,2025,4.12054
PTS,RICE,稻谷,2026,111.156
PTS,WHEA,小麦,2026,64.4643
PTS,OTGR,其他粮食,2026,27.2742
PTS,VOIL,植物油,2026,21.9804
PTS,VEGT,蔬菜,2026,137.415
PTS,FRTO,水果,2026,112.822
PTS,PIGM,猪肉,2026,33.1055
PTS,CATM,牛肉,2026,6.8478
PTS,SHGM,羊肉,2026,3.7083
PTS,CHKM,鸡肉,2026,18.0672
PTS,EGGS,禽蛋,2026,17.0781
PTS,MILK,奶,2026,38.9426
PTS,FISH,水产品,2026,23.1698
PTS,SUGA,糖,2026,4.12941
PTS,RICE,稻谷,2027,110.859
PTS,WHEA,小麦,2027,64.292
PTS,OTGR,其他粮食,2027,27.3384
PTS,VOIL,植物油,2027,22.1097
PTS,VEGT,蔬菜,2027,137.891
PTS,FRTO,水果,2027,113.496
PTS,PIGM,猪肉,2027,33.3999
PTS,CATM,牛肉,2027,6.94312
PTS,SHGM,羊肉,2027,3.75991
PTS,CHKM,鸡肉,2027,18.364
PTS,EGGS,禽蛋,2027,17.1442
PTS,MILK,奶,2027,39.5826
PTS,FISH,水产品,2027,23.4923
PTS,SUGA,糖,2027,4.13917
PTS,RICE,稻谷,2028,110.562
PTS,WHEA,小麦,2028,64.1196
PTS,OTGR,其他粮食,2028,27.4011
PTS,VOIL,植物油,2028,22.2429
PTS,VEGT,蔬菜,2028,138.395
PTS,FRTO,水果,2028,114.193
PTS,PIGM,猪肉,2028,33.7045
PTS,CATM,牛肉,2028,7.04096
PTS,SHGM,羊肉,2028,3.8129
PTS,CHKM,鸡肉,2028,18.6685
PTS,EGGS,禽蛋,2028,17.2152
PTS,MILK,奶,2028,40.2388
PTS,FISH,水产品,2028,23.8234
PTS,SUGA,糖,2028,4.14969
PTS,RICE,稻谷,2029,110.263
PTS,WHEA,小麦,2029,63.946
PTS,OTGR,其他粮食,2029,27.4627
PTS,VOIL,植物油,2029,22.3808
PTS,VEGT,蔬菜,2029,138.929
PTS,FRTO,水果,2029,114.917
PTS,PIGM,猪肉,2029,34.0213
PTS,CATM,牛肉,2029,7.14204
PTS,SHGM,羊肉,2029,3.86763
PTS,CHKM,鸡肉,2029,18.9828
PTS,EGGS,禽蛋,2029,17.2917
PTS,MILK,奶,2029,40.9162
PTS,FISH,水产品,2029,24.1654
PTS,SUGA,糖,2029,4.16101
PTS,RICE,稻谷,2030,109.96
PTS,WHEA,小麦,2030,63.7708
PTS,OTGR,其他粮食,2030,27.5233
PTS,VOIL,植物油,2030,22.5237
PTS,VEGT,蔬菜,2030,139.495
PTS,FRTO,水果,2030,115.669
PTS,PIGM,猪肉,2030,34.3511
PTS,CATM,牛肉,2030,7.24662
PTS,SHGM,羊肉,2030,3.92427
PTS,CHKM,鸡肉,2030,19.3077
PTS,EGGS,禽蛋,2030,17.3738
PTS,MILK,奶,2030,41.6165
PTS,FISH,水产品,2030,24.5192
PTS,SUGA,糖,2030,4.17318
PTS,RICE,稻谷,2031,109.658
PTS,WHEA,小麦,2031,63.5953
PTS,OTGR,其他粮食,2031,27.5825
PTS,VOIL,植物油,2031,22.6707
PTS,VEGT,蔬菜,2031,140.088
PTS,FRTO,水果,2031,116.444
PTS,PIGM,猪肉,2031,34.6917
PTS,CATM,牛肉,2031,7.35399
PTS,SHGM,羊肉,2031,3.98241
PTS,CHKM,鸡肉,2031,19.6411
PTS,EGGS,禽蛋,2031,17.4609
PTS,MILK,奶,2031,42.3352
PTS,FISH,水产品,2031,24.8825
PTS,SUGA,糖,2031,4.18608
PTS,RICE,稻谷,2032,108.339
PTS,WHEA,小麦,2032,62.8302
PTS,OTGR,其他粮食,2032,27.6398
PTS,VOIL,植物油,2032,22.8201
PTS,VEGT,蔬菜,2032,140.702
PTS,FRTO,水果,2032,117.235
PTS,PIGM,猪肉,2032,35.0396
PTS,CATM,牛肉,2032,7.46314
PTS,SHGM,羊肉,2032,4.04152
PTS,CHKM,鸡肉,2032,19.9799
PTS,EGGS,禽蛋,2032,17.552
PTS,MILK,奶,2032,43.0653
PTS,FISH,水产品,2032,25.2518
PTS,SUGA,糖,2032,4.19957
PTS,RICE,稻谷,2033,107.032
PTS,WHEA,小麦,2033,62.0725
PTS,OTGR,其他粮食,2033,27.6962
PTS,VOIL,植物油,2033,22.9747
PTS,VEGT,蔬菜,2033,141.347
PTS,FRTO,水果,2033,118.055
PTS,PIGM,猪肉,2033,35.4013
PTS,CATM,牛肉,2033,7.57607
PTS,SHGM,羊肉,2033,4.10267
PTS,CHKM,鸡肉,2033,20.3302
PTS,EGGS,禽蛋,2033,17.6487
PTS,MILK,奶,2033,43.8205
PTS,FISH,水产品,2033,25.6339
PTS,SUGA,糖,2033,4.21389
PTS,RICE,稻谷,2034,105.744
PTS,WHEA,小麦,2034,61.3254
PTS,OTGR,其他粮食,2034,27.7515
PTS,VOIL,植物油,2034,23.1339
PTS,VEGT,蔬菜,2034,142.022
PTS,FRTO,水果,2034,118.901
PTS,PIGM,猪肉,2034,35.7753
PTS,CATM,牛肉,2034,7.69236
PTS,SHGM,羊肉,2034,4.16565
PTS,CHKM,鸡肉,2034,20.691
PTS,EGGS,禽蛋,2034,17.7507
