term,est,se,evt
-12,-0.11196290000919,0.0336516918592812,-12
-11,-0.151802156049184,0.0294859345802815,-11
-10,-0.153885613789105,0.0248061896826493,-10
-9,-0.125552747849146,0.0216263466728979,-9
-8,-0.0715499280468683,0.0207290641779825,-8
-7,-0.0632376219696093,0.0188814092889321,-7
-6,-0.0186800049383764,0.017768236720745,-6
-5,-0.0208441793186896,0.0169046272060089,-5
-4,-0.015155213217556,0.0153079988847962,-4
-3,0.0111291886975284,0.0141144423803265,-3
-2,0.00954124004761573,0.0119563414425942,-2
0,-0.010844991308048,0.0126174247327314,0
1,-0.0398465011079856,0.0173697745390576,1
2,-0.0339938779096655,0.0203771044245448,2
3,-0.0530770870099989,0.0262775625708847,3
4,-0.0617289958546792,0.0293188887095789,4
5,0.00814300623013143,0.0392383167017008,5
6,-0.0985097571450258,0.0424055427696195,6
7,0.0389454870855703,0.0514577189698612,7
8,0.0846539426656909,0.0557436809357279,8
9,0.150626442721255,0.0649108088676702,9
10,0.116181450482298,0.0717582860000395,10
11,0.258557718260128,0.107754317839045,11
12,0.119031437568837,0.143132943028148,12
