,coef,se,z,p
Intercept,-4.8292,1.4239,-3.3915,0.0007
C(size_ter)[T.mid],0.4964,0.5842,0.8496,0.3955
C(size_ter)[T.large],2.0868,0.6707,3.1116,0.0019
C(county)[T.甘南县],-1.262,0.8874,-1.4221,0.155
C(yr)[T.2023],-0.7339,0.8677,-0.8459,0.3976
C(yr)[T.2024],1.1674,0.9424,1.2388,0.2154
dpi100,0.0622,0.1863,0.3337,0.7386
dpi100:C(size_ter)[T.mid],0.1554,0.1809,0.8587,0.3905
dpi100:C(size_ter)[T.large],0.3181,0.2703,1.1771,0.2391
plant_soy_lag,1.787,0.5237,3.4124,0.0006
peer_lag0,2.6691,2.0137,1.3255,0.185
peer_miss,0.5221,1.3069,0.3995,0.6895
head_age10,0.3858,0.1887,2.0445,0.0409
head_edu,0.0562,0.1172,0.4796,0.6315
labor_n,-0.2286,0.174,-1.3137,0.1889
head_age10_miss,1.0448,1.5155,0.6894,0.4906
head_edu_miss,-0.1642,1.9884,-0.0826,0.9342
labor_n_miss,0.4607,0.5822,0.7913,0.4288
