,coef,se,z,p
Intercept,-3.0741,3.5381,-0.8689,0.3849
C(county)[T.甘南县],-0.4802,0.8704,-0.5516,0.5812
C(yr)[T.2023],-0.3003,0.618,-0.4859,0.627
C(yr)[T.2024],1.1269,1.7279,0.6522,0.5143
dpi100_base,0.2811,0.1592,1.7663,0.0773
plant_soy_lag,1.4639,0.5335,2.7438,0.0061
peer_lag0,3.1519,2.4274,1.2984,0.1941
peer_miss,2.5398,1.7086,1.4865,0.1371
head_age10,0.3506,0.3725,0.9411,0.3466
head_edu,0.0188,0.0975,0.1933,0.8467
head_male,-0.4552,0.8456,-0.5383,0.5904
head_health,-1.8426,0.6054,-3.0439,0.0023
labor_n,-0.1943,0.1576,-1.2325,0.2178
offfarm_n,0.6759,0.3706,1.8237,0.0682
wage_share,-0.7818,1.1096,-0.7045,0.4811
rentin_d,2.0997,0.5914,3.5502,0.0004
ln_asset,0.0647,0.1976,0.3275,0.7433
insurance,0.1885,0.787,0.2395,0.8107
internet,-0.9019,0.9867,-0.9141,0.3607
head_train_agr,-0.2022,0.7701,-0.2625,0.7929
v_coop_n,0.1006,0.0547,1.839,0.0659
head_age10_miss,2.0529,1.5254,1.3458,0.1784
head_edu_miss,0.7996,1.0311,0.7754,0.4381
head_male_miss,-21.0257,1.4314,-14.6888,0.0
head_health_miss,-0.3014,0.9861,-0.3057,0.7598
labor_n_miss,0.332,0.7587,0.4376,0.6617
wage_share_miss,-1.0526,1.1615,-0.9062,0.3648
ln_asset_miss,0.4689,0.868,0.5402,0.589
insurance_miss,-1.6982,0.9481,-1.7912,0.0733
internet_miss,0.7816,1.2528,0.6238,0.5327
head_train_agr_miss,-0.3155,0.6275,-0.5028,0.6151
v_coop_n_miss,0.4944,0.6425,0.7694,0.4416
