,coef,se,z,p
Intercept,-0.3192,3.0432,-0.1049,0.9165
C(county)[T.甘南县],-2.8308,1.0975,-2.5792,0.0099
C(yr)[T.2023],-1.5599,1.0602,-1.4714,0.1412
C(yr)[T.2024],-1.0873,1.1472,-0.9478,0.3432
dpi100_loo,1.2845,0.51,2.5186,0.0118
plant_soy_lag,1.7365,0.4641,3.7418,0.0002
peer_lag0,4.6259,2.5663,1.8025,0.0715
peer_miss,0.9548,1.0778,0.8858,0.3757
head_age10,0.1756,0.2515,0.6985,0.4849
head_edu,0.1669,0.1158,1.4413,0.1495
head_male,-0.993,1.0802,-0.9192,0.358
head_health,-0.7887,0.5219,-1.5113,0.1307
labor_n,0.1494,0.1811,0.8247,0.4095
head_age10_miss,2.5064,1.343,1.8663,0.062
head_edu_miss,-0.485,0.7894,-0.6144,0.539
head_male_miss,-19.3564,1.2736,-15.1984,0.0
head_health_miss,-1.546,1.1677,-1.324,0.1855
labor_n_miss,0.7027,0.6864,1.0237,0.306
