var,coef,se
Intercept,-2.143023724533976,1.9124575539866335
C(county)[T.甘南县],-0.6270199849695205,0.5128074477865874
C(yr)[T.2023],-0.576720490895143,0.4440577718875957
C(yr)[T.2024],0.7880752171986519,0.5620263257076704
dpi100_base,0.23279167725712643,0.13852392461344765
plant_soy_lag,1.546252943817371,0.4510173520096831
peer_lag0,2.7951098837394253,1.6352584510735744
peer_miss,1.401347483006036,1.581433505668915
head_age10,0.16944682954557466,0.2180535345694349
head_edu,0.1681599118652627,0.08897564974624761
head_male,-0.876382317045983,0.816540976924295
head_health,-1.1658003417344391,0.6152985140457321
labor_n,0.01733797404044291,0.17842763610273146
head_age10_miss,1.666410369628706,1.0593827065153494
head_edu_miss,0.21504264834214207,1.2382595998753612
head_male_miss,-40.371665230885135,1.903176792837099e-13
head_health_miss,-0.7142159544604629,1.081878089752156
labor_n_miss,0.6089130307927885,0.8752873688905268
