,coef,se,z,p
Intercept,-2.4336,2.7537,-0.8838,0.3768
C(county)[T.甘南县],-0.5468,0.6249,-0.8751,0.3815
C(yr)[T.2023],-0.6185,0.7351,-0.8414,0.4001
C(yr)[T.2024],0.9453,0.8344,1.133,0.2572
dpi100_roll,0.2121,0.1205,1.7608,0.0783
plant_soy_lag,1.6553,0.5617,2.9472,0.0032
peer_lag0,2.9307,2.1711,1.3499,0.1771
peer_miss,1.3968,1.2241,1.141,0.2539
head_age10,0.1787,0.2264,0.7894,0.4299
head_edu,0.1874,0.1137,1.6486,0.0992
head_male,-1.0493,1.0458,-1.0034,0.3157
head_health,-1.1582,0.5279,-2.1938,0.0282
labor_n,0.0325,0.1514,0.2148,0.8299
head_age10_miss,1.9746,1.1943,1.6534,0.0982
head_edu_miss,0.0959,0.7993,0.1199,0.9045
head_male_miss,-20.2553,1.3329,-15.1968,0.0
head_health_miss,-1.0912,1.2856,-0.8487,0.396
labor_n_miss,0.5918,0.6661,0.8884,0.3743
