suit,n,villages,b2021,se2021,p2021,b2023,se2023,p2023,b2024,se2024,p2024,wild_p23,wild_p24,perm_p24,b24_horse,p24_horse,b_ratio,p_ratio
村2021大豆份额,884,23,0.1354,0.0191,0.0,0.0369,0.0242,0.1266,0.1472,0.0347,0.0,0.5756,0.5445,0.5591,0.0517,0.0252,0.0457,0.0
户基期相对单产,884,23,-0.0163,0.0252,0.5176,0.0472,0.0635,0.4571,-0.0001,0.0341,0.9974,0.989,0.999,1.0,-0.0127,0.5843,0.0027,0.7496
县适宜度序数,884,23,0.0451,0.0303,0.1364,0.0175,0.022,0.426,0.0653,0.0467,0.1618,0.5656,0.5495,1.0,0.0288,0.3955,0.0163,0.0225
