,coef,se,z,p
Intercept,-3.3159,2.9443,-1.1262,0.2601
C(county)[T.甘南县],-0.814,0.8559,-0.951,0.3416
C(yr)[T.2023],-0.6587,0.5826,-1.1306,0.2582
C(yr)[T.2024],0.9688,1.3983,0.6929,0.4884
dpi100_base,0.3295,0.1766,1.8659,0.0621
plant_soy_lag,1.2857,0.4783,2.6879,0.0072
peer_lag0,4.6551,1.9739,2.3583,0.0184
peer_miss,1.3619,1.6341,0.8335,0.4046
head_age10,0.4053,0.3323,1.2196,0.2226
head_edu,0.0755,0.1016,0.7427,0.4577
head_male,-0.8163,0.9813,-0.8318,0.4055
head_health,-1.6618,0.5048,-3.292,0.001
labor_n,-0.0495,0.1658,-0.2987,0.7652
offfarm_n,0.3295,0.3733,0.8827,0.3774
wage_share,-0.4533,0.8527,-0.5317,0.5949
rentin_d,1.8239,0.6123,2.9786,0.0029
ln_asset,-0.0151,0.2091,-0.0724,0.9423
head_age10_miss,2.0907,1.3513,1.5472,0.1218
head_edu_miss,0.1369,0.7758,0.1764,0.86
head_male_miss,-20.7434,1.4983,-13.8443,0.0
head_health_miss,-0.6889,1.4634,-0.4707,0.6378
labor_n_miss,0.2778,0.8771,0.3167,0.7515
wage_share_miss,-0.7447,0.9045,-0.8233,0.4103
ln_asset_miss,0.2609,0.8982,0.2905,0.7714
