,coef,se,z,p
Intercept,-2.8554,3.1832,-0.897,0.3697
C(county)[T.甘南县],-1.1764,0.6928,-1.6981,0.0895
C(yr)[T.2023],-0.5546,0.7396,-0.7498,0.4534
C(yr)[T.2024],0.7293,0.6625,1.1009,0.2709
dpi100_base,0.4427,0.1345,3.2904,0.001
plant_soy_lag,1.1403,0.6323,1.8034,0.0713
peer_lag0,1.8403,2.3418,0.7858,0.432
peer_miss,1.2595,1.1842,1.0636,0.2875
head_age10,0.307,0.2806,1.0941,0.2739
head_edu,0.2671,0.1241,2.1522,0.0314
head_male,-1.5473,0.9702,-1.5949,0.1107
head_health,-1.3319,0.7201,-1.8497,0.0644
labor_n,0.1251,0.1509,0.8288,0.4072
head_age10_miss,1.4843,1.2239,1.2128,0.2252
head_edu_miss,0.1982,0.8593,0.2306,0.8176
head_health_miss,-0.7317,1.4359,-0.5096,0.6103
labor_n_miss,0.8637,0.7577,1.1399,0.2543
