,coef,se,z,p
Intercept,-0.0647,0.4796,-0.1349,0.8927
C(village)[T.230225100207],0.1423,0.0437,3.2555,0.0011
C(village)[T.230225100211],0.0743,0.037,2.009,0.0445
C(village)[T.230225103201],-0.0892,0.0731,-1.2205,0.2223
C(village)[T.230225103203],0.1702,0.0432,3.9396,0.0001
C(village)[T.230225103205],0.6184,0.2177,2.8402,0.0045
C(village)[T.230225202204],0.3299,0.1005,3.2841,0.001
C(village)[T.230225202209],0.0014,0.044,0.0321,0.9744
C(village)[T.230225202210],0.2735,0.2157,1.2682,0.2047
C(village)[T.230822106200],0.0115,0.0762,0.1512,0.8798
C(village)[T.230822106201],0.029,0.0881,0.3287,0.7424
C(village)[T.230822106203],0.2725,0.1887,1.4442,0.1487
C(village)[T.230822110219],1.0913,0.68,1.6048,0.1085
C(village)[T.230822110222],0.055,0.0829,0.6637,0.5069
C(village)[T.230822110223],0.5338,0.229,2.331,0.0198
C(village)[T.230822213202],0.0687,0.0998,0.6892,0.4907
C(village)[T.230822213209],0.7293,0.4513,1.6159,0.1061
C(yr)[T.2023],-0.0241,0.089,-0.2708,0.7866
C(yr)[T.2024],0.1238,0.1086,1.1398,0.2544
dpi_sub100:suit_vill_z,-0.0644,0.0545,-1.182,0.2372
dpi_mkt100_base,0.0083,0.0203,0.4098,0.682
plant_soy_lag,0.2691,0.1042,2.5812,0.0098
peer_lag0,-0.6322,0.7326,-0.8629,0.3882
peer_miss,0.4642,0.3189,1.4557,0.1455
head_age10,0.009,0.0323,0.2791,0.7802
head_edu,0.0175,0.0143,1.2223,0.2216
head_male,-0.0991,0.1706,-0.5805,0.5616
head_health,-0.1357,0.0808,-1.6799,0.093
labor_n,0.0036,0.0192,0.1846,0.8535
head_age10_miss,0.4008,0.2405,1.6666,0.0956
head_edu_miss,-0.0163,0.1107,-0.1474,0.8828
head_male_miss,-0.4655,0.2101,-2.2159,0.0267
head_health_miss,-0.071,0.0827,-0.8586,0.3906
labor_n_miss,0.0863,0.0864,0.998,0.3183
