,coef,se,z,p
Intercept,-3.8851,1.7336,-2.2411,0.025
C(county)[T.甘南县],-1.1422,0.6489,-1.7602,0.0784
dpi_mkt100,0.3234,0.1011,3.1989,0.0014
dpi_sub100,0.1371,0.5206,0.2633,0.7923
plant_soy_lag,1.7428,0.5186,3.3608,0.0008
peer_lag0,1.619,2.5769,0.6283,0.5298
peer_miss,1.1983,1.4401,0.8321,0.4054
head_age10,0.1968,0.155,1.2697,0.2042
head_edu,0.0701,0.1166,0.6018,0.5473
labor_n,-0.2142,0.1269,-1.6883,0.0914
logB,0.4463,0.1706,2.6165,0.0089
head_age10_miss,1.7197,1.6885,1.0185,0.3084
head_edu_miss,-0.5495,1.9892,-0.2762,0.7824
labor_n_miss,0.6903,0.5856,1.1787,0.2385
