,coef,se,z,p
Intercept,-2.3873,2.9162,-0.8186,0.413
C(county)[T.甘南县],-0.5987,0.7153,-0.8371,0.4025
C(yr)[T.2023],-0.519,0.6818,-0.7612,0.4465
C(yr)[T.2024],1.1578,0.8484,1.3648,0.1723
dpi100_base_lov,0.1921,0.1728,1.1118,0.2662
plant_soy_lag,1.6675,0.5925,2.8141,0.0049
peer_lag0,2.879,2.2145,1.3,0.1936
peer_miss,1.5672,1.2395,1.2644,0.2061
head_age10,0.1777,0.2457,0.7234,0.4695
head_edu,0.181,0.112,1.6166,0.106
head_male,-0.918,1.0123,-0.9068,0.3645
head_health,-1.2851,0.4847,-2.6514,0.008
labor_n,0.0178,0.1542,0.1152,0.9083
head_age10_miss,1.8363,1.2292,1.4939,0.1352
head_edu_miss,-0.0291,0.8003,-0.0364,0.971
head_male_miss,-20.3025,1.2626,-16.08,0.0
head_health_miss,-1.0707,1.2721,-0.8417,0.3999
labor_n_miss,0.5827,0.7104,0.8202,0.4121
