,coef,se,z,p
Intercept,-0.4323,0.4355,-0.9927,0.3209
C(county)[T.甘南县],0.2219,0.1054,2.1045,0.0353
C(yr)[T.2023],-0.0922,0.1018,-0.9055,0.3652
dpi100_base_lead,0.0138,0.0189,0.7297,0.4656
plant_soy_lag,0.1554,0.1365,1.1387,0.2548
peer_lag0,0.7529,0.322,2.3382,0.0194
peer_miss,-0.1846,0.0655,-2.8166,0.0049
head_age10,0.0779,0.0204,3.8089,0.0001
head_edu,0.0369,0.0232,1.5894,0.112
head_male,-0.3903,0.1943,-2.0087,0.0446
head_health,-0.1178,0.1425,-0.8267,0.4084
labor_n,0.0522,0.0223,2.339,0.0193
head_age10_miss,0.0538,0.1182,0.4553,0.6489
head_edu_miss,0.0562,0.0788,0.7136,0.4755
head_male_miss,0.0,0.0,2.5218,0.0117
head_health_miss,-0.0578,0.0683,-0.8472,0.3969
labor_n_miss,0.1501,0.1988,0.7553,0.4501
