,coef,se,z,p
Intercept,3.9535,1.0519,3.7586,0.0002
C(county)[T.甘南县],-1.5493,0.524,-2.9567,0.0031
C(yr)[T.2023],0.0059,0.6932,0.0086,0.9932
C(yr)[T.2024],0.1235,0.5319,0.2323,0.8163
dpi100_base,0.2753,0.0987,2.7889,0.0053
s_lag0,0.2498,0.5666,0.4409,0.6593
logB,-0.7044,0.2568,-2.7429,0.0061
