,coef,se,p
Intercept,0.0352,0.1954,0.8569
C(county_name)[T.桦南县],0.037,0.0576,0.5204
C(county_name)[T.甘南县],-0.2411,0.1229,0.0498
C(year)[T.2023],0.0532,0.134,0.6913
dsv100,0.0433,0.0838,0.6054
dm100,0.0576,0.0261,0.0274
plant_soy_lag,0.5475,0.1293,0.0
head_age10,0.0267,0.0198,0.1773
head_edu,0.0131,0.0135,0.3304
labor_n,-0.0155,0.0155,0.3153
logB,0.0004,0.0197,0.9848
head_age10_miss,-0.2733,0.0901,0.0024
head_edu_miss,0.1456,0.1347,0.2797
labor_n_miss,0.1949,0.0976,0.0457
