,coef,se,z,p
Intercept,-3.6365,2.641,-1.3769,0.1685
C(county)[T.甘南县],0.0035,0.7658,0.0046,0.9963
C(yr)[T.2023],-1.5041,1.0077,-1.4925,0.1356
C(yr)[T.2024],-0.8788,1.0999,-0.799,0.4243
dpi100_base,1.3468,0.7479,1.8007,0.0718
plant_soy_lag,1.5475,0.8984,1.7225,0.085
peer_lag0,2.5887,5.0267,0.515,0.6066
peer_miss,2.167,1.6995,1.2751,0.2023
D_init,0.3038,0.4303,0.7059,0.4803
dpi100_base_bar,-1.1797,0.747,-1.5793,0.1143
peer_lag0_bar,5.0593,4.9742,1.0171,0.3091
logB_bar,-1.9857,1.1426,-1.7379,0.0822
logB,2.2784,1.1639,1.9575,0.0503
head_age10,0.2914,0.2635,1.1061,0.2687
head_edu,0.0966,0.0926,1.0432,0.2968
head_male,-0.93,1.1301,-0.8229,0.4106
head_health,-1.5464,0.5063,-3.0545,0.0023
labor_n,0.0244,0.1738,0.1405,0.8882
head_age10_miss,2.9915,1.3296,2.2499,0.0245
head_edu_miss,-0.1056,0.6882,-0.1534,0.8781
head_male_miss,-19.6342,1.4017,-14.0073,0.0
head_health_miss,-1.2013,1.2356,-0.9723,0.3309
labor_n_miss,0.3208,0.4598,0.6977,0.4854
