,coef,se,z,p
Intercept,-2.0325,3.799,-0.535,0.5926
C(county)[T.甘南县],-1.7884,0.6311,-2.8338,0.0046
C(yr)[T.2023],-0.6792,0.6401,-1.061,0.2887
C(yr)[T.2024],0.8579,0.9877,0.8686,0.385
dpi100_base,0.311,0.1856,1.6759,0.0938
plant_soy_lag,1.6095,0.7164,2.2466,0.0247
peer_lag0,1.1014,2.3438,0.4699,0.6384
peer_miss,2.2012,1.2065,1.8245,0.0681
head_age10,0.0816,0.267,0.3055,0.76
head_edu,0.2343,0.1075,2.1799,0.0293
head_male,-0.3199,1.2255,-0.2611,0.794
head_health,-1.2204,0.7276,-1.6774,0.0935
labor_n,-0.0251,0.189,-0.133,0.8942
head_age10_miss,2.2152,1.4373,1.5413,0.1232
head_edu_miss,1.3968,0.9395,1.4867,0.1371
head_male_miss,-20.3428,1.6365,-12.4309,0.0
head_health_miss,-2.2088,1.9087,-1.1572,0.2472
labor_n_miss,1.1403,0.7887,1.4458,0.1482
