县代码,县名,n,year
230113,双城区,175,2019
230113,双城区,174,2020
230113,双城区,180,2021
230225,甘南县,170,2021
230822,桦南县,180,2021
230113,双城区,181,2022
230225,甘南县,169,2022
230822,桦南县,179,2022
230113,双城区,343,2023
230225,甘南县,275,2023
230822,桦南县,338,2023
230113,双城区,362,2024
230225,甘南县,279,2024
230822,桦南县,351,2024
