,coef,se,z,p
Intercept,-4.7497,3.5944,-1.3214,0.1864
C(county)[T.甘南县],-2.2406,0.5073,-4.4171,0.0
C(yr)[T.2023],-0.5959,0.6681,-0.8919,0.3724
C(yr)[T.2024],1.0203,1.0154,1.0048,0.315
dpi100_base,0.4042,0.1744,2.3179,0.0205
s_lag0,3.3082,0.9972,3.3173,0.0009
logB,0.2757,0.1248,2.2097,0.0271
head_age10,0.2101,0.2753,0.7634,0.4452
head_edu,0.2542,0.1194,2.1283,0.0333
head_male,0.0855,0.7691,0.1112,0.9115
head_health,-1.0485,0.3733,-2.8083,0.005
labor_n,-0.233,0.1178,-1.9776,0.048
head_age10_miss,-1.2743,0.6264,-2.0344,0.0419
head_edu_miss,1.5647,0.9406,1.6636,0.0962
head_male_miss,-17.3301,1.4934,-11.6042,0.0
head_health_miss,-1.1748,1.6072,-0.7309,0.4648
labor_n_miss,-0.0036,0.8482,-0.0043,0.9966
