,coef,se,z,p
Intercept,-2.3076,2.8326,-0.8147,0.4153
C(county)[T.甘南县],-0.6621,0.6933,-0.955,0.3396
C(yr)[T.2023],-0.6111,0.7294,-0.8378,0.4022
C(yr)[T.2024],0.8924,0.8335,1.0706,0.2844
dpi100_base,0.2391,0.133,1.797,0.0723
plant_soy_lag,1.662,0.5889,2.8221,0.0048
peer_lag0,3.0153,2.2062,1.3667,0.1717
peer_miss,1.4691,1.2401,1.1847,0.2361
head_age10,0.1789,0.2379,0.7519,0.4521
head_edu,0.1852,0.1133,1.6341,0.1022
head_male,-0.972,1.0445,-0.9305,0.3521
head_health,-1.2292,0.5103,-2.4089,0.016
labor_n,0.017,0.1516,0.1118,0.911
head_age10_miss,1.9734,1.2034,1.6399,0.101
head_edu_miss,-0.0234,0.798,-0.0293,0.9766
head_male_miss,-20.1342,1.3107,-15.3615,0.0
head_health_miss,-1.1103,1.3,-0.8541,0.3931
labor_n_miss,0.5551,0.681,0.8151,0.415
