,coef,se,z,p
Intercept,-1.503,2.8179,-0.5334,0.5938
C(county)[T.甘南县],-0.9891,0.7303,-1.3544,0.1756
C(yr)[T.2023],-0.6727,0.7304,-0.921,0.357
C(yr)[T.2024],0.9308,0.9813,0.9485,0.3429
dpi100_base,0.2562,0.1681,1.5243,0.1274
logB_c,0.5431,0.1965,2.7645,0.0057
dpi100_base:logB_c,-0.0163,0.1247,-0.1311,0.8957
plant_soy_lag,1.3834,0.6436,2.1496,0.0316
peer_lag0,4.4749,2.405,1.8607,0.0628
peer_miss,1.1571,1.3467,0.8592,0.3902
head_age10,0.2482,0.2501,0.9922,0.3211
head_edu,0.1268,0.1127,1.1252,0.2605
head_male,-1.0396,1.0268,-1.0125,0.3113
head_health,-1.5394,0.4371,-3.5219,0.0004
labor_n,-0.0992,0.1419,-0.6991,0.4845
head_age10_miss,1.6947,1.2457,1.3604,0.1737
head_edu_miss,0.1581,0.7797,0.2028,0.8393
head_male_miss,-20.5292,1.18,-17.3973,0.0
head_health_miss,-0.9444,1.2972,-0.728,0.4666
labor_n_miss,0.425,0.6746,0.63,0.5287
