,coef,se,z,p
Intercept,0.2465,0.3379,0.7294,0.4658
C(county)[T.甘南县],-0.0982,0.0852,-1.1534,0.2488
C(yr)[T.2023],-0.0753,0.0756,-0.9964,0.319
C(yr)[T.2024],0.1239,0.1129,1.0972,0.2726
dpi100_base,0.0352,0.0197,1.7867,0.074
plant_soy_lag,0.3063,0.0881,3.4781,0.0005
peer_lag0,0.3631,0.2583,1.4057,0.1598
peer_miss,0.2753,0.2986,0.9222,0.3564
head_age10,0.0192,0.0264,0.7284,0.4664
head_edu,0.0214,0.0138,1.5514,0.1208
head_male,-0.1831,0.1814,-1.0093,0.3128
head_health,-0.1773,0.0588,-3.0158,0.0026
labor_n,-0.002,0.0162,-0.1267,0.8992
head_age10_miss,0.3819,0.2291,1.6671,0.0955
head_edu_miss,-0.052,0.1045,-0.4974,0.6189
head_male_miss,-0.4446,0.1864,-2.3857,0.017
head_health_miss,-0.1317,0.0808,-1.6308,0.1029
labor_n_miss,0.0706,0.108,0.6542,0.513
