,coef,se,z,p
Intercept,-0.1624,0.1573,-1.0326,0.3018
C(county)[T.桦南县],0.0389,0.0593,0.6557,0.512
C(county)[T.甘南县],-0.0824,0.0689,-1.1948,0.2322
C(yr)[T.2023],-0.0235,0.0604,-0.3897,0.6968
C(yr)[T.2024],0.1034,0.0716,1.4447,0.1485
dpi100,0.0314,0.0134,2.3367,0.0195
plant_soy_lag,0.3343,0.0856,3.9045,0.0001
peer_lag0,0.2545,0.3008,0.8463,0.3974
peer_miss,0.2502,0.3003,0.8329,0.4049
head_age10,0.0193,0.0141,1.3689,0.171
head_edu,0.011,0.0093,1.1874,0.2351
labor_n,-0.0102,0.0106,-0.9655,0.3343
logB,0.0335,0.0188,1.7806,0.075
head_age10_miss,0.1218,0.2032,0.5993,0.549
head_edu_miss,-0.0343,0.15,-0.2285,0.8193
labor_n_miss,0.0686,0.0949,0.7229,0.4697
