Category,food_group10,baseline_spend,weight
其他肉类,G06_禽类及其他肉类,68084.6400000001,0.0497679544519162
坚果,G10_坚果,1368830.17000005,1
大米,G01_主食,1301602.34000003,0.571378255465227
奶酪,G09_乳制品,49985.7100000004,0.0136314976722349
常温牛奶,G09_乳制品,1496887.70000001,0.408213091264424
常温酸奶,G09_乳制品,823996.020000021,0.22471021875174
成人奶粉,G09_乳制品,426637.69,0.116347465668141
挂面,G01_主食,225897.10999999,0.0991644626471923
新鲜牛奶,G09_乳制品,163476.519999996,0.044581337383124
新鲜酸奶,G09_乳制品,506878.480000021,0.138229762470638
方便面,G01_主食,421862.539999995,0.185189496625615
水果,G04_水果,2991198.87999979,1
海鲜类,G08_海鲜,1939739.48000002,1
牛肉,G07_牛羊肉,1373950.31000001,0.750595247928721
猪肉,G05_猪肉,3423831.1299999,1
禽类,G06_禽类及其他肉类,1299957.12000002,0.950232045548084
羊肉,G07_牛羊肉,456530.65,0.24940475207128
蔬菜,G03_蔬菜,2969260.94999983,1
面粉,G01_主食,328642.689999994,0.144267785261966
食用油,G02_食用油,1934185.27999992,1
黄油,G09_乳制品,199065.109999996,0.0542866267896986
