product,participation_rate,intercept,phi_ref,pdf_ref,bx,bp_corn,bp_sorghum,bp_cassava,bp_oats,bp_barley
corn,.6167192429022083,.3954908,.65375966,.36893123,.2420156,.53018844,.30478647,-.63825727,-.096987687,.26444519
sorghum,.5788643533123028,.21122812,.58364534,.39014095,.21473621,.030143317,.10221137,.12749121,.12334879,.047806058
cassava,.4274447949526814,-.29650199,.38342336,.38178593,.31005248,-.047546305,-.41126108,-.29377761,.022036405,.45518535
oats,.4621451104100947,-.064349845,.47434583,.39811715,.11718041,.01141399,.031604931,.097985379,.56821281,.079668812
barley,.6735015772870663,.52536613,.70033562,.34751645,.29132873,.040110871,-.0049492409,1.2130336,-.0042920504,-.3687008
