model,N,n_clusters,n_parameters,converged,ll,aic,bic
quaids,634,30,22,1,-170.8012827958328,385.60257,483.54764
sy_aids,634,30,23,1,139.4635966515571,-232.9272,-130.53006
sy_quaids,634,30,27,1,332.6368922211532,-611.2738,-491.06845
