model,parameter,estimate,std_error,z_value,p_value,ci_low,ci_high,significance
quaids,a1,.2288570806053673,.054611903,4.190608,.000027820786,.12181972,.33589444,***
quaids,a2,.1852031204838805,.045385797,4.0806403,.000044911791,.096248589,.27415764,***
quaids,a3,.1737836077110776,.04619367,3.7620654,.00016851589,.08324568,.26432154,***
quaids,a4,.0613741306451218,.02935636,2.0906587,.036558669,.0038367212,.11891154,**
quaids,b1,.0136134174924533,.022575073,.60302871,.5464896,-.030632913,.057859749,
quaids,b2,-.0090089390520911,.0172564,-.52206367,.60162604,-.042830862,.024812983,
quaids,b3,.0111436036114217,.017729029,.62855124,.52964288,-.023604654,.045891862,
quaids,b4,-.0247454742882887,.010691199,-2.3145649,.02063676,-.045699839,-.0037911085,**
quaids,l1,.002987385170604,.0023167175,1.2894905,.19722764,-.0015532979,.007528068,
quaids,l2,-.0014508590276628,.0015918527,-.91142792,.36206996,-.0045708329,.001669115,
quaids,l3,-.0006310128241259,.0016323397,-.38656956,.69907486,-.0038303398,.0025683141,
quaids,l4,.001593306210112,.0011569489,1.3771621,.16846213,-.00067427196,.0038608843,
quaids,g11,-.0196892555519045,.024890332,-.7910403,.42892048,-.068473406,.029094899,
quaids,g12,.0274342859074417,.023594843,1.1627238,.24494158,-.018810757,.073679328,
quaids,g13,-.0039478427934636,.010635437,-.37119702,.71049076,-.024792917,.016897231,
quaids,g14,-.0247723675879359,.013205448,-1.8759202,.060666241,-.050654572,.001109836,*
quaids,g22,-.0292866708102643,.012600036,-2.3243322,.020107696,-.053982288,-.0045910529,**
quaids,g23,-.0111936392798948,.013842421,-.80864751,.41871792,-.038324285,.015937008,
quaids,g24,.0052631669711341,.0073595932,.71514374,.47452024,-.0091613708,.019687705,
quaids,g33,-.1178590292151087,.058803089,-2.0042999,.045037936,-.23311096,-.0026070923,**
quaids,g34,.0160766699355157,.014262881,1.1271684,.25967127,-.011878064,.044031404,
quaids,g44,-.0072093396814221,.012168887,-.59244037,.55355573,-.031059919,.016641241,
sy_aids,a1,.3889595630780625,.086190395,4.512795,6.3978914e-06,.22002949,.55788964,***
sy_aids,a2,.1096955207987808,.20347895,.53910011,.58981776,-.28911588,.50850695,
sy_aids,a3,.030919667342554,.085409455,.36201692,.7173394,-.13647979,.19831912,
sy_aids,a4,.5087085577856151,.11211312,4.5374579,5.6936383e-06,.28897089,.72844625,***
sy_aids,b1,-.0536113832828516,.028657105,-1.8707886,.061374396,-.10977828,.0025555096,*
sy_aids,b2,-.0097345173708017,.045891084,-.2121222,.8320117,-.099679388,.08021035,
sy_aids,b3,.0783731461419466,.03972248,1.9730175,.048493572,.00051851675,.15622778,**
sy_aids,b4,-.0869934971959515,.012542076,-6.936132,4.0298082e-12,-.11157551,-.06241148,***
sy_aids,g11,-.0716197828378496,.024819842,-2.8855858,.0039068586,-.12026577,-.022973787,***
sy_aids,g12,.0390179818745625,.032404378,1.204096,.22855249,-.024493434,.1025294,
sy_aids,g13,.0263203121688339,.039128114,.67267013,.50115716,-.050369382,.10301001,
sy_aids,g14,-.0247904493716198,.016515641,-1.5010287,.13334814,-.057160508,.0075796102,
sy_aids,g22,-.076654172317193,.032088477,-2.3888378,.016901761,-.13954644,-.013761909,**
