province,year,quarter,quarter_id,total_expenditure_usd,ln_total_expenditure,expenditure_outlier_mild,expenditure_outlier_severe
陕西省,2020,1,2020q1,200,5.298317366548036,1,1
河南省,2019,1,2019q1,191,5.25227342804663,1,1
陕西省,2019,1,2019q1,15,2.70805020110221,1,1
四川省,2019,3,2019q3,10,2.302585092994046,1,1
四川省,2019,2,2019q2,9,2.19722457733622,1,1
北京市,2023,4,2023q4,2580201260,21.67113324058943,0,0
北京市,2021,3,2021q3,2555306978,21.6614382013301,0,0
北京市,2021,2,2021q2,2350042839,21.57769939429803,0,0
北京市,2022,2,2022q2,1986764042,21.40977304258392,0,0
北京市,2023,1,2023q1,1968242941,21.40040707358777,0,0
北京市,2022,3,2022q3,1954050834,21.39317040558173,0,0
北京市,2022,1,2022q1,1838474059,21.33220174873388,0,0
北京市,2021,1,2021q1,1276819362,20.96763794901852,0,0
北京市,2023,3,2023q3,1206301173,20.91082463293007,0,0
福建省,2021,2,2021q2,1155301943,20.86762756926608,0,0
北京市,2023,2,2023q2,1130350964,20.84579400905893,0,0
北京市,2021,4,2021q4,1063890564,20.78519836919263,0,0
北京市,2020,4,2020q4,893515100,20.61067379225308,0,0
福建省,2022,2,2022q2,837032372,20.54537330393045,0,0
福建省,2021,4,2021q4,786987151,20.48372247969185,0,0
北京市,2022,4,2022q4,784400212,20.4804299225567,0,0
福建省,2023,4,2023q4,763228109,20.45306750787086,0,0
福建省,2022,1,2022q1,757157597,20.44508197599553,0,0
福建省,2021,3,2021q3,751583368,20.43769269646683,0,0
山东省,2021,2,2021q2,710034014,20.38082343389438,0,0
福建省,2023,2,2023q2,692167324,20.35533828204145,0,0
福建省,2022,3,2022q3,689069296,20.35085239866664,0,0
广东省,2022,2,2022q2,614322133,20.23602999511232,0,0
福建省,2021,1,2021q1,603688077,20.21856819369586,0,0
广东省,2023,2,2023q2,566719591,20.1553751908617,0,0
广东省,2021,3,2021q3,561381061,20.14591048601841,0,0
福建省,2023,1,2023q1,533392124,20.09476740394888,0,0
广东省,2023,3,2023q3,524748207,20.078429099794,0,0
北京市,2020,3,2020q3,519979955,20.06930082071983,0,0
广东省,2023,4,2023q4,512424192,20.0546633399871,0,0
山东省,2021,1,2021q1,504580063,20.0392370828873,0,0
广东省,2021,2,2021q2,448614074,19.9216735527192,0,0
广东省,2022,1,2022q1,420806269,19.85768311709049,0,0
福建省,2020,4,2020q4,415302770,19.84451837845593,0,0
福建省,2020,2,2020q2,391839731,19.7863634646632,0,0
山东省,2022,1,2022q1,384056117,19.76629923789572,0,0
广东省,2021,4,2021q4,379126912,19.75338156715186,0,0
广东省,2023,1,2023q1,377658107,19.74949986546009,0,0
江苏省,2021,2,2021q2,376058587,19.7452555057054,0,0
福建省,2018,2,2018q2,374746128,19.74175936267212,0,0
山东省,2022,2,2022q2,366706599,19.72007262851639,0,0
山东省,2023,4,2023q4,362745956,19.70921330149276,0,0
福建省,2023,3,2023q3,353507124,19.68341419585597,0,0
广东省,2020,2,2020q2,345922359,19.6617249118877,0,0
山东省,2023,1,2023q1,344642824,19.6580191459563,0,0
北京市,2020,2,2020q2,343955514,19.65602288720771,0,0
江苏省,2023,2,2023q2,341273728,19.6481954346469,0,0
