elasticity_type,demand_product,price_product,reference_share,estimate,std_error,z_value,p_value,ci_low,ci_high,significance,demand_good,shock_good,p_value_vs_one,significance_vs_one
hicksian,cassava,sorghum,.1690242076380508,.10967851,.092261322,1.188781,.23452587,-.071150362,.29050738,,cassava,sorghum,,
hicksian,cassava,cassava,.1690242076380508,-1.5367352,.3326281,-4.6199799,3.8377698e-06,-2.1886744,-.88479608,***,cassava,cassava,,
hicksian,cassava,oats,.1690242076380508,.16454516,.10585954,1.5543725,.12009558,-.042935725,.37202603,,cassava,oats,,
hicksian,cassava,barley,.1690242076380508,1.0311203,.37898675,2.7207294,.0065138089,.28831995,1.7739207,***,cassava,barley,,
hicksian,oats,corn,.0735830116663447,-.081988029,.17221139,-.47608948,.63401061,-.41951615,.2555401,,oats,corn,,
hicksian,oats,sorghum,.0735830116663447,.22048621,.10042526,2.1955254,.028125938,.023656307,.41731611,**,oats,sorghum,,
hicksian,oats,cassava,.0735830116663447,.37796924,.192151,1.9670429,.049178265,.001360222,.75457823,**,oats,cassava,,
hicksian,oats,oats,.0735830116663447,-.96975213,.1474857,-6.5752282,4.8578620e-11,-1.2588187,-.68068546,***,oats,oats,,
hicksian,oats,barley,.0735830116663447,.45328471,.20417148,2.2201178,.026410773,.053115983,.85345346,**,oats,barley,,
hicksian,barley,corn,.3319988916289698,.31984791,.085834846,3.7263176,.00019429746,.1516147,.4880811,***,barley,corn,,
hicksian,barley,sorghum,.3319988916289698,.19995616,.079490222,2.5154812,.011887005,.044158183,.35575414,**,barley,sorghum,,
hicksian,barley,cassava,.3319988916289698,.52495444,.24267171,2.1632288,.030523587,.049326621,1.0005822,**,barley,cassava,,
hicksian,barley,oats,.3319988916289698,.10046435,.05804364,1.7308418,.08348,-.013299091,.2142278,*,barley,oats,,
hicksian,barley,barley,.3319988916289698,-1.1452229,.29020271,-3.946286,.000079372803,-1.7140096,-.57643598,***,barley,barley,,
marshallian,corn,corn,.2510900068834304,-1.0890781,.081650868,-13.33823,0,-1.2491108,-.92904532,***,corn,corn,,
marshallian,corn,sorghum,.2510900068834304,.10770423,.09206976,1.1698111,.24207698,-.072749183,.28815764,,corn,sorghum,,
marshallian,corn,cassava,.2510900068834304,-.013789064,.045516916,-.30294374,.76193273,-.10300058,.075422451,,corn,cassava,,
marshallian,corn,oats,.2510900068834304,-.097840093,.055484336,-1.7633822,.077836052,-.20658739,.010907211,*,corn,oats,,
marshallian,corn,barley,.2510900068834304,.089875452,.070517533,1.2745122,.20248196,-.048336368,.22808728,,corn,barley,,
marshallian,sorghum,corn,.1743038821832043,.16029079,.12590469,1.2731121,.20297828,-.086477891,.40705946,,sorghum,corn,,
marshallian,sorghum,sorghum,.1743038821832043,-1.1586021,.061271764,-18.909235,0,-1.2786926,-1.0385118,***,sorghum,sorghum,,
marshallian,sorghum,cassava,.1743038821832043,-.059736721,.083819292,-.71268463,.47604093,-.22401951,.10454607,,sorghum,cassava,,
marshallian,sorghum,oats,.1743038821832043,.020772081,.046802368,.44382545,.65716881,-.070958875,.11250303,,sorghum,oats,,
marshallian,sorghum,barley,.1743038821832043,.054617625,.12653312,.43164688,.6659981,-.19338273,.30261797,,sorghum,barley,,
marshallian,cassava,corn,.1690242076380508,-.040226024,.052573416,-.76514,.44418818,-.14326803,.062815979,,cassava,corn,,
marshallian,cassava,sorghum,.1690242076380508,-.078875192,.073139042,-1.078428,.28084278,-.22222507,.064474694,,cassava,sorghum,,
marshallian,cassava,cassava,.1690242076380508,-1.7195777,.32311827,-5.3218212,1.0273359e-07,-2.3528779,-1.0862775,***,cassava,cassava,,
marshallian,cassava,oats,.1690242076380508,.084946536,.089834668,.94558746,.34435904,-.091126174,.26101926,,cassava,oats,,
marshallian,cassava,barley,.1690242076380508,.67197961,.3781341,1.7770934,.075552881,-.069149613,1.4131088,*,cassava,barley,,
marshallian,oats,corn,.0735830116663447,-.22679435,.16211058,-1.3990102,.16180994,-.54452527,.090936549,,oats,corn,,
marshallian,oats,sorghum,.0735830116663447,.11996327,.10310367,1.1635208,.24461824,-.082116209,.32204276,,oats,sorghum,,
marshallian,oats,cassava,.0735830116663447,.28049114,.18702629,1.4997419,.13368128,-.086073637,.64705598,,oats,cassava,,
marshallian,oats,oats,.0735830116663447,-1.0121882,.15906794,-6.3632445,1.9753563e-10,-1.3239557,-.7004208,***,oats,oats,,
marshallian,oats,barley,.0735830116663447,.26181737,.19870907,1.3175914,.18764046,-.12764525,.65127999,,oats,barley,,
marshallian,barley,corn,.3319988916289698,.053960074,.051013451,1.0577617,.29016411,-.046024453,.1539446,,barley,corn,,
marshallian,barley,sorghum,.3319988916289698,.015379798,.064870737,.23708375,.81259179,-.11176451,.14252411,,barley,sorghum,,
marshallian,barley,cassava,.3319988916289698,.3459689,.22001246,1.5724969,.11583536,-.085247584,.77718538,,barley,cassava,,
marshallian,barley,oats,.3319988916289698,.022544779,.041803841,.53929919,.58968043,-.059389245,.10447881,,barley,oats,,
marshallian,barley,barley,.3319988916289698,-1.4967879,.27159077,-5.5111885,3.5641914e-08,-2.0290959,-.96447974,***,barley,barley,,
