model,margin,elasticity_type,demand_product,price_product,reference_share,estimate,std_error,z_value,p_value,ci_low,ci_high,significance,p_value_vs_one,significance_vs_one
aids,latent,expenditure,corn,,.2510900068834304,1.0031276,.065595537,15.292619,0,.87456262,1.1316924,***,.9619721571272618,
aids,latent,expenditure,sorghum,,.1743038821832043,.98265839,.060114689,16.346394,0,.86483574,1.100481,***,.7729828980193486,
aids,latent,expenditure,cassava,,.1690242076380508,1.0817527,.067133598,16.113434,0,.95017326,1.2133322,***,.2233145929100671,
aids,latent,expenditure,oats,,.0735830116663447,.57671076,.09235996,6.2441645,4.2607190e-10,.39568859,.75773299,***,4.58268613069e-06,***
aids,latent,expenditure,barley,,.3319988916289698,1.0589343,.029207077,36.256088,0,1.0016896,1.1161791,***,.0436110991585779,**
aids,latent,hicksian,corn,corn,.2510900068834304,-.83720273,.085836172,-9.7534962,1.7822265e-22,-1.0054386,-.66896695,***,,
aids,latent,hicksian,corn,sorghum,.2510900068834304,.28255326,.1049536,2.692173,.0070988117,.07684797,.48825854,***,,
aids,latent,hicksian,corn,cassava,.2510900068834304,.15576378,.05380062,2.8952041,.0037891211,.050316498,.26121104,***,,
aids,latent,hicksian,corn,oats,.2510900068834304,-.024026947,.050346754,-.4772293,.63319886,-.12270477,.074650884,,,
aids,latent,hicksian,corn,barley,.2510900068834304,.42291269,.097528465,4.3362999,.000014490124,.2317604,.61406493,***,,
aids,latent,hicksian,sorghum,corn,.1743038821832043,.4070265,.15202221,2.6774144,.0074192779,.10906842,.70498455,***,,
aids,latent,hicksian,sorghum,sorghum,.1743038821832043,-.98732102,.067656554,-14.593131,0,-1.1199254,-.8547166,***,,
aids,latent,hicksian,sorghum,cassava,.1743038821832043,.10635634,.080498144,1.3212272,.1864256,-.05141712,.26412979,,,
aids,latent,hicksian,sorghum,oats,.1743038821832043,.093079045,.05327468,1.7471535,.080610707,-.011337408,.19749549,*,,
aids,latent,hicksian,sorghum,barley,.1743038821832043,.38085914,.14130473,2.6953034,.0070324568,.10390694,.65781128,***,,
aids,latent,hicksian,cassava,corn,.1690242076380508,.23139127,.083435647,2.7732902,.0055492609,.067860402,.39492214,***,,
aids,latent,hicksian,cassava,sorghum,.1690242076380508,.10967851,.092261322,1.188781,.23452587,-.071150362,.29050738,,,
aids,latent,hicksian,cassava,cassava,.1690242076380508,-1.5367352,.3326281,-4.6199799,3.8377698e-06,-2.1886744,-.88479608,***,,
aids,latent,hicksian,cassava,oats,.1690242076380508,.16454516,.10585954,1.5543725,.12009558,-.042935725,.37202603,,,
aids,latent,hicksian,cassava,barley,.1690242076380508,1.0311203,.37898675,2.7207294,.0065138089,.28831995,1.7739207,***,,
aids,latent,hicksian,oats,corn,.0735830116663447,-.081988029,.17221139,-.47608948,.63401061,-.41951615,.2555401,,,
aids,latent,hicksian,oats,sorghum,.0735830116663447,.22048621,.10042526,2.1955254,.028125938,.023656307,.41731611,**,,
aids,latent,hicksian,oats,cassava,.0735830116663447,.37796924,.192151,1.9670429,.049178265,.001360222,.75457823,**,,
aids,latent,hicksian,oats,oats,.0735830116663447,-.96975213,.1474857,-6.5752282,4.8578620e-11,-1.2588187,-.68068546,***,,
aids,latent,hicksian,oats,barley,.0735830116663447,.45328471,.20417148,2.2201178,.026410773,.053115983,.85345346,**,,
aids,latent,hicksian,barley,corn,.3319988916289698,.31984791,.085834846,3.7263176,.00019429746,.1516147,.4880811,***,,
aids,latent,hicksian,barley,sorghum,.3319988916289698,.19995616,.079490222,2.5154812,.011887005,.044158183,.35575414,**,,
aids,latent,hicksian,barley,cassava,.3319988916289698,.52495444,.24267171,2.1632288,.030523587,.049326621,1.0005822,**,,
aids,latent,hicksian,barley,oats,.3319988916289698,.10046435,.05804364,1.7308418,.08348,-.013299091,.2142278,*,,
aids,latent,hicksian,barley,barley,.3319988916289698,-1.1452229,.29020271,-3.946286,.000079372803,-1.7140096,-.57643598,***,,
aids,latent,marshallian,corn,corn,.2510900068834304,-1.0890781,.081650868,-13.33823,0,-1.2491108,-.92904532,***,,
aids,latent,marshallian,corn,sorghum,.2510900068834304,.10770423,.09206976,1.1698111,.24207698,-.072749183,.28815764,,,
aids,latent,marshallian,corn,cassava,.2510900068834304,-.013789064,.045516916,-.30294374,.76193273,-.10300058,.075422451,,,
aids,latent,marshallian,corn,oats,.2510900068834304,-.097840093,.055484336,-1.7633822,.077836052,-.20658739,.010907211,*,,
aids,latent,marshallian,corn,barley,.2510900068834304,.089875452,.070517533,1.2745122,.20248196,-.048336368,.22808728,,,
aids,latent,marshallian,sorghum,corn,.1743038821832043,.16029079,.12590469,1.2731121,.20297828,-.086477891,.40705946,,,
aids,latent,marshallian,sorghum,sorghum,.1743038821832043,-1.1586021,.061271764,-18.909235,0,-1.2786926,-1.0385118,***,,
aids,latent,marshallian,sorghum,cassava,.1743038821832043,-.059736721,.083819292,-.71268463,.47604093,-.22401951,.10454607,,,
aids,latent,marshallian,sorghum,oats,.1743038821832043,.020772081,.046802368,.44382545,.65716881,-.070958875,.11250303,,,
aids,latent,marshallian,sorghum,barley,.1743038821832043,.054617625,.12653312,.43164688,.6659981,-.19338273,.30261797,,,
aids,latent,marshallian,cassava,corn,.1690242076380508,-.040226024,.052573416,-.76514,.44418818,-.14326803,.062815979,,,
aids,latent,marshallian,cassava,sorghum,.1690242076380508,-.078875192,.073139042,-1.078428,.28084278,-.22222507,.064474694,,,
aids,latent,marshallian,cassava,cassava,.1690242076380508,-1.7195777,.32311827,-5.3218212,1.0273359e-07,-2.3528779,-1.0862775,***,,
