product,product_id,hs8,product_name,n_transactions,total_value_usd,total_qty_kg,n_invalid_qty,n_seed_records,n_mild_price_outlier,n_severe_price_outlier,median_unit_value,p99_unit_value,product_value_usd,product_value_share
corn,corn,10051000,种用玉米,517,28381719,2271305,4,517,6,0,12.14285714285714,250,30084355668,.0009434045825415
corn,corn,10059000,"玉米,种用除外",242,4281899841,18657458613,0,0,0,0,.2151995189679676,1.958796296296296,30084355668,.1423297839000937
corn,corn,10059000,玉米，种用除外,1169,25774074108,83673008556,0,0,0,0,.3089795240975879,2.908694444444444,30084355668,.8567268115173647
sorghum,sorghum,10071000,种用食用高梁,22,1174623,86658,2,22,19,19,9.564516129032258,399,12097257565,.000097098288078
sorghum,sorghum,10071000,种用食用高粱,13,7655,19287,0,13,9,9,10,120,12097257565,6.32788047941e-07
sorghum,sorghum,10079000,其他食用高梁,537,4240540394,17600884151,0,0,6,1,.245148599381605,.3886706016159788,12097257565,.3505373322188995
sorghum,sorghum,10079000,其他食用高粱,695,7855534893,22409022344,0,0,1,1,.3460347776154989,.4199995987641937,12097257565,.6493649367049746
cassava,cassava,07141020,木薯干,1023,9275722722,37676520452,0,0,1,1,.2503419529959526,.3198297872340425,9275722722,1
oats,oats,10041000,种用燕麦,135,42941412,63776799,1,135,9,8,.6270955999016938,1918,693309977,.0619368153128424
oats,oats,10049000,其他燕麦,994,650368565,2294288828,12,0,223,141,.3225907579331365,47.6,693309977,.9380631846871577
barley,barley,10031000,种用大麦,13,2984,541,3,13,10,10,11.44642857142857,68,16760152276,1.78041341801e-07
barley,barley,10039000,其他大麦,1887,16760149292,60878885175,0,0,36,5,.2686376366428765,.5152801767676768,16760152276,.9999998219586582
