province,year,quarter,product,import_value_usd,import_qty_kg,cell_unit_value,cell_price_outlier_mild,cell_price_outlier_severe,n_transactions,n_invalid_value,n_invalid_qty,n_raw_price_outliers,n_seed_records,seed_value_usd,quarter_id,product_id,total_expenditure_usd,budget_share,ln_cell_price_raw,price_imputed,quarter_product_median,product_median,ln_price,cq1,cq3,ciqr
新疆维吾尔自治区,2018,2,corn,948657,3750,252.9752,1,1,1,0,0,1,1,948657,2018q2,corn,948657,1,5.533291460207467,0,-1.494561476059001,-1.209177976976772,5.533291460207467,-1.513596055813129,-1.053697951662472,.4598981041506562
陕西省,2023,4,corn,154,1,154,1,1,1,0,0,0,1,154,2023q4,corn,3791153,.0000406208876297,5.03695260241363,0,-1.270739734156277,-1.209177976976772,5.03695260241363,-1.513596055813129,-1.053697951662472,.4598981041506562
甘肃省,2018,3,corn,125,1,125,1,1,1,0,0,0,1,125,2018q3,corn,129855,.0009626121443148,4.828313737302302,0,-1.243464553167793,-1.209177976976772,4.828313737302302,-1.513596055813129,-1.053697951662472,.4598981041506562
湖南省,2022,3,corn,426,4,106.5,1,1,1,0,0,0,1,426,2022q3,corn,3275398,.0001300605300486,4.66814498514948,0,-.9815501023588475,-1.209177976976772,4.66814498514948,-1.513596055813129,-1.053697951662472,.4598981041506562
陕西省,2020,1,corn,200,2,100,1,1,1,0,0,0,1,200,2020q1,corn,200,1,4.605170185988092,0,-1.545515965300271,-1.209177976976772,4.605170185988092,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2017,2,corn,710644,7890,90.06894803548796,1,1,4,0,0,0,4,710644,2017q2,corn,710644,1,4.500575466316854,0,-.6289303372174063,-1.209177976976772,4.500575466316854,-1.513596055813129,-1.053697951662472,.4598981041506562
湖南省,2023,2,corn,335,5,67,1,1,1,0,0,0,1,335,2023q2,corn,396617,.0008446435730188,4.204692619390966,0,-1.110282420230454,-1.209177976976772,4.204692619390966,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2019,1,corn,552079,8547,64.5933075933076,1,1,1,0,0,0,1,552079,2019q1,corn,552079,1,4.168110807795134,0,-1.481238208032304,-1.209177976976772,4.168110807795134,-1.513596055813129,-1.053697951662472,.4598981041506562
甘肃省,2021,4,corn,113,2,56.5,1,1,1,0,0,0,1,113,2021q4,corn,3786090,.0000298460945197,4.034240638152395,0,-1.176011489361206,-1.209177976976772,4.034240638152395,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2022,3,corn,6490,149,43.55704697986577,1,1,3,0,0,0,3,6490,2022q3,corn,49751610,.000130448039772,3.774071503752677,0,-.9815501023588475,-1.209177976976772,3.774071503752677,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2021,2,corn,69615,1600,43.509375,1,1,3,0,0,0,3,69615,2021q2,corn,159210385,.0004372516277754,3.772976432115513,0,-1.182291891549115,-1.209177976976772,3.772976432115513,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2020,1,corn,52707,1330,39.62932330827068,1,1,2,0,0,0,2,52707,2020q1,corn,2128844,.0247585074340816,3.679569331817365,0,-1.545515965300271,-1.209177976976772,3.679569331817365,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2020,4,corn,18211,463,39.33261339092873,1,1,2,0,0,0,2,18211,2020q4,corn,128891171,.0001412897396983,3.672054032009586,0,-1.423458240491811,-1.209177976976772,3.672054032009586,-1.513596055813129,-1.053697951662472,.4598981041506562
甘肃省,2020,3,corn,1279,35,36.54285714285714,1,1,1,0,0,0,1,1279,2020q3,corn,900401,.0014204782091535,3.598485740089429,0,-1.532636334272655,-1.209177976976772,3.598485740089429,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2019,3,corn,12930,399,32.40601503759399,1,1,2,0,0,0,2,12930,2019q3,corn,59618156,.000216880240308,3.47834405487604,0,-1.547719805866593,-1.209177976976772,3.47834405487604,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2020,2,corn,720,25,28.8,1,1,1,0,0,0,1,720,2020q2,corn,57002318,.000012631065284,3.3603753871419,0,-1.554872099106825,-1.209177976976772,3.3603753871419,-1.513596055813129,-1.053697951662472,.4598981041506562
