province,year,quarter,product,import_value_usd,import_qty_kg,cell_unit_value,cell_price_outlier_mild,cell_price_outlier_severe,n_transactions,n_invalid_value,n_invalid_qty,n_raw_price_outliers,n_seed_records,seed_value_usd,quarter_id,product_id,total_expenditure_usd,budget_share,ln_cell_price_raw,price_imputed,quarter_product_median,product_median,ln_price,cq1,cq3,ciqr
安徽省,2019,4,corn,282,10,28.2,1,1,1,0,0,0,1,282,2019q4,corn,282,1,3.339321977944068,0,-1.553503253532807,-1.209177976976772,3.339321977944068,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2022,1,corn,5084,200,25.42,1,1,1,0,0,0,1,5084,2022q1,corn,5946082,.0008550167992974,3.235536265761308,0,-1.1223043406395,-1.209177976976772,3.235536265761308,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2023,2,corn,5344,299,17.87290969899665,1,1,1,0,0,0,1,5344,2023q2,corn,11599609,.0004607051841144,2.883286141825795,0,-1.110282420230454,-1.209177976976772,2.883286141825795,-1.513596055813129,-1.053697951662472,.4598981041506562
湖南省,2023,1,corn,513,30,17.1,1,1,1,0,0,0,1,513,2023q1,corn,1142755,.000448915121789,2.839078463508614,0,-1.083960308276622,-1.209177976976772,2.839078463508614,-1.513596055813129,-1.053697951662472,.4598981041506562
安徽省,2018,3,corn,202,13,15.53846153846154,1,1,1,0,0,0,1,202,2018q3,corn,40597775,4.97564213802e-06,2.743318339939668,0,-1.243464553167793,-1.209177976976772,2.743318339939668,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2022,1,corn,3255550,213646,15.23805734720051,1,1,8,0,0,0,8,3255550,2022q1,corn,3524727,.9236318160243332,2.723796071477291,0,-1.1223043406395,-1.209177976976772,2.723796071477291,-1.513596055813129,-1.053697951662472,.4598981041506562
安徽省,2021,3,corn,943,64,14.734375,1,1,1,0,0,0,1,943,2021q3,corn,53466943,.0000176370659531,2.690183199273786,0,-1.146910059727921,-1.209177976976772,2.690183199273786,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2019,1,corn,4903,341,14.3782991202346,1,1,5,0,0,0,2,4666,2019q1,corn,33974821,.0001443127544366,2.665720064367716,0,-1.481238208032304,-1.209177976976772,2.665720064367716,-1.513596055813129,-1.053697951662472,.4598981041506562
山东省,2017,2,corn,1193,85,14.03529411764706,1,1,1,0,0,0,1,1193,2017q2,corn,178429310,6.68612124320e-06,2.6415751656076,0,-.6289303372174063,-1.209177976976772,2.6415751656076,-1.513596055813129,-1.053697951662472,.4598981041506562
河南省,2017,3,corn,134,10,13.4,1,1,1,0,0,0,1,134,2017q3,corn,2755704,.0000486264127062,2.595254706956866,0,-1.535351815134804,-1.209177976976772,2.595254706956866,-1.513596055813129,-1.053697951662472,.4598981041506562
湖北省,2019,2,corn,1511,122,12.38524590163934,1,1,1,0,0,0,1,1511,2019q2,corn,16156804,.0000935209711029,2.516505917539483,0,-1.509976029845826,-1.209177976976772,2.516505917539483,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2017,1,corn,183,15,12.2,1,1,2,0,0,0,2,183,2017q1,corn,176359908,1.03765080213e-06,2.501435951739211,0,-.8325081955812352,-1.209177976976772,2.501435951739211,-1.513596055813129,-1.053697951662472,.4598981041506562
湖北省,2018,2,corn,207,18,11.5,1,1,1,0,0,0,1,207,2018q2,corn,2583979,.0000801090101738,2.442347035369204,0,-1.494561476059001,-1.209177976976772,2.442347035369204,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2017,2,corn,607412,59985,10.12606484954572,1,1,4,0,0,1,4,607412,2017q2,corn,608349,.9984597656937054,2.315112777788095,0,-.6289303372174063,-1.209177976976772,2.315112777788095,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2021,1,corn,64957,6469,10.0412737671974,1,1,1,0,0,0,1,64957,2021q1,corn,6470928,.0100382819898475,2.306703975459131,0,-1.305109448867577,-1.209177976976772,2.306703975459131,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2019,2,corn,5895,600,9.824999999999999,1,1,1,0,0,0,1,5895,2019q2,corn,137777,.042786531859454,2.284930157755325,0,-1.509976029845826,-1.209177976976772,2.284930157755325,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2022,2,corn,36031,3684,9.780401737242128,1,1,2,0,0,0,2,36031,2022q2,corn,1914855,.0188165683563507,2.280380560630692,0,-1.102605166552287,-1.209177976976772,2.280380560630692,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2023,1,corn,167553,17787,9.419969640748862,1,1,1,0,0,0,1,167553,2023q1,corn,10164961,.0164833883769943,2.242831865732639,0,-1.083960308276622,-1.209177976976772,2.242831865732639,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2017,1,corn,13314,1437,9.265135699373696,1,1,1,0,0,0,1,13314,2017q1,corn,13314,1,2.226258506081624,0,-.8325081955812352,-1.209177976976772,2.226258506081624,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2022,1,corn,50425,5538,9.105272661610689,1,1,1,0,0,0,1,50425,2022q1,corn,3099737,.0162675091467437,2.208853659091505,0,-1.1223043406395,-1.209177976976772,2.208853659091505,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2018,1,corn,33346,3821,8.727034807641978,1,1,1,0,0,0,1,33346,2018q1,corn,5003036,.0066651529191475,2.166425656673504,0,-1.43418553732843,-1.209177976976772,2.166425656673504,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2020,1,corn,114884,14542,7.900151285930408,1,1,2,0,0,0,2,114884,2020q1,corn,3053214,.0376272347762063,2.066881909407388,0,-1.545515965300271,-1.209177976976772,2.066881909407388,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2017,4,corn,2782,355,7.836619718309859,1,1,2,0,0,0,2,2782,2017q4,corn,2782,1,2.058807583007972,0,-1.430706968914077,-1.209177976976772,2.058807583007972,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2023,2,corn,4378,629,6.960254372019078,1,1,1,0,0,0,1,4378,2023q2,corn,34711973,.0001261236288701,1.940216021382368,0,-1.110282420230454,-1.209177976976772,1.940216021382368,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2020,2,corn,1055,170,6.205882352941177,1,1,3,0,0,0,3,1055,2020q2,corn,4354457,.0002422804955934,1.825497608859905,0,-1.554872099106825,-1.209177976976772,1.825497608859905,-1.513596055813129,-1.053697951662472,.4598981041506562
安徽省,2021,4,corn,480,85,5.647058823529412,1,1,1,0,0,0,1,480,2021q4,corn,89470789,5.36487948039e-06,1.73113484741162,0,-1.176011489361206,-1.209177976976772,1.73113484741162,-1.513596055813129,-1.053697951662472,.4598981041506562
四川省,2018,3,corn,35,7,5,1,1,1,0,0,0,1,35,2018q3,corn,4201291,8.33077261251e-06,1.6094379124341,0,-1.243464553167793,-1.209177976976772,1.6094379124341,-1.513596055813129,-1.053697951662472,.4598981041506562
河南省,2021,4,corn,75,15,5,1,1,1,0,0,0,1,75,2021q4,corn,382606,.0001960241083517,1.6094379124341,0,-1.176011489361206,-1.209177976976772,1.6094379124341,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2020,3,corn,4940,1005,4.91542288557214,1,1,2,0,0,0,2,4940,2020q3,corn,141906050,.0000348117645442,1.592377789688792,0,-1.532636334272655,-1.209177976976772,1.592377789688792,-1.513596055813129,-1.053697951662472,.4598981041506562
河南省,2019,1,corn,191,45,4.244444444444444,1,1,1,0,0,0,1,191,2019q1,corn,191,1,1.44561093827631,0,-1.481238208032304,-1.209177976976772,1.44561093827631,-1.513596055813129,-1.053697951662472,.4598981041506562
新疆维吾尔自治区,2021,2,corn,410,105,3.904761904761905,1,1,1,0,0,0,1,410,2021q2,corn,11089020,.000036973510734,1.36219680954083,0,-1.182291891549115,-1.209177976976772,1.36219680954083,-1.513596055813129,-1.053697951662472,.4598981041506562
河南省,2018,1,corn,284,90,3.155555555555555,1,1,1,0,0,0,1,284,2018q1,corn,284,1,1.149164567830941,0,-1.43418553732843,-1.209177976976772,1.149164567830941,-1.513596055813129,-1.053697951662472,.4598981041506562
广东省,2020,4,corn,10490,3485,3.010043041606887,1,1,2,0,0,0,2,10490,2020q4,corn,187961412,.0000558093275018,1.101954378195719,0,-1.423458240491811,-1.209177976976772,1.101954378195719,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2018,4,corn,28,11,2.545454545454545,1,1,1,0,0,0,0,0,2018q4,corn,5608564,4.99236524715e-06,.9343092373768334,0,-1.398739215481824,-1.209177976976772,.9343092373768334,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2017,3,corn,79438,36000,2.206611111111111,1,1,1,0,0,0,0,0,2017q3,corn,12957490,.0061306626514857,.791457904730245,0,-1.535351815134804,-1.209177976976772,.791457904730245,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2017,4,corn,436906,198000,2.20659595959596,1,1,2,0,0,0,0,0,2017q4,corn,77243552,.005656213220231,.7914510382882636,0,-1.430706968914077,-1.209177976976772,.7914510382882636,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2022,3,corn,71133,36000,1.975916666666667,1,1,1,0,0,0,0,0,2022q3,corn,95058083,.0007483109037661,.68103242569684,0,-.9815501023588475,-1.209177976976772,.68103242569684,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2022,2,corn,241416,126000,1.916,1,1,2,0,0,0,0,0,2022q2,corn,136848474,.0017641117430363,.6502396795486688,0,-1.102605166552287,-1.209177976976772,.6502396795486688,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2017,2,corn,47301,25700,1.840505836575876,1,1,1,0,0,0,0,0,2017q2,corn,74840062,.0006320278035045,.6100404450222803,0,-.6289303372174063,-1.209177976976772,.6100404450222803,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2019,2,corn,235316,128379,1.832978913996838,1,1,5,0,0,0,2,2615,2019q2,corn,73582206,.0031980014298566,.6059424652435771,0,-1.509976029845826,-1.209177976976772,.6059424652435771,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2017,3,corn,1873,1373,1.364166059723234,1,0,7,0,0,0,0,0,2017q3,corn,73336593,.000025539773848,.3105432966761175,0,-1.535351815134804,-1.209177976976772,.3105432966761175,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2018,1,corn,95278,76000,1.253657894736842,1,0,2,0,0,0,0,0,2018q1,corn,29204757,.0032624137225316,.2260655937763407,0,-1.43418553732843,-1.209177976976772,.2260655937763407,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2017,4,corn,2927,2380,1.229831932773109,1,0,5,0,0,0,0,0,2017q4,corn,58086539,.0000503903322593,.2068775200263655,0,-1.430706968914077,-1.209177976976772,.2068775200263655,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2017,2,corn,1110,1030,1.077669902912621,1,0,3,0,0,0,0,0,2017q2,corn,110543574,.0000100412892386,.0748012130826983,0,-.6289303372174063,-1.209177976976772,.0748012130826983,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2017,1,corn,2798976,2772590,1.009516733451394,1,0,3,0,0,0,0,0,2017q1,corn,50384652,.0555521550491209,.0094717346129629,0,-.8325081955812352,-1.209177976976772,.0094717346129629,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2020,1,corn,209225,258876,.8082054728904958,1,0,3,0,0,0,1,10000,2020q1,corn,59827413,.0034971426894223,-.2129389546575293,0,-1.545515965300271,-1.209177976976772,-.2129389546575293,-1.513596055813129,-1.053697951662472,.4598981041506562
福建省,2017,1,corn,229247,285768,.8022136838274404,1,0,1,0,0,0,0,0,2017q1,corn,192216139,.0011926521945173,-.2203802679165246,0,-.8325081955812352,-1.209177976976772,-.2203802679165246,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2019,4,corn,304429,408690,.7448897697521348,1,0,5,0,0,0,2,23563,2019q4,corn,17919849,.0169883685961863,-.2945190316139962,0,-1.553503253532807,-1.209177976976772,-.2945190316139962,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2019,2,corn,136926,189920,.7209667228306655,1,0,4,0,0,0,1,5598,2019q2,corn,1669530,.0820146987475517,-.3271622969500291,0,-1.509976029845826,-1.209177976976772,-.3271622969500291,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2018,3,corn,1580143,2331793,.677651489647666,0,0,11,0,1,0,8,4778,2018q3,corn,48631426,.0324922201541036,-.3891221502672844,0,-1.243464553167793,-1.209177976976772,-.3891221502672844,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2017,1,corn,368293,563921,.6530932524236551,0,0,7,0,0,0,5,309065,2017q1,corn,368293,1,-.4260353537397357,0,-.8325081955812352,-1.209177976976772,-.4260353537397357,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2017,1,corn,2613977,4127932,.6332412937034816,0,0,16,0,0,0,12,380870,2017q1,corn,82800532,.0315695676931158,-.4569037387878671,0,-.8325081955812352,-1.209177976976772,-.4569037387878671,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2018,1,corn,60906,101955,.5973811975871708,0,0,9,0,0,0,2,3682,2018q1,corn,140481894,.0004335505328537,-.5151998474363623,0,-1.43418553732843,-1.209177976976772,-.5151998474363623,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2018,4,corn,2344611,4857173,.4827110337638787,0,0,5,0,0,0,3,1817209,2018q4,corn,2344611,1,-.7283370781475246,0,-1.398739215481824,-1.209177976976772,-.7283370781475246,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2021,1,corn,2102796,4508075,.4664509796309955,0,0,14,0,0,0,8,1369329,2021q1,corn,2102796,1,-.7626023453930107,0,-1.305109448867577,-1.209177976976772,-.7626023453930107,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2022,4,corn,651603441,1552421853,.4197334891548966,0,0,15,0,0,0,10,358985,2022q4,corn,784400212,.8307027854296398,-.8681353187477472,0,-1.104041094342434,-1.209177976976772,-.8681353187477472,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2018,4,corn,567280,1356078,.4183240197097807,0,0,7,0,0,0,2,16621,2018q4,corn,52010622,.010907002804158,-.8714989799741595,0,-1.398739215481824,-1.209177976976772,-.8714989799741595,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2023,1,corn,1832078355,4879588452,.3754575561078486,0,0,18,0,0,1,4,70643,2023q1,corn,1968242941,.9308192179107629,-.9796098471683936,0,-1.083960308276622,-1.209177976976772,-.9796098471683936,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2022,3,corn,1752963646,4677940598,.374729778900882,0,0,13,0,0,0,7,15186,2022q3,corn,1954050834,.8970921408485732,-.9815501023588475,0,-.9815501023588475,-1.209177976976772,-.9815501023588475,-1.513596055813129,-1.053697951662472,.4598981041506562
辽宁省,2018,2,corn,727481,2010851,.3617776752230772,0,0,9,0,0,1,1,348,2018q2,corn,96255421,.0075578184838026,-1.016725412670261,0,-1.494561476059001,-1.209177976976772,-1.016725412670261,-1.513596055813129,-1.053697951662472,.4598981041506562
安徽省,2022,4,corn,1008844,2810245,.3589879174235698,0,0,3,0,0,0,1,335,2022q4,corn,92695984,.0108833625413589,-1.024466547261996,0,-1.104041094342434,-1.209177976976772,-1.024466547261996,-1.513596055813129,-1.053697951662472,.4598981041506562
广东省,2022,2,corn,1696027,4725503,.3589093055278983,0,0,3,0,0,0,2,110,2022q2,corn,614322133,.0027608105078643,-1.024685553251914,0,-1.102605166552287,-1.209177976976772,-1.024685553251914,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2023,1,corn,74300762,208421851,.3564921894873681,0,0,18,0,0,0,6,4002906,2023q1,corn,103307354,.7192204535603535,-1.031442948239127,0,-1.083960308276622,-1.209177976976772,-1.031442948239127,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2023,1,corn,49506323,139007391,.3561416601222305,0,0,6,0,0,0,2,86492,2023q1,corn,54649967,.9058801993421148,-1.032426705588288,0,-1.083960308276622,-1.209177976976772,-1.032426705588288,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2023,3,corn,1023745565,2929882096,.3494152772897111,0,0,21,0,0,0,3,4008,2023q3,corn,1206301173,.8486649834336188,-1.051494157882851,0,-1.180190255583743,-1.209177976976772,-1.051494157882851,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2023,2,corn,862136162,2472811819,.3486460859559649,0,0,24,0,0,0,14,330323,2023q2,corn,1130350964,.7627154657781139,-1.053697951662472,0,-1.110282420230454,-1.209177976976772,-1.053697951662472,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2022,2,corn,2381561,6855281,.3474053069451128,0,0,12,0,1,0,9,287807,2022q2,corn,3344833,.7120119300425463,-1.057263149111292,0,-1.102605166552287,-1.209177976976772,-1.057263149111292,-1.513596055813129,-1.053697951662472,.4598981041506562
上海市,2022,4,corn,23671354,68584964,.3451391182475506,0,0,4,0,0,0,3,9808,2022q4,corn,43247581,.5473451567152392,-1.063807701933452,0,-1.104041094342434,-1.209177976976772,-1.063807701933452,-1.513596055813129,-1.053697951662472,.4598981041506562
甘肃省,2022,2,corn,390521,1147074,.3404497007167803,0,0,3,0,0,0,2,1165,2022q2,corn,3895076,.1002601746410083,-1.077487886134822,0,-1.102605166552287,-1.209177976976772,-1.077487886134822,-1.513596055813129,-1.053697951662472,.4598981041506562
安徽省,2023,2,corn,24639289,73623053,.3346681235835194,0,0,4,0,0,0,1,2262,2023q2,corn,156717594,.157220949933675,-1.094615914070838,0,-1.110282420230454,-1.209177976976772,-1.094615914070838,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2022,2,corn,1795677120,5432019740,.3305726425802716,0,0,16,0,0,0,12,106363,2022q2,corn,1986764042,.9038200219248784,-1.106928847835126,0,-1.102605166552287,-1.209177976976772,-1.106928847835126,-1.513596055813129,-1.053697951662472,.4598981041506562
山东省,2023,2,corn,137238652,416885341,.3291999945855616,0,0,8,0,0,0,2,1822,2023q2,corn,297998941,.4605340258574946,-1.111089826626484,0,-1.110282420230454,-1.209177976976772,-1.111089826626484,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2023,2,corn,39906518,121422413,.3286585813444508,0,0,17,0,0,0,5,36070,2023q2,corn,42356048,.942168117289885,-1.112735813722059,0,-1.110282420230454,-1.209177976976772,-1.112735813722059,-1.513596055813129,-1.053697951662472,.4598981041506562
山东省,2022,1,corn,198838978,609905458,.326016065919515,0,0,8,0,0,0,1,2024,2022q1,corn,384056117,.5177341778935916,-1.120808616868043,0,-1.1223043406395,-1.209177976976772,-1.120808616868043,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2022,1,corn,1589475309,4890057352,.3250422632262003,0,0,27,0,0,0,13,708836,2022q1,corn,1838474059,.8645622717486491,-1.123800064410957,0,-1.1223043406395,-1.209177976976772,-1.123800064410957,-1.513596055813129,-1.053697951662472,.4598981041506562
山东省,2022,4,corn,13871253,42696779,.3248782068549012,0,0,7,0,0,0,1,139,2022q4,corn,168754687,.0821977347509169,-1.124304915026797,0,-1.104041094342434,-1.209177976976772,-1.124304915026797,-1.513596055813129,-1.053697951662472,.4598981041506562
甘肃省,2022,1,corn,13732711,43022755,.3191964577814694,0,0,5,0,0,0,1,2100,2022q1,corn,16731957,.820747447534081,-1.141948510643905,0,-1.1223043406395,-1.209177976976772,-1.141948510643905,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2023,4,corn,2296500786,7252582219,.3166459499050872,0,0,16,0,0,0,5,11425,2023q4,corn,2580201260,.8900471531433947,-1.149971006548087,0,-1.270739734156277,-1.209177976976772,-1.149971006548087,-1.513596055813129,-1.053697951662472,.4598981041506562
广东省,2022,4,corn,20016983,63477149,.3153415570066009,0,0,6,0,0,0,2,34642,2022q4,corn,252900832,.0791495339959973,-1.154098919636311,0,-1.104041094342434,-1.209177976976772,-1.154098919636311,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2021,4,corn,857222160,2754428658,.3112159603445427,0,0,16,0,0,0,6,4723,2021q4,corn,1063890564,.8057427981850208,-1.16726820153882,0,-1.176011489361206,-1.209177976976772,-1.16726820153882,-1.513596055813129,-1.053697951662472,.4598981041506562
甘肃省,2021,2,corn,14095024,45403092,.3104419408264089,0,0,4,0,0,0,1,685,2021q2,corn,19306786,.7300554323231221,-1.169758381158994,0,-1.182291891549115,-1.209177976976772,-1.169758381158994,-1.513596055813129,-1.053697951662472,.4598981041506562
甘肃省,2021,3,corn,6363107,21000002,.3030050663804699,0,0,2,0,0,0,1,107,2021q3,corn,9281468,.6855711833515992,-1.194005752884934,0,-1.146910059727921,-1.209177976976772,-1.194005752884934,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2021,3,corn,2303522420,7642445017,.301411709848877,0,0,10,0,0,0,5,3257,2021q3,corn,2555306978,.9014660233906346,-1.199278142021958,0,-1.146910059727921,-1.209177976976772,-1.199278142021958,-1.513596055813129,-1.053697951662472,.4598981041506562
广东省,2021,4,corn,3806457,12757482,.2983705561959641,0,0,2,0,0,0,1,14185,2021q4,corn,379126912,.010040060147458,-1.209419087786495,0,-1.176011489361206,-1.209177976976772,-1.209419087786495,-1.513596055813129,-1.053697951662472,.4598981041506562
山东省,2021,2,corn,481857939,1647220746,.292527847387857,0,0,18,0,0,0,3,11945,2021q2,corn,710034014,.6786406418552224,-1.2291954120971,0,-1.182291891549115,-1.209177976976772,-1.2291954120971,-1.513596055813129,-1.053697951662472,.4598981041506562
海南省,2023,4,corn,290026,1004618,.2886928165730656,0,0,3,0,0,0,1,699,2023q4,corn,26343035,.0110095894417633,-1.242392074600414,0,-1.270739734156277,-1.209177976976772,-1.242392074600414,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2023,4,corn,19580590,69526976,.2816257965828975,0,0,12,0,0,0,1,141,2023q4,corn,29475323,.6643045099115623,-1.267176051710347,0,-1.270739734156277,-1.209177976976772,-1.267176051710347,-1.513596055813129,-1.053697951662472,.4598981041506562
黑龙江省,2018,1,corn,2088872,7483984,.2791123016831677,0,0,9,0,0,0,5,1279265,2018q1,corn,2089592,.9996554351280058,-1.276141063154767,0,-1.43418553732843,-1.209177976976772,-1.276141063154767,-1.513596055813129,-1.053697951662472,.4598981041506562
湖南省,2023,4,corn,52080020,186732140,.2789022821673869,0,0,5,0,0,0,1,646,2023q4,corn,76317152,.6824156645677764,-1.276893801637866,0,-1.270739734156277,-1.209177976976772,-1.276893801637866,-1.513596055813129,-1.053697951662472,.4598981041506562
山东省,2021,1,corn,282950149,1037692958,.2726723225966038,0,0,11,0,0,0,1,1950,2021q1,corn,504580063,.5607636324703539,-1.299484488243304,0,-1.305109448867577,-1.209177976976772,-1.299484488243304,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2019,1,corn,15395959,56540100,.2723015877226959,0,0,15,0,0,0,10,1228738,2019q1,corn,40248219,.3825252242838372,-1.300845048534641,0,-1.481238208032304,-1.209177976976772,-1.300845048534641,-1.513596055813129,-1.053697951662472,.4598981041506562
北京市,2021,2,corn,1919672896,7203599700,.2664880026578934,0,0,27,0,0,0,19,1241136,2021q2,corn,2350042839,.8168671924367418,-1.322426054558842,0,-1.182291891549115,-1.209177976976772,-1.322426054558842,-1.513596055813129,-1.053697951662472,.4598981041506562
