product,variable,estimate,std_error,z_value,p_value,ci_low,ci_high
corn,_cons,.3954908100178382,.14004637,2.8239989,.0047428557,.12100495,.66997665
corn,c_lnx,.2420155982578998,.062611125,3.8653767,.00011091784,.11930005,.36473116
corn,c_lnp_corn,.5301884624176332,.14669324,3.6142664,.00030119912,.24267499,.81770194
corn,c_lnp_sorghum,.3047864874497122,.10050743,3.0324771,.0024255547,.10779554,.50177741
corn,c_lnp_cassava,-.6382572927161545,.45251238,-1.4104748,.15839955,-1.5251653,.24865068
corn,c_lnp_oats,-.0969876887513128,.086249053,-1.1245073,.26079789,-.26603273,.072057351
corn,c_lnp_barley,.264445172258491,.14317867,1.8469592,.064753056,-.01617988,.54507023
sorghum,_cons,.2112281123500762,.16096164,1.3122885,.18942279,-.1042509,.52670711
sorghum,c_lnx,.2147362015320669,.050761551,4.2302923,.000023338778,.11524539,.31422701
sorghum,c_lnp_corn,.0301433170311069,.079735465,.37804151,.70539975,-.12613533,.18642196
sorghum,c_lnp_sorghum,.1022113722053671,.18976963,.53860766,.59015763,-.26973027,.47415301
sorghum,c_lnp_cassava,.1274912052402568,.33306116,.38278615,.70187831,-.52529669,.7802791
sorghum,c_lnp_oats,.1233487904901458,.091664471,1.3456554,.17841367,-.056310266,.30300784
sorghum,c_lnp_barley,.0478060595330624,.2745527,.17412344,.86176842,-.49030733,.58591944
cassava,_cons,-.296501992626975,.18794149,-1.5776293,.1146508,-.66486055,.071856551
cassava,c_lnx,.3100524789279459,.072199233,4.2944012,.000017516551,.16854458,.45156038
cassava,c_lnp_corn,-.0475463049939089,.07039278,-.67544293,.49939439,-.18551362,.090421006
cassava,c_lnp_sorghum,-.411261077699263,.2771014,-1.4841537,.13776812,-.95436984,.13184766
cassava,c_lnp_cassava,-.2937776234197198,.3234289,-.9083221,.36370808,-.92768663,.34013137
cassava,c_lnp_oats,.0220364060651599,.070485607,.31263697,.75455648,-.11611284,.16018565
cassava,c_lnp_barley,.4551853394631148,.31958792,1.4242883,.15436304,-.17119548,1.0815662
oats,_cons,-.0643498424881702,.19970632,-.32222235,.74728423,-.45576704,.32706735
oats,c_lnx,.1171804130619381,.060895253,1.9242947,.054317649,-.0021720878,.23653291
oats,c_lnp_corn,.0114139898333166,.10158432,.11235977,.91053814,-.18768761,.21051559
oats,c_lnp_sorghum,.0316049318040807,.083938889,.37652311,.70652807,-.13291226,.19612214
oats,c_lnp_cassava,.0979853770721107,.33893731,.28909588,.77250803,-.56631953,.7622903
oats,c_lnp_oats,.568212805126412,.23719011,2.3956008,.016593153,.10332873,1.0330969
oats,c_lnp_barley,.0796688128400932,.22503302,.35403165,.72331518,-.36138779,.52072543
barley,_cons,.5253661209587975,.17710201,2.9664602,.0030124923,.17825253,.87247968
barley,c_lnx,.2913287193228966,.055720769,5.2283688,1.7101236e-07,.18211801,.40053943
barley,c_lnp_corn,.0401108714674385,.051174458,.7838065,.43315366,-.060189221,.14041096
barley,c_lnp_sorghum,-.0049492411276497,.11609801,-.042629853,.96599662,-.23249716,.22259867
barley,c_lnp_cassava,1.213033579829699,.67499691,1.7970951,.072320528,-.10993603,2.5360031
barley,c_lnp_oats,-.0042920503216155,.050812509,-.08446838,.93268406,-.10388274,.095298633
barley,c_lnp_barley,-.3687007997460218,.41751805,-.8830775,.3771944,-1.1870211,.44961956
